Herr Präsident! Ich möchte Ihnen zu Ihrer Wahl gratulieren.	Mr President, I would like to congratulate you on your election.
Herr Präsident, Herr Kommissar, liebe Kolleginnen und Kollegen! Mit vielen Gesetzen ist es wie mit unseren Lieblingskleidern.	Mr President, Commissioner, ladies and gentlemen, a lot of laws are like our favourite clothes.
Wenn wir sie nicht pflegen, werden sie schnell unansehnlich und schließlich unbrauchbar.	If we do not look after them, they rapidly become unsightly and end up being unusable.
Sie erfüllen ihren Zweck nicht mehr.	They no longer fulfil their purpose.
Deshalb ist es nur gut, dass sich die Kommission das aus den siebziger Jahren stammende Vergaberecht für öffentliche Aufträge vorgenommen hat, und wir nun dabei sind, mit zwei Richtlinien den Erfordernissen des Binnenmarktes und der heutigen Zeit Rechnung zu tragen.	So it is only a good thing that the Commission has taken in hand the law on the award of public contracts, which dates back to the Seventies, and that we are now engaged in doing justice to the requirements of modern times and of the Internal Market with two directives.
Zur Modernisierung der Vergaberichtlinien ist bereits einiges gesagt worden; dem brauche ich nichts hinzuzufügen.	A certain amount has already been said about the modernisation of the directives on the award of public contracts, and I do not need to add anything to that.
Ich möchte aber ausdrücklich davor warnen, dass wir das Vergaberecht zwar technisch verbessern und handlicher machen, es jedoch gleichzeitig in der Substanz verschlechtern.	I would, though, like to sound a clear warning that we may be improving the law on the award of public contracts in technical terms and making it more manageable, but at the same time causing its substance to deteriorate.
Das will nämlich die Vorlage der Kommission. Dort gehen der reibungslos funktionierende Binnenmarkt und der Wettbewerb über alles.	That is what the Commission intends with its proposed text, in which the smoothly functioning internal market and competition sweep all before them.
Die berechtigten Wünsche und Interessen der Menschen werden vernachlässigt.	People's justifiable desires and interests are neglected.
Das dürfen wir als Parlament nicht zulassen.	That is something this Parliament must not permit.
Wir sind nicht irgendwelchen Mechanismen und Wirtschaftsideologien verpflichtet.	Our duty is not to any old mechanism or economic ideology.
Wir sind den Bedürfnissen der Bürger in Europa verpflichtet und haben darüber hinaus dafür zu sorgen, dass deren Steuergelder nicht verplempert werden.	Our duty is to the citizens of Europe and their needs, and we are, moreover, obliged to see to it that their taxes are not squandered.
Dabei hilft uns ein gut funktionierender Binnenmarkt, wenn er menschenorientierte Standards einhält.	A well-functioning internal market can help in this if it adheres to people-friendly standards.
Deshalb können öffentliche Aufträge nicht einfach an den niedrigsten Bieter vergeben werden.	Public contracts cannot, then, simply be awarded to the lowest bidder.
Soziale Erfordernisse müssen ebenso entscheidende Kriterien sein wie die Rücksicht auf die Gesundheit der Menschen und der pflegliche Umgang mit der Umwelt.	Social requirements must, as criteria, be no less decisive than consideration for people's health and careful treatment of the environment.
Dazu gibt es Änderungsanträge meiner Fraktion, ohne deren Annahme die Vergaberichtlinie nach meiner Ansicht nicht zustimmungsfähig ist.	That is why there are amendments tabled by my group, and, in my view, if they are not adopted, it will be impossible to vote for the Directive on the award of public contracts.
Dazu ein Beispiel: Es ist doch geradezu selbstverständlich, dass die Auftragnehmer Vorschriften über Arbeitsschutz und Arbeitsbedingungen sowie alle arbeitsrechtlichen Verpflichtungen kollektiver und individueller Art einhalten müssen.	Let me give an example. It is, of course, obvious that contractors must abide by regulations on industrial safety and working conditions as well as by all the other collective and individual provisions of labour law.
Dazu gehört auch die Einhaltung der Tarifverträge, die am Ort des Auftrags gelten.	This also includes adherence to the wage agreements in force where the principal is located.
Sonst kommen wir leicht in eine Spirale der Diskriminierung und des Lohndumping auf Kosten vieler Arbeitnehmerfamilien.	Without that, we easily end up in a spiral of discrimination and wages dumping at the expense of many workers' families.
So darf der Wettbewerb im Binnenmarkt nicht aussehen.	Competition in the internal market must not be allowed to be like that.
Dieser Wettbewerb darf auch nicht zu Lasten der Umwelt ausgetragen werden. Deshalb ist es völlig klar, dass öffentliche Auftraggeber die Einhaltung von hohen Umweltstandards verlangen müssen.	Competition must not be pursued at the expense of the environment, and so it is perfectly clear that public principals must require the maintenance of high environmental standards.
Lassen Sie mich schließlich noch ein Wort zu den Schwellenwerten für die europäische Ausschreibung sagen.	Let me close with a word on the threshold values for European tendering.
Nachdem die bisherigen Schwellenwerte nachweislich keinen vermehrten grenzüberschreitenden Austausch im Bereich des öffentlichen Auftragswesens gebracht haben, können wir sie getrost heraufsetzen.	Since the existing threshold values have demonstrably failed to bring about any increase in cross-frontier exchange in the sphere of public contracting, we need have no qualms about raising them.
Ich persönlich habe auch kein Problem mit einer Verdoppelung.	Speaking personally, I have no problem with the idea of doubling them.
Höhere Schwellenwerte verhindern einen ungerechtfertigt hohen Verwaltungsaufwand bei kleineren Projekten. Sie verhelfen zu mehr Flexibilität bei der Planung und Ausführung von überschaubaren Projekten und sind ein Beitrag zum sparsamen Umgang mit Steuergeldern.	Raised thresholds deter unjustifiably high expenditure on smaller projects, promote greater flexibility in the planning and realisation of manageable projects and contribute to the careful use of money raised from tax.
Die Bürgerinnen und Bürger werden uns dankbar sein, wenn wir ihre Bürgermeister nicht zwingen, das Geld mit beiden Händen aus dem Fenster zu werfen.	The public will thank us if we do not oblige their mayors to throw the money out of the window with both hands.
Ich möchte mich sowohl bei Herrn Zappalà als auch beim Herrn Kommissar entschuldigen, dass ich leider nicht bis zum Ende bleiben kann, weil seit 16 Uhr eine Besuchergruppe auf mich wartet, zu der ich doch endlich mal hingehen sollte, denn eigentlich hätte ich die Antwort des Herrn Kommissars gerne gehört.	I would like to apologise to Mr Zappalà and also to the Commissioner for the fact that I cannot stay to the end; a party of visitors has been waiting for me since four o'clock, and I really must get to them, although I would actually have liked to stay to hear the Commissioner's reply.
