Zum Ersten geht es um den Datenschutz.	The first has to do with data protection.
Beim SIS II geht es eben nicht nur um den freien Personenverkehr, sondern auch und vor allem um die polizeilich-justizielle Zusammenarbeit und um ein Fahndungssystem.	The fact is that SIS II is not just about the free movement of persons, but also - and above all - about cooperation between police and justice authorities and a system of investigation.
Die derzeitigen Datenschutzbestimmungen im Rahmen der dritten Säule sind jedoch bekanntermaßen ungenügend.	It is common knowledge, however, that the current arrangements for data protection within the third pillar are unsatisfactory.
Um hier Bürgerrechte und Sicherheitserfordernisse in Einklang zu bringen, brauchen wir endlich den Rahmenbeschluss über den Schutz personenbezogener Daten.	If citizens' rights and the requirements of security are to be kept in balance, what is needed is the framework decision on the protection of personal data.
Das Parlament hat ihn kürzlich einstimmig unterstützt. Aber was macht der Rat?	This is something that this House recently voted unanimously to endorse, but what is the Council doing?
Dort hängt der Rahmenbeschluss fest. Wie zu hören ist, gibt es im Rat noch immer gehörige Vorbehalte.	The framework decision has not been forthcoming.
Im Klartext bedeutet dies: Wir wissen zurzeit weder, wann dieser Rahmenbeschluss in Kraft tritt, noch, inwieweit der Rat dessen Inhalt ändert. Mit Blick auf die Bürgerrechte muss aber ein angemessener Datenschutz gewährleistet sein, und zwar bevor eine derart umfangreiche Datenbank geschaffen wird.	As we have heard, there are those in the Council who still have reservations about it, and what that means in plain language is that we know, at present, neither when this framework decision is to enter into force, nor what substantial changes the Council has made to it, even though considerations of human rights make it imperative that proper data protection be guaranteed, and, moreover, even before this sort of comprehensive database is created.
Zum Zweiten ist die Aufnahme biometrischer Daten problematisch, und zwar in mehrfacher Hinsicht.	Secondly, the inclusion of biometric data is problematic, and for a variety of reasons.
Erstens liegt keine Folgenabschätzung zur Frage der Verwendung biometrischer Daten in einem solch großen System vor. Zweitens werden die Voraussetzungen zur Aufnahme dieser Daten nicht ausreichend geregelt.	For a start, the impact of the use of biometric data in such a large system has not been assessed, and nor have the conditions for the inclusion of such data been adequately laid down.
Zudem ist es für meine Fraktion nicht akzeptabel, dass die Frage, wann biometrische Daten als primäres Suchkriterium verwendet werden dürfen, nicht durch Mitentscheidung des Parlaments entschieden werden soll.	Another consideration is that it is not - in my group's view - acceptable that the question of when biometric data should be allowed to be used as a primary search criterion should be decided without reference to Parliament.
Abschließend möchte ich mich bei meinem Berichterstatter, unserem Kollegen Coelho, für die gute Zusammenarbeit bedanken. Gerade in diesem Zusammenhang aber möchte ich ausdrücklich betonen, dass ich wirklich kein Verständnis dafür habe, wie der Rat, insbesondere auf Druck der Regierung meines Landes, in den letzten Tagen mit dem Parlament umgegangen ist.	In conclusion, I would like to thank the rapporteur Mr Coelho for the good cooperation, but, while I am on that subject, I would like to emphasise that I take an unsympathetic view of the way in which the Council - largely in response to pressure from my own country - has dealt with this House over recent days.
Es kann nicht sein, dass nach Abschluss des Trilogs einfach neue Forderungen gestellt werden und dem Parlament die Pistole auf die Brust gesetzt wird.	It is not acceptable that new demands should be made after the conclusion of the trilogue, thereby putting a pistol to Parliament's head.
Dies gilt umso mehr, wenn man um den Inhalt des von Berlin ausgehenden Erpressungsversuchs weiß.	It is made even less acceptable if one is aware of precisely why Berlin chose to try to blackmail the Council.
Die Polizei ja, aber, liebe Kolleginnen und Kollegen, aus meiner Sicht haben Geheimdienste im SIS II nichts zu suchen. Sie führen ein Eigenleben - das haben wir schon allzu oft erfahren -, und vor diesem Hintergrund sollten wir jetzt die Türen zum SIS II nicht noch weiter aufmachen.	By all means let the police have access to SIS II, but I have to tell the House that I do not believe that the secret services should be allowed to get their hands on it, for, as we have discovered all too often, they are accountable to themselves alone, and for that reason we should not make SIS II more accessible than it already is.
