. Vielen Dank Herr Präsident!	Thank you very much, Mr President.
Die Berichterstatterin hat eine interessante Überlegung angestellt.	Mrs McNally has come up with an interesting idea.
Sie hat von der intelligent energy gesprochen und im Gegensatz dazu von der stupid energy, und da fällt einem in diesen Zeiten das Öl ein und auch stupid white men, wenn man einem Buchtitel folgt, der von einem Autor stammt, den viele von uns sehr schätzen und der auch den Oskar bekommen hat.	She mentioned intelligent energy, in contrast to stupid energy, which, at times like these, reminds me of oil and of 'stupid white men', the title of a book by an author of whom some of us think very highly and who has won an Oscar.
Da haben also die einen die stupid white men, die einem ganz bestimmten Prinzip der Energienutzung folgen - alt, konservativ -, und wir haben eine intelligent white woman, Europa und etwas anderes.	On the one hand, then, there are the stupid white men following a very definite principle of energy use - old and conservative - and we have an intelligent white woman, Europe and something else.
Dahinter steckt natürlich sehr viel.	Of course, there is a lot more to it than this.
Ich denke, dass wir eine Chance haben, über Programme wie diese ein Stück voranzukommen bei dem, was die Ausformulierung des europäischen Weges bedeuten würde.	I believe that programmes such as this one give us a chance to make progress in formulating what is meant by the European way.
Ich halte die Einrichtung einer Europäischen Agentur für intelligente Energie ebenfalls für gescheit. Sie bietet die Chance, dass sie ein bisschen zu dem wird, was die environmental protection agency in den USA in den frühen 70er Jahren für den Rest der Welt bedeutet hat.	I also think it smart to set up a European Intelligent Energy Agency, which has a chance of becoming what the USA's Environmental Protection Agency was in the early 1970s in the eyes of the rest of the world.
Damals, als es die Grünen noch nicht gab und das Umweltbewusstsein bei uns in Europa unterentwickelt war, haben sich gerade über den Zugang zur Information und über Modellprojekte der EPA vorbildliche Projekte entwickelt.	At that time, when there were as yet no Greens and our environmental awareness in Europe was underdeveloped, it was access to information and the EPA's pilot schemes that made the development of exemplary projects possible.
Das könnte diese Agentur bei uns jetzt auch leisten.	That is something this agency could do here.
Es ist aber sicherlich auch klug, den Passus zu berücksichtigen, dass wir für diese Agentur nicht wieder einen neuen bürokratischen Überbau schaffen, sondern sie dort eingliedern, wo es schon Kapazitäten gibt.	Certainly, though, it is also smart to take on board the point that we should not be giving this agency yet another new bureaucratic superstructure, but finding a place for it where capacity already exists.
Ich denke, dass zu intelligenter Energie auch intelligente Transparenz bei der Nutzung der Ressourcen zählt.	I believe that intelligent energy also includes intelligent transparency about the use of resources.
Gerade diese neue Agentur könnte doch beispielhaft vorangehen, indem sie wirklich zeigt, wie sie mit dem zur Verfügung gestellten Geld umgeht, dass vieles von dem, was zu Recht an den europäischen Institutionen kritisiert wird, nämlich Intransparenz bei Vergabe und Nutzung von Mitteln, dort eben nicht stattfindet in dem Wissen, dass es keine Demokratie ohne Transparenz geben kann.	This new agency could set an example by really showing how it manages the funds allocated to it, and by the absence of what is a cause of justifiable criticism of the European institutions, by which I mean lack of transparency in the way funds are spent and used, in the knowledge that without transparency, there is no democracy.
