Herr Präsident, meine sehr geehrten Damen und Herren Abgeordnete!	Mr President, honourable Members.
Ich möchte zunächst dem Berichterstatter, Herrn Pérez Royo, für diesen Bericht zu dem neuen Fischereiprotokoll mit den Komoren danken.	I should like to start by thanking the rapporteur, Mr Pérez Royo, for his report on the new fisheries protocol with the Comoros.
Es freut mich auch, dass Sie, Herr Berichterstatter, diesen Vorschlag voll und ganz unterstützen.	I am delighted, Mr Pérez Royo, that you have given this proposal your full and firm support.
Das neue Protokoll betrifft ausschließlich Thunfisch und sieht Fangmöglichkeiten für insgesamt - wie schon gesagt wurde - 65 Schiffe vor.	The new protocol refers solely to tuna and makes provision - as already mentioned - for fishing opportunities for a total of 65 ships.
Die finanzielle Gegenleistung beträgt jährlich ca. 350.000 Euro.	The financial contribution paid in return will be EUR 350 000 per annum.
Erfreulich ist dabei, dass 60 % dieser Summe für gezielte Maßnahmen zur Entwicklung des lokalen Fischereisektors auf den Komoren verwendet werden sollen, unter besonderer Berücksichtigung der handwerklichen Fischerei.	What is so gratifying is that 60% of this sum is to be used for targeted measures to develop the local fisheries sector in the Comoros, taking special account of small-scale fishing.
Ganz kurz zu den Änderungsanträgen.	A brief word on the proposed amendments.
Die Änderungsanträge 1, 3 und 4 sind inhaltlich kein Problem, allerdings sind sie aus unserer Sicht überflüssig, weil die Kommission die in den Änderungsanträgen enthaltenen Anforderungen bereits im Rahmen der interinstitutionellen Vereinbarungen und insbesondere durch das Rahmenabkommen zwischen dem Europäischen Parlament und der Kommission vom 5. Juli letzten Jahres erfüllt.	The Commission has no problem with the content of Amendments Nos 1, 3 and 4 but considers them to be superfluous because it already complies with these requirements within the framework of the Interinstitutional Agreements, especially the Framework Agreement between the European Parliament and the Commission of 5 July last year.
Dem Änderungsantrag 5 kann ich leider nicht zustimmen.	Unfortunately, I cannot agree to Amendment No 5.
Der geltende Grundsatz lautet hier nämlich, dass für neu zu verhandelnde Protokolle kein neues Mandat erforderlich ist, da es sich um einen Anhang zu einem Abkommen handelt.	The principle which applies here is that no new mandate is required for new protocols negotiated because they are annexed to existing agreements.
Dem Änderungsantrag 2 kann ich voll und ganz zustimmen, aber auch dieser ist aus unserer Sicht nicht notwendig, denn die darin angesprochenen Grundsätze entsprechen bereits der grundlegenden Position der Gemeinschaft in Bezug auf Nachhaltigkeit und verantwortungsvolle Fischerei. Ich möchte hier als Beispiele unsere Mitteilung zum Thema "Fischerei und Armutsbekämpfung" und das kürzlich vorgelegte Grünbuch über die Zukunft der Fischereipolitik nennen.	I can accept Amendment No 2 in full but, here too, we feel that this is not necessary because the principles set out in it coincide with the Community's basic position on sustainable, responsible fisheries as contained, for example, in our communication on fisheries and poverty reduction and the Green Paper presented recently on the future of the common fisheries policy.
Was den Änderungsantrag 6 betrifft, so teilt die Kommission das Anliegen des Parlaments im Hinblick auf den Schutz des Habitats für den Komoren-Quastenflosser.	As far as Amendment No 6 is concerned, the Commission shares Parliament's concern as regards protecting the habitat of Coelacanth in the Comoros.
Statt im Text der Ratsverordnung darauf hinzuweisen, schlage ich folgende Vorgangsweise vor: Die Kommission ist bereit, die Behörden der Komoren in einem Schreiben von der Bedeutung dieser Spezies und des damit zusammenhängenden Problems zu überzeugen.	Rather than refer to this in the text of the Council regulation, I would suggest that we proceed as follows: the Commission is prepared to write to the government of Comoros in order to convince it of the importance of this species and the problems connected with it.
Wir übermitteln dann dem Vorsitzenden des Fischereiausschusses, Herrn Varela, gerne eine Kopie dieses Schreibens.	We shall then send a copy of this letter to the chairman of the Committee on Fisheries, Mr Varela.
Den Änderungsantrag 7 schließlich kann ich nicht akzeptieren.	Finally, I cannot accept Amendment No 7.
Es ist nämlich integraler Bestandteil unserer Abkommenspolitik und steht auch in allen Verhandlungsdirektiven, dass die finanzielle Abgeltung der gewährten Fangrechte zu einem Teil aus dem EU-Haushalt und zum anderen Teil von den Schiffseignern aufgebracht werden muss.	It is an integral part of our agreement policy and all negotiating guidelines state that financial compensation for fishing opportunities must be paid partly from the EU budget and partly by the shipowners.
Im Konkreten heißt das: die Gemeinschaft übernimmt die finanzielle Gegenleistung an den jeweiligen Drittstaat, aber die Schiffseigner müssen die Lizenzgebühren klarerweise selber bezahlen.	What happens in practice is that the Community pays the financial consideration to the third country in question and the shipowners obviously pay the licence fees themselves.
