Herr Präsident, Herr Kommissar, meine Damen und Herren!	Mr President, Commissioner, ladies and gentlemen.
Nun liegt uns der Gemeinsame Standpunkt des Rates zur Änderung der Richtlinien mit Grundregeln für die Durchführung von amtlichen Futtermittelkontrollen sowie betreffend die Tierernährung vor.	We now have before us the Council' s common position on amending the directives containing basic rules for the performance of official inspections of feed and concerning animal nutrition.
Frau Paulsen hat zum Schluss noch einmal klargestellt, was der Grund hierfür ist.	Mrs Paulsen has at the end again made the reason for this clear.
Die Krisen und Skandale der letzten Jahre haben eine Überarbeitung der Regelungen im Futtermittelbereich dringend notwendig gemacht.	The crises and scandals of recent years have made a revision of the rules concerning feed an urgent necessity.
Die Änderung der Richtlinie soll die Durchführung der amtlichen Futtermittelkontrollen in Europa harmonisieren und festschreiben.	Amending the directive will harmonise the conduct of official feed inspections in Europe and enshrine them in law.
Es werden nun die Mitgliedstaaten verpflichtet, geeignete Notfallmaßnahmen einzuführen, um schwerwiegende Gefahren im Zusammenhang mit Futtermitteln bekämpfen zu können.	Member States will now be obliged to introduce appropriate emergency measures to deal with serious risks involving feed.
Die Kommission wird ermächtigt, vorübergehende Vorsichtsmaßnahmen zu treffen, wenn in der EU hergestellte Produkte zur Tierernährung eine schwerwiegende Gefahr für Mensch, Tier oder Umwelt darstellen.	The Commission is empowered to adopt temporary precautionary measures if animal nutrition products manufactured in the EU present a serious risk to humans, animals or the environment.
Die Mitgliedstaaten werden zu einer unverzüglichen und umfassenden Information der Kommission im Kontaminationsfall verpflichtet.	Member States are obliged to inform the Commission immediately and in full of any case of contamination.
Hierdurch ist ein sofortiges Eingreifen der Kommission gewährleistet.	This will ensure that the Commission is able to act at once.
Außerdem müssen die Mitgliedstaaten einen Jahresbericht über alle Zwischenfälle und Unregelmäßigkeiten im Futtermittelbereich verfassen und der Kommission übermitteln.	Member States must also prepare an annual report of all incidents and irregularities involving feed and forward it to the Commission.
Der Rat hat die Kernforderungen des europäischen Parlaments nach einer umfassenden Futtermittelkontrolle akzeptiert, nämlich die Verwendung eines Sammelbegriffs, der alle für die Verwendung in der Lebensmittel- und Futtermittelkette bis hin zum Endverbraucher vorgesehenen Produkte einbezieht.	The Council has accepted the European Parliament' s core demands for comprehensive feed inspections, namely the use of a generic term covering all products intended for use in the food and feed chain down to the final consumer.
Sie wurden in den Gemeinsamen Standpunkt integriert.	These were included in the common position.
Damit wurde der innerhalb des Europäischen Parlaments intensiv geführten Diskussion Rechnung getragen.	This took account of the intensive debate in the European Parliament.
An dieser Stelle möchte ich der Berichterstatterin, Frau Paulsen, für die Bewältigung ihrer schwierigen Aufgabe herzlich danken.	At this point I should like to thank the rapporteur, Mrs Paulsen, sincerely for her handling of this difficult task.
Allerdings konnte sich der Rat nicht dazu durchringen, der Forderung des Parlaments zu entsprechen, die Richtlinie auch auf Veränderungen auszudehnen, die durch Fehler und Mängel im Bearbeitungsprozess entstanden sind.	However, the Council was unable to comply with Parliament' s call for the directive also to be extended to changes that occur as a result of faults and flaws in the manufacturing process.
Frau Paulsen hat eben darauf hingewiesen.	Mrs Paulsen has just referred to this.
Und darum werden die entsprechenden Änderungsanträge aus der ersten Lesung von der Berichterstatterin erneut in der von ihr beschriebenen notwendigen, leicht angepassten Form eingereicht.	For that reason, the rapporteur has retabled the corresponding amendments from the first reading in the slightly modified form required, as she has described.
Im Umweltausschuss ist der Bericht einstimmig angenommen worden.	The report was accepted unanimously by the Committee on the Environment Public Health and Consumer Policy.
Die vorgenommenen Anpassungen der Änderungsanträge waren für eine bessere Übereinstimmung mit den entsprechenden Artikeln der Richtlinie 1999/29/EG über unerwünschte Stoffe und Produkte in Futtermitteln notwendig.	The adjustments made to the tabled amendments were necessary in order to bring them closer to the corresponding articles of Directive 1999/29/EC on undesirable substances and products in animal nutrition.
Weiter erfolgte eine Anpassung an den entsprechenden Artikel der TSE-Verordnung über gemeinschaftliche Kontrollen.	They were also brought into line with the corresponding article of the TSE Regulation on Community inspections.
Mit der Annahme wäre nun ein einheitliches, übersichtliches und transparentes Kontrollsystem geschaffen, das auf die neuen Anforderungen der Zeit zugeschnitten ist.	Acceptance of the amendments would create a uniform, clear and transparent inspection system tailored to the new requirements of the time.
