Herr Präsident! Ich möchte mich ebenfalls dem Dank an Karl-Heinz Florenz anschließen.	Mr President, may I also add my thanks to Karl-Heinz Florenz, who has presented a very good report.
Er hat einen sehr guten Bericht vorgelegt. Ziel unserer Bemühungen ist eine umweltfreundliche Entsorgung von Elektroaltgeräten und - wenn möglich - das stoffliche Recycling.	What we are working towards is the environmentally-friendly disposal of old electrical appliances and, if possible, material recycling.
Ganz wichtig für das Parlament ist das Verursacherprinzip, und das kommt auch in diesem Bericht sehr deutlich zum Ausdruck.	Parliament attaches the utmost importance to the polluter-pays principle, which comes across very clearly in this report.
Ich glaube aber - und auch da stellt der Bericht Florenz die Weichen richtig -, dass man immer sehr genau hinsehen muss, wie diese Prinzipien in den einzelnen Bereichen umgesetzt werden können.	I do believe, however - and here too, the Florenz report strikes the right tone - that great care must always be taken to establish precisely how these principles can be applied in each specific sector of the economy.
Auch das Einsammeln von Geräten oder Kleinteilen kostet Energie und kann damit Umweltschäden hervorrufen.	Even the collection of appliances or small components requires the use of energy and can in itself be harmful to the environment.
Deswegen ist es wichtig, dass wir bei Kleinteilen, die keine gefährlichen Stoffe enthalten, wie beispielsweise bei den Glühlampen, eine Ausnahme vorsehen, dass wir uns immer die Gesamtökobilanz ansehen und dann schauen, ob es sinnvoll ist, getrenntes Einsammeln und Recycling durchzuführen, oder ob das umweltpolitisch vielleicht nicht vertretbar ist.	It is therefore important that we provide for derogations in the case of components which contain no hazardous substances, such as light bulbs, that we always look at the whole ecological balance and then consider whether it is appropriate to collect these things separately and use them for recycling or whether such action is perhaps not justified on environmental grounds.
Deswegen glaube ich, dass der Änderungsantrag 65 in die richtige Richtung geht.	For this reason I believe that Amendment No 65 takes us in the right direction.
Wir müssen das Verursacherprinzip richtig anwenden.	We must apply the polluter-pays principle correctly.
Da sehe ich an einzelnen Stellen ein Problem, denn gerade beim historischen Abfall ist es ja kein Verursacherprinzip, wenn wir sagen, alle, die jetzt am Markt tätig sind, müssen für die Kosten derjenigen aufkommen, die vielleicht vor zwanzig Jahren irgendetwas hergestellt haben.	I see a problem in this respect at one or two points because, in the case of historical waste in particular, we are not talking about the polluter-pays principle when we say that all those who are operating in the market at the present time have to foot the bill for those who were perhaps manufacturing some product twenty years ago.
Da muss man aufpassen, denn nicht in allen Bereichen gibt es auch eine Markttransparenz.	Great care must be taken here, since not every segment of this market is transparent.
Im Ausschuss hat man das mitbekommen.	We became aware of this in the committee.
Ich habe mich - als Beispiel für dieses Problem - besonders um die Wohnraumleuchten gekümmert, weil die in meinem Wahlkreis in großer Zahl hergestellt werden.	To illustrate the problem, let me mention that I devoted myself particularly to household light fittings, since large numbers of them are produced in my constituency.
Die Hersteller sagen mit einem gewissen Recht, dass es doch kein Verursacherprinzip ist, wenn ein Kronleuchter, der im Wohnzimmer hängt und vor zwanzig Jahren von irgendeiner Firma hergestellt wurde, die heute gar nicht mehr am Markt ist, von denen, die jetzt am Markt sind, bezahlt werden muss.	The manufacturers say, with some justification, that it is surely not consistent with the polluter-pays principle to expect present-day manufacturers to pay for the recovery of a chandelier which has been hanging in someone' s lounge and which was produced twenty years ago by some manufacturer or other who is no longer in business.
Das ist kein Verursacherprinzip, das ist genau das Gegenteil!	It is not the polluter who has to pay - quite the reverse.
Wenn man sich dann noch betrachtet, dass viele Grauimporte von Firmen darunter sind, die sich nicht an die hohen Umweltstandards in Europa halten, beispielsweise in China, dann wird das Verursacherprinzip auf den Kopf gestellt, wenn wir die Firmen, die hier vernünftig wirtschaften, dafür bestrafen, dass sie das tun und dass sie sich registrieren lassen.	If consideration is also given to the fact that such products include many grey-market imports from companies which do not adhere to the high European environmental standards - companies in China, for example - it becomes clear that the polluter-pays principle would be turned on its head if we penalised companies for conducting their business properly and being properly registered.
Deswegen bitte ich um Unterstützung für die Änderungsanträge 65 und 88.	For these reasons I ask you to support Amendments Nos 65 and 88.
