amtierender Ratspräsident.	President-in-Office of the Council.
Frau Präsidentin, Herr Kommissar, sehr geehrter Herr Kollege Lagendijk, meine Damen und Herren! Der Prozess zur Bestimmung des künftigen Status des Kosovo - das momentan drängendste politische Problem auf dem westlichen Balkan - tritt in seine letzte und entscheidende Phase.	Madam President, Commissioner, ladies and gentlemen, Mr Lagendijk, the process of determining the future status of Kosovo - the most urgent political problem in the Western Balkans at the present time - is entering its final, decisive stage.
Am 26. März hat der UNO-Generalsekretär den Statusvorschlag des Sondergesandten der Vereinten Nationen, Martti Ahtisaari, an den Sicherheitsrat in New York übermittelt.	On 26 March, the United Nations Secretary-General forwarded the Comprehensive Proposal for a Kosovo Status Settlement of his Special Envoy, Martti Ahtisaari, to the UN Security Council in New York.
Voraussichtlich am 3. April wird der Sondergesandte den Mitgliedern des Sicherheitsrats seinen Vorschlag persönlich erläutern.	The Special Envoy is due to explain his proposal in person to the members of the Security Council on 3 April.
Die Außenminister der Europäischen Union haben sich auf dem Rat vom 12. Februar eingehend mit dem Lösungsvorschlag beschäftigt.	The EU Ministers for Foreign Affairs examined the proposed solution in detail at the Council of 12 February.
Sie sprachen Präsident Ahtisaari ihre volle Unterstützung aus. Sie stellten fest, dass der Statusvorschlag darauf abzielt, im Kosovo den Aufbau einer multi-ethnischen und demokratischen Gesellschaft auf der Grundlage der Rechtsstaatlichkeit zu fördern.	Expressing their full support to Mr Ahtisaari, they noted that the proposed status settlement was designed to promote in Kosovo a multi-ethnic and democratic society based on the rule of law.
Sie haben auch die Überzeugung geäußert, dass die Vorschläge des Sondergesandten die Grundlage für eine nachhaltige wirtschaftliche und politische Entwicklung des Kosovo schaffen sowie zur Stabilisierung der Region beitragen werden.	They also expressed their conviction that the Special Envoy's proposals create the basis for sustainable economic and political development in Kosovo and will contribute to strengthening the stability of the region.
Im Februar und März hatten erneute Gesprächsrunden zwischen Belgrad und Priština über die Vorschläge stattgefunden, zunächst auf Expertenebene sowie am 10. März auch auf höchster politischer Ebene.	Belgrade and Priština held further rounds of talks on the proposals in February and March, first at expert level and then, on 10 March, at the highest political level.
Als Ergebnis der Gespräche hat Präsident Ahtisaari einige der bereits sehr weitgehenden Bestimmungen zum Schutz der Kosovo-Serben und der serbisch-orthodoxen Kirche noch weiter ausgedehnt.	As a result of the talks, Mr Ahtisaari further extended some of the already far-reaching provisions for the protection of the Kosovo Serbs and the Serbian Orthodox Church.
Insgesamt haben die Gespräche jedoch gezeigt, dass die Divergenzen zwischen beiden Seiten unüberbrückbar sind.	On the whole, however, the talks revealed the differences between the two sides to be irreconcilable.
Priština hat dem Statuspaket im Ergebnis zugestimmt, während Belgrad es abgelehnt hat.	Priština approved the status package in the end, whilst Belgrade rejected it.
