Frau Präsidentin! Peru war immer eines unserer Sorgenkinder in Lateinamerika.	Madam President, Peru has always been one of our problem children in Latin America.
Erst war es die Wirtschaft, aber der geht jetzt etwas besser.	First it was the economy, but that is doing rather better now.
Immer war es der Terrorismus, und er hat sein häßliches Gesicht ja deutlich gezeigt.	It has always been terrorism, and this has now clearly reared its ugly head again.
Dennoch darf nicht jeder, der die Regierung angreift, terroristischer Umtriebe verdächtigt werden.	Yet not everyone who attacks the government should be suspected of terrorist intrigues.
Und jetzt gilt unsere eigentliche Sorge der Demokratie in Peru.	And now we are actually concerned about democracy in Peru.
Im Mai auf der Interparlamentarischen Konferenz in Caracas hatten wir ausgiebig Gelegenheit, mit Kollegen aus Peru zu sprechen.	In May, at the inter-parliamentary conference in Caracas, we had plenty of opportunity to talk to our colleagues from Peru.
Die Meinungsfreiheit ist bedroht, die Unabhängigkeit der Justiz ist bedroht durch die derzeitige Regierung, und wir möchten sie daher dringend aufrufen, zumindest die Regeln zu respektieren, die in der peruanischen Verfassung stehen.	Freedom of opinion is under threat, the independence of the judiciary is threatened by the current government, and we should like to call upon that government, as a matter of urgency, at least to respect the rules that are enshrined in the Peruvian constitution.
Denn nur dann kann in dem Land wieder ein Gleichgewicht hergestellt werden zwischen einer wirtschaftlichen Stabilisierung, dem Kampf gegen den Terrorismus, aber auch der Meinungsfreiheit und einer Renaissance des politischen Lebens.	Only then can a balance be restored in that country between economic stability, the fight against terrorism, freedom of opinion and a renaissance of political life.
Es gibt gar keinen Zweifel daran, daß der jetzige Präsident von politischen Parteien nicht allzu viel wissen will; diese sind auch sehr schwach.	There is no doubt that the current president does not want to know about political parties, and the parties themselves are also very weak.
Aber ich glaube, gerade weil alle unsere Parteien Beziehungen zu Peru haben, sollten wir hier helfen und mahnen.	I believe, however, precisely because all our parties have links with Peru, that we should help and give warnings here.
In diesem Sinne wird meine Fraktion die Entschließung unterstützen.	With this in mind, my group will support the resolution.
