Herr Präsident! Ich glaube, wir sollten anfangen bei dem Begriff der Flexibilität.	Mr President, I think that we should start with the concept of flexibility.
Es ist richtig, in einer schwierigen Situation braucht man differenzierte und anpassungsfähige Bedingungen.	It is true that in a complex situation, we need rules which vary slightly and which are adaptable.
Man braucht aber gleichzeitig klare Minima, die sicherstellen, daß die Qualität der Arbeit, die Sicherheit Dritter und auch die Sicherheit der Arbeitnehmer selber nicht gefährdet wird.	But at the same time, we need clear minimum standards which ensure that the quality of the work, the safety of third parties and also the safety of the employees themselves are not at risk.
Da denke ich, darf es keine Flexibilität geben, und ich sehe auch nicht ein, daß jemand, in welchem Anstellungsverhältnis auch immer - als Franchise oder freier Unternehmer oder was auch immer -, plötzlich von diesen Minimalbedingungen, in denen es um die Sicherheit anderer und die eigene Sicherheit geht, befreit werden kann.	I do not think that there should be room for any flexibility here, and nor do I see how anyone, regardless of the type of contract they have - whether they are a franchise-holder or an independent trader or whatever - can suddenly be exempted from these minimum requirements, which concern their own and other people's safety.
Nachdem ich das gesagt habe, muß ich auch den Kompromiß, der hier gefunden wurde, begrüßen, denn er ist ein erster Schritt dazu, diese Sektoren, deren Ausschließung bei einem Binnenmarkt und einer Ausweitung gerade dieser Tätigkeiten von Anfang an nicht legitim war, wieder in eine Logik der gesetzlichen Regelung hineinzubekommen.	Having said that, I must also welcome the compromise reached here, because it is a first step towards bringing these sectors - whose exclusion, when we have an internal market and when these very activities are expanding, was unjustified from the outset - back into a system of statutory regulation.
Sie sind schwierig und brauchen daher differenzierte Regelungen.	They are complex, and therefore need rules which vary slightly.
Hier muß man noch viel stärker auf die Rolle der Sozialpartner bei der Umsetzung verweisen, und ich denke, die Erfahrung zeigt, daß die Umsetzung solcher Regelungen es erfordert, daß alle, die praktisch mit der konkreten Ausführung zu tun haben, d.h. Experten, d.h. the two sides of industry , wie die Briten sagen, daß die konkret einbezogen werden müssen.	In this context, we need to give much more recognition to the role played by the social partners in terms of implementation, and I think that experience shows that all those who are involved in the practicalities of implementing rules of this kind on the ground - which means experts, which means the two sides of industry, as the British call them - should be given a tangible role in the implementation process.
Das ist im Ansatz geschehen.	Basically, this is what has happened.
Insofern denke ich, sind die beiden Berichte auf gutem Weg.	In this respect, I think that the two reports are on the right track.
Eine Bemerkung noch zur Sonntagsruhe: Ich sehe nicht ein, warum es nicht möglich sein soll, in unserer modernen flexiblen Produktionswelt einen Moment der Ruhe gemeinsam zu fixieren.	I have one further comment on Sunday rest: I do not see why it should not be possible - in our modern flexible world of production - for us to agree on a time of rest.
Das ist auch ein wichtiges Element sozialer Kohäsion und Kommunikation und sollte erreichbar sein.	That too is an important part of social cohesion and communication and ought to be attainable.
