Herr Präsident! Den beiden Berichterstattern ist zu danken.	Mr President, thanks are due to the two rapporteurs.
Die Ratspräsidentschaften von Finnland, Portugal und Frankreich sind aufzufordern, den Vorschlägen dieses Berichts zu folgen, der ja zu Recht auf der Kritik auch dieses Europäischen Parlaments an den Beschlüssen von Amsterdam aufbaut.	Finland' s Portugal' s and France' s Presidencies of the Council are to be requested to comply with the proposals in this report which is quite rightly based upon the criticism, partly by this European Parliament, of the decisions in Amsterdam.
Gerade weil Herr Tsatsos noch einmal darauf hingewiesen hat, möchte ich betonen, daß der Vorschlag in Ziffer 5 wirklich von zentraler Bedeutung ist.	For no other reason than that Mr Tsatsos has again referred to the matter, I should like to emphasise that the proposal in subparagraph 5 is really of central importance.
Es ist wichtig, daß wir einen Paketvorschlag für eine Globalreform bekommen, in dem die wichtigen Fragen der Mehrheitsabstimmung genauso zu finden sind wie die Reform der Institutionen und auch die Befassung mit wichtigen Themen.	It is important that we obtain a package proposal for global reform in which the important questions relating to majority voting are dealt with just as much as those relating to reform of the institutions and other important themes.
Hier, meine ich, ist es das Wichtigste, daß wir über die Konstitutionalisierung der Union nachdenken.	I think that the most important thing here is that we consider how the European Union might be provided with a constitution.
Diese Forderung kann nur unterstrichen werden, denn Europa kann nur erwachsen werden, wenn es sich eine Verfassung gibt.	This demand can hardly be emphasised enough, for Europe can only come of age when it provides itself with a constitution.
Zu unklar sind heute Sinnfindung und Finalität der Europäischen Union.	The purposes and goals of the European Union are too unclear at the moment.
Zu Recht hat das Europäische Parlament bereits mehrfach Verfassungsentwürfe vorgelegt, und ich denke, sie sollten deutlich machen, daß Europa mehr ist als ein Markt.	The European Parliament has quite rightly already submitted several draft constitutions, and I think that these ought to make it clear that Europe is more than a market.
Wir müssen uns also Gedanken machen um eine Brüsseler Republik, eine Staatengemeinschaft ganz eigener Art, ohne historische Vorbilder.	We must therefore be thinking in terms of a Brussels Republic, a unique community of States without historical precedent.
Ob die Verfassungsdiskussion Europas BürgerInnen mehr Europabegeisterung einflößt, ist unklar.	Whether the discussion of a European constitution will imbue Europe' s citizens with more enthusiasm for Europe is unclear.
Die Legitimationsproblematik eines Raumes oder eines Marktes ohne Staat verlangt aber den Versuch, der übrigens mit der Herausbildung einer europäischen Zivilgesellschaft und des Ortes einer europäischen Öffentlichkeit einhergehen muß.	On account of the problems entailed in legitimising an area or a market without the structure of a State, the attempt does need, however, to be made to inspire such enthusiasm. This must also go hand in hand with the development of a European civil society and of a European public.
Wir haben es mit einer Substanzveränderung der nationalen Souveränität weltweit zu tun, weil die Staaten weder nach außen noch nach innen unbegrenzte Handlungsfreiheit haben und ihre Fähigkeit zu Politikgestaltung und Problemlösung durch die Realität internationaler Beziehungen, transnationaler Interdependenzen und Interaktionen begrenzt ist.	We are seeing a change worldwide in the essential character of national sovereignty because States do not have unlimited freedom of action, either at home or abroad, and their ability to form policies and solve problems is limited by the realities of international relations and of trans-national forms of interdependence and interaction.
Das zeigt sich insbesondere im Zusammenhang mit der Wirtschaft, dem Handel und dem Wettbewerb.	This is particularly apparent in connection with the economy, trade and competition.
Gerade auch in diesen Bereichen ist es sehr wichtig, von dem Prinzip der Einstimmigkeit zur Mehrheitsabstimmung zu kommen.	It is precisely in this area, too, that it is very important to move from the principle of unanimity to majority voting.
Die Union muß handlungsfähiger werden, und daher bedarf es einer neuen Gewaltenteilung über einen sogenannten Kompetenzkatalog.	The European Union must become better able to act and it therefore needs a new separation of powers through a catalogue of competences.
Angesichts der veränderten Verhältnisse muß ein neues System der Gewaltenteilung her, das die klassische Montesquienschen Gewaltenteilung ergänzt um eine neue Form der Gewaltenteilung auf unterschiedlichen Ebenen.	In view of the changed circumstances, a new system for the separation of powers must be devised which augments the classical separation of powers as prescribed by Montesquieu with a new form of separation of powers at different levels.
Wir brauchen vernetzte Mehrebenenentscheidungsprozesse.	We need integrated multi-level decision-making processes.
Die heute vorgesehenen Koordinierungsprozesse reichen nicht aus, um europäischen Mehrwert zu organisieren.	The coordination processes at present prescribed are inadequate to the task of organising European added value.
Das zeigt sich besonders deutlich an der Schieflage zwischen der Wirtschaftsunion und der Währungsunion und an der Schieflage zwischen der politischen Union und der Wirtschafts- und Währungsunion.	That is particularly clear from the difficulties between economic union and monetary union and the difficulties between the political union and the economic and monetary union.
Da wir durch interinstitutionelle Vereinbarungen in diesem Bereich nicht ein Mehr an Demokratie organisieren können, brauchen wir in der Tat hier auch eine Revision des Vertrags.	Since we cannot boost democracy, through interinstitutional agreements in this area, we also, in fact, require a revision of the Treaty in this regard.
