Herr Präsident! Was ist die Botschaft der Europäer für die fast 18 Millionen Arbeitslosen?	Mr President, what message do Europeans have for our almost 18 million unemployed people?
Sind wir in der Lage, statt nur feierliche Erklärungen abzugeben, konkrete Probleme zu lösen?	Are we able to solve real problems, instead of simply making solemn declarations?
Neue Arbeitsplätze im Umweltbereich, bei sozialen Dienstleistungen, in den Informations- und Kommunikationstechniken reichen allein nicht aus.	New jobs in the environmental sector, social services and information and communications technology are not enough in themselves.
Mit Kompetenzgerangel kommen wir keinen Schritt weiter.	Disputes over competence will not take us any further forward.
Erst wenn Maßnahmen auf europäischer Ebene mit denen der Mitgliedstaaten vernetzt sind, werden wirksame Ergebnisse erzielt.	Only when measures at European level are coordinated with those of the Member States will effective results be achieved.
Jacques Santers Vertrauenspakt für Beschäftigung hebelt berechtigte Subsidiarität keineswegs aus.	Jacques Santer's confidence pact on employment in no way impinges on the legitimate aim of subsidiarity.
Zwar wird durch ein Beschäftigungskapitel im neuen EU-Vertrag kein zusätzlicher Arbeitsplatz geschaffen, aber es werden Grundlagen für eine aktive Beschäftigungspolitik gelegt.	A chapter on employment in the new EU Treaty will not in fact create a single extra job, but the foundations are being laid for an active policy on employment.
Die Kommission soll Maßnahmen der Mitgliedstaaten ja ergänzen und nicht ersetzen.	After all, the Commission is supposed to complement, not replace, measures taken by the Member States.
Es geht also nicht um neue millionenschwere Programme, sondern vielmehr um gemeinsam verabschiedete Gelder wie die Strukturfonds, die gebündelt werden sollen, um mehr Effektivität zu erzielen.	It is therefore not a question of new programmes costing millions, but rather of jointly agreed resources, such as the Structural Funds, being coordinated so as to enhance their effectiveness.
Der Rat von Essen hat mit der Festlegung auf fünf Aktionsfelder konkrete Schritte eingeleitet.	The European Council in Essen took the first real steps by establishing five areas for action.
Der Rat von Madrid hat den Abbau regionaler Ungleichgewichte beschlossen, auch um die Langzeitarbeitslosigkeit zu bekämpfen.	The Madrid Council then decided to reduce regional imbalances, not least as a means of combating long-term unemployment.
Forschung und Entwicklung müssen mit Nachdruck gefördert werden, ebenso die kleinen und mittleren Unternehmen, die das Gros der Ausbildungs- und Arbeitsplätze in Europa stellen.	Research and development must be strongly promoted, alongside small and medium-sized enterprises, which provide the bulk of the jobs and traineeships in Europe.
Wir brauchen flexiblere Arbeitszeiten, höhere Investitionen in Aus- und Weiterbildung, die Durchsetzung des lifelong learning und insgesamt eine Stabilitätspolitik.	We need more flexible working hours, greater investment in training and further training, the introduction of lifelong learning and more generally a policy of stability.
An den Konvergenzkriterien und an der dritten Stufe für die Wirtschafts- und Währungsunion muß festgehalten werden.	The convergence criteria and the third stage of economic and monetary union must be adhered to.
Der EURO als Hartwährung wird zu einem Investitionsschub und zur Schaffung neuer Arbeitsplätze in Europa beitragen.	As a hard currency, the euro will help to boost investment and to create new jobs in Europe.
Die soziale Marktwirtschaft ist und bleibt der geistige Exportschlager Europas.	The social market economy is and will remain Europe's number one export in intellectual terms.
Aber beide Teile müssen harmonisieren, der wirtschaftliche Teil mit einer Steigerung der Wettbewerbsfähigkeit und der soziale Teil, der zu keiner Zeit zur Disposition gestellt werden darf.	But both parts must be in harmony: the economic part, with an increase in competitiveness, and the social part, which must never be allowed to fall by the wayside.
Wir haben ein Konsensmodell und kein Konfrontationsmodell.	Our model is based on consensus, not on confrontation.
In dieses Klima gehören die anzustrebenden Bündnisse für Arbeit und die Berücksichtigung der Interessen der Sozialpartner.	The alliances on employment which should be pursued and respect for the interests of the social partners belong in this context.
