Herr Präsident! Herr Kommissionspräsident, drei kurze Bemerkungen.	Mr President, Mr President of the Commission, I have three brief comments to make.
Erstens gehört zur ersten Phase nicht nur die öffentliche Debatte - den Bemerkungen von Herrn Swoboda und Herrn Brok dazu stimme ich zu -, sondern zur ersten Phase gehört auch die vorgesehene Erklärung von Laeken.	First, the initial stage should involve both public debate - I agree with the comments made on this by Mr Swoboda and Mr Brok - and it should involve the planned Laeken declaration.
Meine ganz klare Frage an Sie lautet: Sind Sie - die Kommission - bereit und wird es uns gelingen, in diesem Jahr 2001 für Laeken einen gemeinsamen Vorschlag der Kommission und des Parlaments für die weitere Strukturierung des Prozesses von "Nach-Nizza " vorzulegen?	I have a very straightforward question to put to you: are you - the Commission - ready and will we manage this year, in 2001, to present a common Commission and Parliament proposal for Laeken on the subsequent structure of the post-Nice process?
Das ist die erste Frage, bei der es um die Methode geht.	That is my first question, which concerns the method.
Bezüglich der zweiten Frage begrüße ich, dass Sie davon gesprochen haben, dass wir ein Gremium für die Beteiligung von Regierungen, der Kommission, des Europäischen Parlaments und der nationalen Parlamente schaffen müssen.	As regards my second point, I was delighted to hear you say that we must set up a committee to involve governments, the Commission, the European Parliament and the national parliaments.
Wir wollen einen Konvent für das weitere Fortschreiten des Post-Nizza-Prozesses, einen Konvent, der ein Gravitationszentrum für die öffentliche Debatte, also Adressat und Absender von Vorschlägen ist, und gleichzeitig einen klaren Vorschlag für die Regierungskonferenz und für die Themen, die dann 2004 verhandelt werden müssen, vorlegt.	We want a convention to move the post-Nice process forward, a convention which is the centre of gravity for public debate, i.e. which sends and receives proposals and, at the same time, presents a clear proposal for the Intergovernmental Conference and for the issues which will need to be negotiated in 2004.
Die dritte Frage betrifft die Themen.	My third point relates to the subjects.
Vier Themen sind vorgesehen, was in Ordnung und machbar ist; aber wir wissen alle, dass nicht nur diese Themen präzisiert werden müssen, sondern dass für 2004 sehr viel mehr auf dem Spiel steht und stehen muss.	Four subjects are planned, which is both fine and feasible; but we all know that it is not just these subjects which need to be clarified and that much more is and must be at stake for 2004.
Ich möchte uns allen raten, dass wir von diesem merkwürdigen Begriff "Post-Nizza ", "Nach-Nizza ", wegkommen.	I would advise each and everyone of us to get away from this strange 'post-Nice' concept.
Es geht nicht um "Nach-Nizza ".	Post-Nice is not what it is about.
Nizza ist nicht nur das Ende einer Methode, sondern Nizza ist im Grunde auch das Ende einer Epoche, der Epoche des europäischen Einigungsprozesses der 50er, 60er, 70er und 80er Jahre.	Nice is not only the end of a method, Nice is also the end of an era , the era of the European unification process of the 1950s, the 1960s, the 1970s and the 1980s.
Jetzt geht es darum, die Vorbereitung auf eine neue Europäische Union zu schaffen, das heißt, eine Europäische Union des 21. Jahrhunderts.	Now what we have to do is to prepare the ground for a new European Union, a European Union of the twenty-first century.
Es geht nicht um den "Nach-Nizza-Prozess ", sondern darum, dass wir vor einer Erneuerung des europäischen Einigungsprozesses stehen. Das muss deutlich werden.	It is not about the post-Nice process, it is about standing on the verge of a renewed European unification process and we must make this clear.
Wenn wir die Öffentlichkeit, wenn wir die öffentliche Debatte, wenn wir die Menschen, die Bürgerinnen und Bürger für unsere Ziele der europäischen Einigung gewinnen wollen, dann reicht es nicht, einen "Nach-Nizza-Prozess " einzuleiten, sondern wir müssen den Menschen deutlich machen, dass es um eine neue Europäische Union in einem neuen Europa geht, das sich seit 1990 verändert hat!	If we want to convince public opinion, public debate, the people and the citizens of the merits of our objective of European unification, then starting a post-Nice process is not enough; on the contrary, we must ensure that the people understand that we are talking about a new European Union in a new Europe, a Europe which has changed since 1990.
