Herr Präsident, der Bericht von Frau Van Dijk findet meine volle Unterstützung.	Mr President, the report by Mrs van Dijk has my full support.
Alle geforderten technischen und veterinärmedizinischen Maßnahmen zur Verbesserung der Transportbedingungen der Tiere sind sinnvoll.	All the proposed technical and veterinary measures for the improvement of transport conditions for animals are sensible.
Sie sind wohlüberlegt und vor allem realisierbar.	They are well-considered and above all practicable.
Sie sollten so schnell wie möglich umgesetzt werden.	They should be implemented as soon as possible.
Erlauben Sie mir, darauf hinzuweisen, daß sich in Österreich gerade die Freiheitlichen in besonderem Maße der durch die Lebendtransporte gequälten Tiere annehmen.	Let me point out that in Austria at the moment the Independent Party is doing lot on behalf of animals who suffer as a result of live transport.
Unsere bisherigen Aktivitäten reichen von offenen Briefen an Herrn Kommissar Fischler über Unterschriftenaktionen, Aktionstagen bis hin zur Blockade neuralgischer Grenzübergänge, denn in Österreich ergibt sich eine ganz besondere Situation, das österreichische Tiertransportstraße-Gesetz betreffend.	Our activities so far reach from open letters to Commissioner Fischler, through collecting signatures and action days, to blockades of sensitive border crossings; because in Austria there is a special situation arising from Austria's Animal Transport Law.
Die Festlegung der Gesamttransportdauer ist noch nicht an die diesbezüglich streng gefaßten Bestimmungen der EU-Richtlinien angepaßt.	The regulation on total transport duration has not yet been brought into line with the strictly-worded EU guidelines in this respect.
Obwohl die in Österreich erlaubte gesamte Transportdauer von sechs Stunden eine rigorosere Beschränkung als in der EU vorsieht, kann ein Transporteur selbst dann, wenn er im Ausland bereits mehr als sechs Stunden unterwegs war, nicht belangt werden, wenn er nicht innerhalb Österreichs diese Frist überschritten hat.	Although in Austria the total authorized transport duration of six hours is a more rigorous limit than that proposed by the EU, a driver cannot be prosecuted if he has not exceeded this limit in Austria, even though he has been driving for more than six hours in a foreign country.
Dies ist - entschuldigen Sie, wenn ich das so offen sage - ein lebensverachtender Unsinn!	This is - excuse me for speaking plainly - absolute rubbish, which holds life in contempt!
Das ist eine Einladung zum Mißbrauch einer an sich gut gemeinten Vorschrift.	It is an invitation to misuse a well-meaning law.
Damit bin ich beim Hauptproblem.	Now I come to the main problem.
Ohne wirksame und strengere Kontrollen und vor allem ohne effiziente Strafbestimmungen bleibt jede Richtlinie ein zahnloser Tiger.	Every regulation will remain a toothless tiger unless it contains effective and stricter controls and, above all, efficient criminal sanctions.
Das heißt, daß die genannten EU-Richtlinien zu schweren Vollzugsdefiziten führen, weil darin schlicht und einfach keine Strafbestimmungen enthalten sind.	This means that the EU guidelines will lead to serious problems in practice, simply because they contain no criminal penalties.
Ich glaube daher, daß bei den entsprechenden Strafbestimmungen die Forderungen noch wesentlich rigoroser formuliert werden sollten.	I believe, therefore, that the requirements of the relevant criminal laws should be much more strictly worded.
In Österreich haben wir beispielsweise in Eigeninitiative seit April dieses Jahres einen sogenannten Tiertransportinspektor an der am stärksten frequentierten Autobahnroute installiert, der sämtliche Transporter, die nicht entsprechend eingestreut, deren Tiere nicht gefüttert und getränkt wurden, zwangsweise zu einer eigens eingerichteten Tier- und Tränkestation bringen läßt.	In Austria, for example, we introduced on our own initiative, in April this year, an animal transport inspector on the busiest motorway route. His task is to force any truck to be taken to a specially established animal and watering station if its floor is not correctly covered with straw or sawdust, or if its animals have not been watered and fed.
Aber noch einmal, ohne wirksame Strafbestimmungen, ohne empfindliche Geldbußen machen wir die Rechnung ohne den Wirt!	Yet again, without effective penalties, without considerable fines, we are just achieving half a solution.
Die Lebendtiertransporte sind nämlich genau ab dem Zeitpunkt, wo sie finanziell von der Kommission so großzügig unterstützt wurden, explosionsartig angestiegen.	Live animal transport has expanded explosively since precisely that moment when it received such generous help from Commission.
Das zeigt, daß sehr viele in der Branche die Sprache des Geldes sehr gut verstehen, und mit dem Leid der Tiere ist noch immer viel zu viel Geld zu verdienen.	That shows that many people in the business are very well aware of the power of money, and with animal suffering there is still much too much money to be made.
Das ist der eigentliche Kern des Problems.	That is the actual core of the problem.
