Vizepräsident der Kommission.	Vice-President of the Commission.
Herr Abgeordneter! Ich muss Ihnen gestehen, dass mir völlig unklar ist, auf welche Annahme sich Ihre Frage stützt, und woher der Eindruck entstehen konnte, den Sie in Ihrer Frage vermitteln.	Honourable Member, I must admit that I have no idea on what assumption your question is based or where the impression that comes over in your question can have come from.
Die Annahme, die Ihrer Frage zugrunde liegt, ist grundfalsch.	The assumption underlying your question is completely wrong.
Es gab und gibt in der Frage bindender Obergrenzen für CO2-Emissionen nicht den geringsten Gegensatz zwischen dem Kollegen Dimas und mir - ganz im Gegenteil.	There has not been and is not the slightest difference between Mr Dimas and myself in the matter of binding upper limits for CO2 emissions - quite the opposite.
Wir beide waren die ersten, die bereits im Dezember des vergangenen Jahres gesagt haben, dass gesetzliche Maßnahmen notwendig sind.	The two of us were the first to say, in December of last year, that legislative measures are necessary.
Ich habe hier im Parlament im November des vergangenen Jahres angekündigt, dass wir gesetzliche Maßnahmen mit bindenden Obergrenzen vorschreiben würden.	In November last year I announced here in Parliament that we would be laying down statutory measures with binding limits.
Wir stützen uns dabei auf die Empfehlungen der Hochrangigen Gruppe CARS 21, über die ich dem Parlament berichtet habe.	In so doing, we are basing ourselves on the recommendations of the High Level Group CARS 21, about which I have reported to Parliament.
Diese Gruppe hat den so genannten integrierten Ansatz empfohlen. Das hat auch die Kommission in ihrem Beschluss übernommen, der mit Zustimmung sowohl des Kollegen Dimas als auch von mir gefasst wurde.	That group recommended the 'integrated approach', and the Commission included it in its decision, which was adopted with the agreement of both Mr Dimas and myself.
Der integrierte Ansatz bedeutet, dass auch der verstärkte Einsatz von Biotreibstoffen vorgesehen ist, um bei der europäischen Kraftfahrzeugflotte das gewünschte Reduzierungsziel von 120 Gramm CO2 pro km im Durchschnitt zu erreichen.	The integrated approach means that greater use will also be made of biofuels to meet the reduced emission target of an average of 120g CO2 per km for the European automobile fleet.
Ich habe mich sehr häufig in zahlreichen Interviews vor und auch nach der Entscheidung der Kommission gerade zu dieser Frage geäußert, und darauf hingewiesen, wie wichtig es ist, dass wir jetzt den Anteil von Biotreibstoffen erhöhen.	I have given a large number of interviews on this very subject both before and after the Commission's decision, pointing out how important it is to increase the proportion of biofuels now.
Ich bin deswegen sehr glücklich über den Beschluss des Europäischen Rates der vergangenen Woche, der ja dem Vorschlag der Kommission und meinem Vorschlag gefolgt ist, den Anteil von Biotreibstoffen am europäischem Kraftstoffverbrauch in den nächsten Jahren auf insgesamt 10% zu erhöhen.	I am therefore very pleased that last week the European Council decided to follow the Commission's and my proposal to increase the proportion of biofuels to as much as 10% of European fuel consumption in the next few years.
Ich kann Ihnen also versichern: Es gibt in dieser Frage nicht nur keine Gegensätze zwischen dem Kollegen Dimas und mir, sondern wir arbeiten gemeinsam mit allen Kräften daran, diese von der Kommission beschlossenen Ziele zu erreichen.	I can therefore assure you that not only are there no differences of opinion between Mr Dimas and myself on this issue, but we are working together to do all we can to reach these targets that the Commission has decided.
