Herr Präsident! Ich betrachte meine Wortmeldung nur mehr als Zusammenfassung.	Mr President, my speech will simply be a summary.
Es ist alles gesagt worden, was für und gegen diese Richtlinie in dieser Form spricht.	Everything has been said, both for and against this directive in its current form.
Ich glaube, es kann hier niemand dagegen sein, wenn man Rechnungslegungsvorschriften einschränken will, um es für Kleinstunternehmen einfacher zu machen.	I believe that nobody here can be against us wanting to reduce financial reporting provisions in order to make things easier for micro-entities.
Ich habe allerdings den Eindruck, dass man hier auf halbem Weg stehengeblieben ist oder stehenbleiben möchte und sich nicht wirklich traut, diesen Weg zu Ende zu gehen.	However, I have the impression that we have stopped halfway or would like to stop and we do not really have the courage to follow things through.
Wir alle wissen, dass man Rechnungslegungsvorschriften brauchen wird und dass jedes auch noch so kleine Unternehmen Unterlagen brauchen wird, um seine unternehmerische Situation darstellen und beweisen zu können.	We all know that we will need financial reporting provisions and that even the smallest business will need records to portray and prove the state of its business.
Das mag jetzt Basel II sein, das mögen finanztechnische Unterlagen sein, das kann vieles sein.	Now that may be Basel II, that may be fiscal records, that may be many things.
Es können sich in Zukunft auch neue Vorschriften ergeben, die vielleicht aus anderen Ländern - aus Amerika oder von wo auch immer - zu uns kommen und mit denen wir uns befassen müssen.	In future, new provisions may appear, which perhaps come to us from other countries - from the US or wherever - and which we have to deal with.
Es muss aber doch möglich sein, hier weiterzugehen und sich überhaupt zu überlegen, wie wir mit Rechnungslegungsvorschriften weiterhin umgehen.	However, it must be possible to go further here and to consider how we will continue to handle financial reporting provisions.
Es muss doch möglich sein, in einem Wettbewerbsraum wie Europa endlich einmal wirklich konkrete Richtlinien zustande zu bringen, und das wohlgemerkt - und das wäre mein Ansatz - nicht nur für Kleinstunternehmen, sondern sehr wohl auch für größere Unternehmen.	It must be possible in an area of competition like Europe to once and for all produce really concrete directives, and notably - that would be my point - not just for micro-entities, but indeed for larger businesses, too.
Der Aufwand - das weiß ich aus meinem Beruf als Rechtsanwältin -, den man betreiben muss, um erforderliche Unterlagen zu beschaffen und diese dann auch mithilfe von mehreren Mitarbeitern entsprechend auszuwerten, ist auch in größeren Unternehmen sehr hoch, bedeutet viel Arbeit und kostet viel Geld.	The effort - I know this from my work as a lawyer - required in order to provide the necessary records and then analyse them with the help of several colleagues is immense in larger businesses, too. It involves a lot of work and costs a lot of money.
Kleinstunternehmen haben diesen Aufwand ohnedies nicht zu leisten, sie können das gar nicht.	Micro-entities, moreover, cannot afford this effort at all.
Aber ich plädiere dafür, wenn man sich diesen Unternehmen widmet und sich mit den Rechnungslegungsvorschriften im Rahmen der vierten und siebten Richtlinie wirklich befassen möchte, auch daran zu denken, den Verwaltungsaufwand generell zu vereinfachen und sinnvolle, aussagekräftige Richtlinien zu schaffen.	However, if we are focusing on these businesses and really want to deal with financial reporting provisions within the framework of the fourth and seventh directives, I ask you to also consider simplifying the administrative burden in general and creating sensible, sound directives.
