Danke, Frau Präsidentin!	Thank you Madam President.
Ich werde versuchen, die Redezeit genau einzuhalten.	I shall try to keep to my speaking time.
Grundsätzlich begrüßen wir die Einführung von SIS II und dessen Funktionalität.	In principle, we welcome the introduction of SIS II and its functionality.
Ich habe mich in meiner Zeit als Innenminister in den ersten Jahren dieses Jahrtausends sehr dafür eingesetzt, dass dieses System kommt.	In my time as Minister for the Interior at the beginning of this millennium, I lobbied intensively for this system.
Damals wurde uns versprochen, dass es 2007 eingeführt wird, auch deshalb, weil wir es für die neuen Mitgliedsländer dringend bräuchten, damit diese an der Sicherheitsarchitektur teilhaben können.	At that time, we were promised that it would be introduced in 2007, one reason being that we urgently needed it for the new Member States so that they could participate in this security architecture.
Die neuen Mitgliedsländer sind da, aber SIS II ist noch nicht da.	The new Member States are here, but SIS II is still not here.
Die zeitliche Verzögerung muss schonungslos analysiert und hinterfragt werden.	The delay needs to be relentlessly analysed and investigated.
Es muss auch klare Konsequenzen geben.	There must also be clear consequences.
Wir sollten aus den Erfahrungen für die Zukunft lernen.	We should learn from past experiences for the future.
Wir müssen anerkennen, dass die Kommission alles daran gesetzt hat, das SIS II-Projekt weiterzuführen, und dafür auch nicht ganz so gute Testergebnisse in Kauf genommen hat.	We must admit that the Commission has done everything to advance the SIS II project, including putting up with less than perfect test results.
Wir müssen allerdings festhalten, dass es keinen Sinn hat, hier zu große Kompromisse zu machen, weil dies auf Kosten der Stabilität und der Verlässlichkeit des Systems gehen würde.	However, we must not forget that it makes no sense to make too big a compromise here because it would be at the expense of the stability and reliability of the system.
Daher sollten wir jegliche zusätzliche finanzielle Belastungen, die nach der Analyse oder nach den Tests herauskommen könnten, für die Mitgliedstaaten verhindern, ebenso weitere Verzögerungen des Systems.	We should therefore prevent any additional financial burden for the Member States which might come out of the analysis or the tests and any further delay in the system.
Was wir aber dafür brauchen, ist 100 %ige Transparenz, ist auch eine sehr klare Sprache gegenüber jenen, die das Projekt im Namen der Kommission ausführen, und das muss auch bedeuten, dass es - wenn notwendig - finanzielle Konsequenzen für diese Projektanbieter geben muss.	What we need for this is 100% transparency, as well as clear language for those implementing the project on the Commission's behalf, and that must also mean that, where necessary, there are financial consequences for these project managers.
