Frau Präsidentin! Ich kann mich den Worten von Frau Flemming anschließen.	Madam President, I agree with what Mrs Flemming said.
Wir fanden Ihren Bericht in erster und zweiter Lesung, Frau Lone Dybkjær, ganz hervorragend und einen wirklichen Lichtblick für das Europäische Parlament.	At both first and second reading, Mrs Dybkjær, we considered your report to be absolutely first-rate and a real ray of hope for the European Parliament.
Aber haben wir genau aus den genannten Gründen dem Vermittlungsausschußergebnis nicht zugestimmt?	But was it not precisely for those reasons that we did not agree with the outcome of the Conciliation Committee?
Wir glauben, es ist nicht Rotwein wert, sondern höchstens ein Glas Selters, denn was bleibt denn von den zehn Punkten, die das Parlament vorgelegt hat?	We believe that it is not even worthy of red wine, but at most a glass of seltzer - what remains, after all, of the ten points submitted by Parliament?
Wo haben wir denn die Zusage, daß endlich das Weißbuch kommt oder - was noch wichtiger ist - daß wir endlich eine Umwelthaftungsregelung bekommen?	Where is the agreement that the White Paper is finally on its way or, even more importantly, that environmental liability is finally being regulated?
Seit Jahren werden wir von der Kommission vertröstet - ich befürchte auf den Sankt Nimmerleinstag - und so geht es leider weiter.	For years the Commission has been putting us off, and so it goes on. I fear it might just happen on twelfth of never.
Wie Frau Flemming bereits sagte: Wo ist denn die ganz klare Aussage, daß wir uns endlich mal die Regelungen der drei neuen Mitgliedstaaten anschauen und sehr Gutes von dort auch übernehmen?	As Mrs Flemming already said, where is the very clear statement that we will finally look at the regulations in the three new Member States and take very best points over from them?
Es gäbe eine ganze Reihe solcher Errungenschaften.	There should be a whole series of such achievements.
Oder wo bleibt, was wir als Parlament gefordert haben, endlich ein Managementplan für radioaktive Abfälle?	Or where is the management plan for radioactive waste which we, as Parliament, requested?
Nichts von dem ist im Ergebnis enthalten.	None of this is in the outcome.
Von daher, glaube ich, wird sich Frau Bjerregaard, die uns ja im Zusammenhang mit dem fünften Aktionsprogramm als Micky-Maus-Parlament bezeichnet hat, hier weiter über das Parlament lustig machen.	For this reason I believe that Mrs Bjerregard, who has already described us as a Mickey Mouse Parliament in connection with the Fifth Action Programme, will continue to make a joke of Parliament.
Ich hätte gern einmal gewußt, was denn konkret aus Umwelthaftung wird, was denn die Kommission an neuen Punkten plant.	I would have liked to know what, in concrete terms, will become of environmental liability, what new points the Commission is planning.
Wir befürchten, und deshalb haben wir nicht zugestimmt, daß das im Sinne des Umweltschutzes ein allzu mageres Ergebnis ist.	We fear that in environmental terms this result is much too poor, and for this reason we did not vote for it.
