Herr Präsident! Wir führen heute eigentlich eine Sicherheitsdebatte in zwei Blocks.	Mr President, what we are really doing today is holding a security debate in two blocks.
Ich möchte im ersten Block das Problem der Drogen herausgreifen.	In the first block I would like to look at the problem of drugs.
Dies hat einen einfachen Grund: Gegenwärtig konsumieren mehr als 5 Millionen Jugendliche in der Europäischen Union synthetische Drogen.	There is a simple reason for this: currently more than 5 million young people in the European Union are taking synthetic drugs.
Wir müssen insgesamt in allen Berichten feststellen, daß der Drogenkonsum und auch das Geschäft mit den Drogen leider eklatant zunehmen.	Overall, it is clear from all the reports that drug consumption and the trade in drugs are unfortunately increasing spectacularly.
Wir brauchen effektive Antidrogenstrategien in der Europäischen Union. Wenn wir uns auch darum bemühen, ist doch unser Problem, daß wir wegen der Vielzahl der Dinge, die wir im Rahmen unserer Strategien unternehmen, nicht immer klar für die Bevölkerung erkennbar sind.	We need effective anti-drugs strategies in the European Union, but our problem here is that because we try to do so many different things as part of our strategies people do not always really know what is going on.
Die Antidrogenstrategien laufen über drei Pfeiler; wir haben mehrere Aktionspläne und eine Vielzahl von Berichten zu der Drogenproblematik.	The anti-drugs strategies come under three pillars; we have several action plans and a variety of reports on the drugs problem.
Wir benötigen dringend Einigkeit in der Aussage und damit Erkennbarkeit in unseren Strategien.	We urgently need to adopt a single position and recognisable strategies.
Ich möchte einige Punkte herausgreifen, von denen ich glaube, daß sie sehr wesentlich sind.	I would like to address a number of points which I believe are essential.
Als erstes sollten wir uns als ein Signal möglichst angewöhnen, nicht von Drogenstrategien, sondern von Antidrogenstrategien zu sprechen.	Firstly, we should send out a signal by trying where possible not to talk about drugs strategies but about anti-drugs strategies.
Dies gilt auch für alle Berichte, die sich damit befassen.	This also applies to all reports on the subject.
Zweitens sollte dauerhaft vertreten werden, was wir uns hier vorgenommen haben, nämlich daß es auch in Zukunft keine Liberalisierung und keine Legalisierung bei Produktion, Verkauf und Konsum von Drogen geben darf.	Secondly, we must support what we have decided here in the long term, in other words in future there must still be no liberalisation or legalisation of the production, sale or consumption of drugs.
Es darf nicht die Zukunft der Europäischen Union sein, daß es Haschisch im Tabakladen oder Heroin auf Krankenschein gibt.	The future of the European Union must not be one where hashish is sold in tobacconists and heroin is given on prescription.
Das kann niemals unsere Realität sein.	This must never become a reality for us.
Drittens müssen wir unsere Drogendebatte entideologisiert führen.	Thirdly, we must remove ideology from our drugs debate.
Wir brauchen pragmatische, effektive Lösungsansätze, die von der Prävention über die Repression bis zur Hilfestellung für Süchtige reichen, wobei ich meine, wir sollten in der Prävention vor allem in den Schulen Maßnahmen ergreifen, denn dort erreichen wir alle Jugendlichen der Europäischen Union.	We need pragmatic, effective solutions ranging from prevention through repression to support for addicts. However, I think that we should concentrate our prevention efforts on schools, because there we can reach all the young people of the European Union.
Ich schlage zum wiederholten Male vor, daß wir Aktionen auf freiwilliger Basis fördern. Dankenswerterweise hat die Frau Kommissarin auch Unterstützung zugesichert.	I would propose yet again that we should promote voluntary measures, and the Commissioner has also kindly promised support here.
So sollten die Schulen in Europa auf freiwilliger Basis zu drogenfreien Zonen erklärt werden.	So schools in Europe should be declared drug-free zones on a voluntary basis.
Die Kooperation mit der chemischen Industrie, etwa in der Bekämpfung der Vorläufersubstanzen, sollte verbessert und ausgebaut werden.	Cooperation with the chemicals industry, for example in combating precursors, should be improved and increased.
In der Repression muß es darum gehen, Europol auszubauen, die Polizei zu unterstützen, die Justizkooperation voranzutreiben und insgesamt Hilfe für Süchtige einzuleiten.	With regard to repression, the aim must be to extend Europol, support the police, promote judicial cooperation and generally to introduce help for addicts.
Schließlich muß Europa als Sicherheitsgemeinschaft in allen Strategien erkennbar werden.	Finally, Europe must be seen in all its strategies to be a Community of security.
Hier hege ich keinerlei Befürchtungen, wenn ich mir die Berichte ansehe, wie beispielsweise die Berichte von Herrn Nassauer und Herrn Wiebenga.	I have no fears in this respect when I look at reports such as those by Mr Nassauer and Mr Wiebenga.
Da werden starke Aktionen gefordert, und ich wünsche mir weitere starke Aktionen auf dem Sondergipfel von Tampere.	These call for strong measures and I am hoping for further strong measures at the Tampere summit.
