schriftlich. - Der Lissabon-Vertrag wird ein militaristisches Europa möglich machen.	in writing. - The Lisbon Treaty will make a militaristic Europe possible.
Die bisherigen EG- und EU-Verträge verbieten einen eigenen permanenten EU-Militärhaushalt. Mit dem "Anschubfonds" (Art. 28 Abs.	Previous EC and EU treaties do not allow a permanent EU military budget, but the 'start-up fund' (Article 28 paragraph 3) now pays for operational EU military spending.
3) können jetzt auch operative EU-Militärausgaben beglichen werden. Damit gibt es zusätzlich zu den einzelstaatlichen Militärhaushalten einen eigenen EU-Militärhaushalt.	In addition to the individual states' military budgets, it provides for the EU to have a military budget of its own.
Im Artikel 28c Abs. 3 findet sich die viel kritisierte Aufrüstungsverpflichtung, die durch eine EU-Rüstungsagentur (Art. 28) umgesetzt werden soll.	Article 28c paragraph 3 contains the much-criticised mutual aid and assistance obligation to be implemented via a European Defence Agency (Article 28).
Die institutionelle Zusammenarbeit zwischen EU und NATO wird vertraglich festgeschrieben (Art. 28a Abs. 7).	Institutional collaboration between the EU and NATO is stipulated in the Treaty (Article 28a paragraph 7).
Das Recht des Bundestags, über Auslandseinsätze der Bundeswehr zu entscheiden, wird erheblich ausgehöhlt.	The right of the Bundestag to decide whether the German Federal Army will be deployed in other countries is significantly undermined.
Mit dem Reformvertrag wird ein militärisches Kerneuropa durch das Instrument der "Ständigen Strukturierten Zusammenarbeit" ermöglicht.	The Reform Treaty allows for the formation of a military core Europe via 'permanent structured cooperation'.
Dies schafft einen Primärrechtsrahmen für die verstärkte Entsendung von EU-Battle-Groups (Art. 28, Protokoll Nr. 4).	This creates a primary legislation framework for increased deployment of EU battle groups (Article 28, Protocol 4).
Der Gerichtshof der Europäischen Union ist explizit nicht zuständig (Art. 11, 240a).	The European Court of Justice is explicitly not competent (Article 11, 240a).
Das Europäische Parlament ist ebenfalls nicht zuständig und wird lediglich auf dem Laufenden gehalten (Art. 21).	Nor is the European Parliament competent; it is merely kept up to date (Article 21).
Damit werden künftige Militäreinsätze der demokratischen Kontrolle entzogen.	This releases future military intervention from democratic control.
Die Ermöglichung eines militaristischen Europas wird von repressiver Abschottung an den Außengrenzen begleitet.	This enabling of a militaristic Europe is accompanied by repressive partitioning off of the external borders.
Im neuen Artikel 62 des Reformvertrages soll "ein integriertes Grenzschutzsystem an den Außengrenzen" eingeführt werden.	The new Article 62 of the Reform Treaty is designed to effect 'the gradual introduction of an integrated management system for external borders'.
Mit der undemokratischen Durchsetzung des Lissabon-Vertrags durch die Umgehung von Referenden, der Festschreibung einer neoliberalen Wirtschaftspolitik und den militaristischen Teilen entwickelt sich Europa in die völlig falsche Richtung.	Thanks to the undemocratic enforcement of the Lisbon Treaty by circumventing referendums, the codifying of neoliberal economic policies and the militaristic parts of the document, Europe is developing in completely the wrong direction.
