Herr Präsident, ich kann Herrn Lehne nur zustimmen.	Mr President, I can only agree with Mr Lehne.
Die Zusammenarbeit der Europäischen Union mit der Russischen Föderation hat enorme Bedeutung, und der Gipfel hat dazu auch wichtige Dinge besprochen.	Cooperation between the European Union and the Russian Federation is of enormous importance, and important matters were discussed at the summit, too.
Aber ich kann ehrlich gesagt diese optimistische Darstellung, die Herr Sasi eben über die Zustände und die Weiterentwicklung innerhalb der Russischen Föderation geliefert hat, wirklich nicht teilen!	I really cannot, however, to be honest, share the optimistic account Mr Sasi has just given of present circumstances and future development within the Russian Federation.
Wenn ich mir dann noch anschaue, was in der Gemeinsamen Erklärung des Gipfels zu Tschetschenien gesagt wird, das wichtigste Thema im Moment in der Zusammenarbeit mit Rußland: Dort steht, die Europäische Union und die Russische Föderation tauschten ihre Standpunkte über die Situation im Nordkaukasus aus.	When I examine the Joint Declaration of the Summit on Chechnya - the most important matter at the moment in our cooperation with Russia - I see that it says that the European Union and the Russian Federation exchanged viewpoints about the situation in the North Caucasus.
Das kann ja wohl wirklich nicht alles sein!	In fact, that really cannot be all there is to say.
Jede Zusammenarbeit mit Rußland wird derzeit vom Tschetschenien-Krieg überschattet.	Any cooperation with Russia is at present overshadowed by the war in Chechnya.
180 000 Flüchtlinge sind schon in Inguschetien und in Dagestan.	There are already 180 000 refugees in Ingushetia and Dagestan.
Hilfsorganisationen können nicht arbeiten.	Aid organisations cannot work there.
Tausende von Flüchtlingen dürfen das Land nicht mehr verlassen, und die russische Regierung ist nicht zu Gesprächen bereit.	Thousands of refugees are no longer permitted to leave the country, and the Russian government is not prepared to talk.
Wir brauchen eine politische Lösung.	We need a political solution.
Ich bin der Auffassung, daß die Europäische Union auf die Gespräche mehr Gewicht legen muß.	I am of the view that the European Union must attach more weight to discussions.
Es gibt ein Interesse an der Zusammenarbeit mit Rußland.	We have an interest in cooperating with Russia.
Natürlich, wir brauchen Rußland, zum Beispiel im Kosovo.	Naturally, we need Russia, for example in Kosovo.
Aber Rußland braucht auch uns, braucht die Europäische Union.	But Russia in turn needs us, that is to say it needs the European Union.
Ich denke, man sollte schon mal überlegen, ob man in Verhandlungen nicht auch mal sagt: Wir müssen uns überlegen, wenn hier keine politische Lösung in Tschetschenien gesucht und gefunden wird, ob wir tatsächlich mal Kredite sperren oder ob wir tatsächlich mal Hilfen - außer den humanitären Hilfen - für Rußland einstellen.	I think that consideration might be given to whether, in negotiations, the following might be said: we must consider whether, if no political solution is sought and found in Chechnya, we ought in fact to block credits or cancel aid - other than forms of humanitarian aid - for Russia.
(Beifall)	(Applause)
Wir haben das Partnerschaftsabkommen beim ersten Tschetschenien-Krieg im Europäischen Parlament nicht ratifiziert.	In the European Parliament, we did not ratify the partnership agreement in the case of the first war in Chechnya.
Jetzt reden wir auf einem Gipfel, der eine wesentlich höhere politische Brisanz bekommen hat, nur noch über den Austausch von Meinungen.	Now, at a summit which has become significantly more explosive politically, we are still only talking about exchanging opinions.
Das darf die Europäische Union bei ihrem Bemühen um ein größeres Gewicht ihrer Außenpolitik nicht zulassen!	In its efforts to achieve greater weight for its foreign policy, the European Union should not permit this.
(Beifall)	(Applause)
