Herr Präsident! Der Petitionsausschuß des Europäischen Parlaments ist ein besonderes Gremium.	Mr President, the European Parliament' s Committee on Petitions is a very special body.
Hier gehen Beschwerden von Bürgern ein, wie meine zwei Vorrednerinnen richtig gesagt haben, die ihre Rechte aus der Unionsbürgerschaft beeinträchtigt sehen.	It receives complaints from citizens, as the two previous speakers rightly said, who believe their rights as EU citizens have been restricted.
Als Verfasser einer Stellungnahme zum Aufenthaltsrecht möchte ich einige Anmerkungen zu den speziellen Problemen in diesem Bereich machen.	As draftsman of an opinion on the right of residence, I would like to make a few comments on the specific problems in this area.
Die Freizügigkeit von Personen ist eine der Grundfreiheiten, die durch die europäische Integration erreicht wurden.	The free movement of persons is one of the basic freedoms achieved through European integration.
Seit dem Vertrag von Maastricht besteht ein allgemeines Aufenthaltsrecht unter der Bedingung ausreichender Existenzmittel und ausreichenden Krankenversicherungsschutzes.	Since the Maastricht Treaty there is a general right of residence, provided the individual concerned has adequate means of subsistence and adequate health insurance protection.
Eine Einschränkung der Freizügigkeit bzw. des Aufenthaltsrechts ist lediglich aus Gründen der öffentlichen Ordnung, Sicherheit und Gesundheit zulässig.	Freedom of movement and right of residence can be restricted only for reasons of law and order, security or health.
Die Erfahrung des Petitionsausschusses zeigt, daß der Anspruch auf Freizügigkeit in der Praxis auf zahlreiche Probleme stößt wegen: a) der zögerlichen Umsetzung der gemeinschaftsrechtlichen Vorschriften durch die mitgliedstaatlichen Stellen, b) der berufsspezifischen Probleme bei der Anerkennung von Diplomen und Abschlüssen, c) der Nichtanpassung der Vorschriften zur Sozialversicherung, beispielsweise komplizierte Formulare zur Erstattung von Kosten für ärztliche Leistungen.	Experience has shown the Committee on Petitions that in practice the right to freedom of movement comes up against a great many problems because: (a) Member State authorities are slow to transpose the rules of Community law, (b) problems arise with the recognition of diplomas and qualifications in the case of specific professions, (c) the rules on social security have not been standardised, e.g. complicated forms for the refund of medical costs.
Eine Analyse der Vertragsverletzungsverfahren von 1996 - 1999 ergibt in 97 Fällen einen direkten Zusammenhang zwischen der Petition und dem Vertragsverletzungsverfahren vor dem Europäischen Gerichtshof.	An analysis of Treaty infringement proceedings between 1996 and 1999 shows that in 97 cases there was a direct link between the petition and the Treaty infringement proceedings before the European Court of Justice.
Bedauerlicherweise ignoriert der Ministerrat vielfach die Mitteilungen des Petitionsausschusses über gravierende Verstöße seitens der Behörden der Mitgliedstaaten gegen das Gemeinschaftsrecht.	Unfortunately, the Council often ignores the communications from the Committee on Petitions about serious violations of Community law by Member State authorities.
Das zeugt von einer negativen Haltung gegenüber dem Petitionsrecht der europäischen Bürgerinnen und Bürger.	That reflects a negative attitude towards the European citizens' right of petition.
Der Rat sollte künftig den Rechten der Unionsbürger die notwendige Aufmerksamkeit zollen.	In future the Council should devote the necessary attention to the rights of EU citizens.
