Herr Präsident!	.
Nach den manipulierten Wahlen vom 31. März dachten vielleicht einige, jetzt habe der Diktator fürs Erste genug in Sachen Repression. Das ist aber leider nicht der Fall.	Mr President, some may well have thought, following the rigged elections on 31 March, that the dictator would have had enough of repression for a bit, but, unfortunately, he had not.
Zur weiteren Einschüchterung diente die bereits erwähnte Aktion „Weg mit dem Müll“. Und mit Müll meint dieser zynische Diktator in Wirklichkeit Menschen, die jetzt teilweise schon zum zweiten Mal ihre Wohnung verlieren, nachdem sie die enteigneten Farmen verlassen hatten, auf denen es für sie keine Lebensgrundlage mehr gab.	In order to intimidate still more, he mounted ‘Operation Drive Out Rubbish’, the ‘rubbish’ in question being in fact, cynically enough, people, some of whom – having already had to abandon their farms, which had been confiscated, were now losing their homes for the second time, and lacked any means of subsistence.
Mehr als zynisch ist aber auch das Verhalten der Afrikanischen Union, die sich weigert zu intervenieren. Und eine Schlüsselrolle spielt dabei Südafrika.	What is more than cynical, though, is the behaviour of the African Union, which declines to intervene, and South Africa is playing a key role in this.
Ich rufe Präsident Mbeki, der heute in Gleneagles ist, zu: Sie sind persönlich und politisch mitverantwortlich dafür, was in Simbabwe geschieht, denn Sie unterlassen seit Jahren das, was Ihnen möglich wäre, um diese menschliche Tragödie zu beenden!	To President Mbeki, who is in Gleneagles today, I say this: ‘You are personally and politically responsible for what is happening in Zimbabwe, for you have for years been omitting to do what you could to put an end to this human tragedy!
Sie verlieren das Recht, das politische Vermächtnis einer Befreiungsbewegung zu verwalten, wenn offensichtlich ein das Elend von Millionen Menschen zwecks Machterhalts akzeptiert!	If, as is evidently the case, your ‘Old Boy Network’ regards the misery of millions of people as an acceptable price to pay in order to hold on to power, you forfeit the right to govern what has been bequeathed to you by a liberation movement!’
Kofi Annan, der Generalsekretär der Vereinten Nationen, hat dieses Verhalten in einem Interview der heute endlich deutlich kritisiert.	Kofi Annan, the Secretary-General of the United Nations, has at last delivered his trenchant criticism of this behaviour in an interview in today’s issue of the .
Ich fordere den Rat und alle Mitgliedstaaten dazu auf, endlich das Regime effektiv zu isolieren.	I call on the Council and on all the Member States to make the regime’s pariah status effective at last.
Sie sind ja als Rat nicht einmal dazu bereit, dieser Clique Einreisevisa zu verweigern.	You, the Council, are not even prepared to deny this clique entry visas.
Wer seine Menschen so terrorisiert, der kann sich nicht auf internationale Abkommen berufen, die die Teilnahme an Konferenzen ermöglichen. Nicht einmal zu so einer kleinen diplomatischen Repressalie der Visaverweigerung sind der Rat oder unsere Mitgliedstaaten bereit.	Those who terrorise their people in this fashion cannot gain the right to attend international conferences by availing themselves of international agreements, yet neither the Council nor our Member States are prepared to administer such a diplomatic slap on the wrist as to refuse them visas.
Das ist ein weiterer Skandal, aber diesmal der europäischen Politik.	That is another scandal, this time a scandal for European politics.
Es gibt bestimmte Mitgliedstaaten, die ihre Präsenz jetzt noch ausbauen, weil andere sie verringert haben. Alle, die dies tun, machen uns zum Handlanger dieses Regimes.	There are certain Member States that are currently capitalising on other Member States’ progressive withdrawal from Zimbabwe by expanding their own presence there, and by so doing, they – all of them – make us this regime’s stooges.
Beenden wir das und tun wir endlich etwas Effektives! die Menschen in Simbabwe brauchen uns!	The people of Zimbabwe need us, so let us put a stop to this and do something effective at last.
