Herr Präsident, die Verwirrung für die Menschen in Europa muß komplett sein.	Mr President, the people of Europe must be completely confused.
Hier haben wir einen Beschluß der europäischen Gremien zur Kennzeichnung von gentechnisch veränderten Lebensmitteln, und gleichzeitig, da über diesen Beschluß berichtet wird, läßt die Kommission die Einfuhr von Mais und Soja zu, die auch für die Lebensmittelproduktion vorgesehen sind, ohne daß eine Kennzeichnung vorgesehen ist.	Here we have a decision by the European authorities on the labelling of genetically modified foodstuffs, and at the same time, while this decision is being reported on, the Commission allows the importing of maize and soya which are intended, amongst other things, for food production, without making any provision for labelling.
Wer trägt die Verantwortung für diese Verwirrung, die einerseits die Gentechnik diskreditiert, die aber auch das Vertrauen in die europäischen Entscheidungsprozesse schwächt?	Who is responsible for this confusion, which on the one hand discredits genetic engineering, but on the other hand also weakens people's confidence in the European decision-making process?
Die Verantwortung trägt ganz eindeutig die Europäische Kommission.	It is quite clear that the European Commission is responsible.
Die Kommission hat die novel food -Verordnung blockiert, die wir schon im Frühjahr letzten Jahres hier im Parlament beschlossen haben.	The Commission has blocked the novel food regulation, which we in the European Parliament decided on in the spring of last year.
Und wenn Herr Bangemann und die ganze Kommission die Änderungsanträge vom Parlament übernommen hätten, dann hätten wir schon im Sommer 1996 eine gültige Kennzeichnungsverordnung gehabt.	And if Mr Bangemann and the whole Commission had taken on board Parliament's amendments, then by the summer of 1996 we would have had a valid labelling regulation.
Die Kommission hat sich auch zu viel Zeit gelassen bei der Änderung der Richtlinie 220/90. Denn es ist doch unlogisch, daß wir Lebensmittel kennzeichnen wollen, die Vorprodukte jedoch nicht.	The Commission has also left it too late to amend Directive 220/90/EEC, because it is illogical that we should want to label foodstuffs but not their raw materials.
Wie soll denn der Hersteller dann eine Kennzeichnung vornehmen?	How is the food manufacturer supposed to label his products?
Ich glaube aber auch, daß für die Verwirrung der Bürgerinnen und Bürger die Fundamentalisten mitverantwortlich sind.	However, I also believe that the fundamentalists are jointly responsible for confusing the public.
Es wird die Angst davor geschürt, daß jedes Lebensmittel, das mit Gentechnik zu tun hat, zu riesigen Gefahren für den Verbraucher führt.	They are stirring up fears that any foodstuff that has anything to do with genetic engineering poses an enormous risk to the consumer.
Frau Breyer spricht von einem Großangriff auf die Gesundheit.	Mrs Breyer talks about a full-scale attack on our health.
Ich halte es da eher mit ihrem Kollegen aus dem Deutschen Bundestag, der sagt, auf den Feldern wachsen keine Horrorpflanzen heran.	I would be more inclined to agree with her fellow-member of the German Bundestag, who says that there are no horror plants growing in the fields.
Und auch die Ampicillin-Resistenz ist meiner Ansicht nach keine Gefahr.	Even ampicillin resistance, in my opinion, is not a risk.
Ich sage aber mit der gleichen Vehemenz, sie ist auch nicht erforderlich, denn man kann das, was man mit der Ampicillin-Resistenz tut, auch anders erreichen, und das muß schnellstmöglich geschehen.	I would also say, however, with equal vehemence, that it is also unnecessary, because what can be done by means of ampicillin resistance can also be achieved by other means, and that must happen as soon as possible.
Wir wollen die Gentechnik, aber sie darf nicht heimlich eingeführt werden, und dieses Verwirrspiel muß endlich ein Ende haben.	We want to have genetic engineering, but it should not be introduced secretly, and we must put an end to this confusion once and for all.
Sie, Frau Bjerregaard, und die gesamte Europäische Kommission haben die Möglichkeit, diesem Verwirrspiel ein Ende zu setzen.	Mrs Bjerregaard and the European Commission as a whole have the power to end this confusion.
Sie müssen noch vor dem 15. Mai, bevor die novel food -Verordnung in Kraft tritt, den Lebensmittelausschuß einberufen, und es muß klargestellt werden, daß eine umfassende Kennzeichnung für alle Produkte vorgesehen ist, damit dieses Klein-Klein endlich aufhört.	Before 15 May, in other words before the novel food regulation comes into force, they have to call a meeting of the Scientific Committee on Food, and it must be made clear that provision is being made for comprehensive labelling for all products, so that this mess can finally be cleared up.
