Vizepräsident der Kommission.	Vice-President of the Commission.
Herr Präsident des Europäischen Parlaments, Herr Ratspräsident, meine sehr verehrten Damen und Herren!	Mr President of the European Parliament, Mr President-in-Office of the Council, ladies and gentlemen.
Die Kommission dankt dem Europäischen Rat und der deutschen Ratspräsidentschaft für die weit reichenden und mutigen Ziele, die der Europäische Rat in der vergangenen Woche anvisiert hat, und wir danken Ihnen für das unmissverständliche Signal, das Sie der übrigen Welt gegeben haben und das mit großer Aufmerksamkeit in der ganzen Welt registriert worden ist: Das Signal nämlich, dass wir es in Europa ernst meinen mit dem Klimaschutz, mit der Entwicklung einer gemeinsamen Energiepolitik und mit der Verteidigung unserer Wettbewerbsfähigkeit.	The Commission is obliged to the Council and the German Presidency for the far-reaching, bold objectives set at last week's European Council. We are also obliged to you for the unambiguous signal you have given the rest of the world, which has received great attention worldwide: namely the signal that we in Europe are serious about the fight against climate change, the development of a common energy policy and the preservation of our competitiveness.
Und nicht zuletzt war ein wichtiges Ergebnis dieses Rates, dass diejenigen ins Unrecht gesetzt worden sind, die behauptet haben, eine Union von 27 Mitgliedstaaten sei nicht mehr handlungsfähig.	A particularly important result of this Council was the fact that it proved those people wrong who said that a Union of 27 Member States would no longer be capable of action.
Das war die erste große Herausforderung für die Union der 27 und ich glaube, sie hat sie bestanden.	This was the first great test for the Union of 27, and I believe we have passed it.
Es war ein guter Gipfel für unsere europäische Politik der Partnerschaft für Wachstum und Beschäftigung im Rahmen der Lissabon-Strategie.	The Summit was a good one from the point of view of the European policy of partnership for growth and jobs within the framework of the Lisbon Strategy.
Die Staats- und Regierungschefs haben anerkannt, dass die neue Strategie die erhofften Ergebnisse bringt und einen wichtigen Beitrag zur wirtschaftlichen Erholung geleistet hat, eine Erholung, die sich darstellt in einem Aufwärtstrend des Bruttoinlandsprodukts mit einem Wachstum von 2,9 % im Jahre 2006.	The Heads of State or Government noted that the new Strategy is delivering the desired results and has made an important contribution to the economic recovery, a recovery that is reflected in an upward trend in GDP, with a growth rate of 2.9% in 2006.
Wir erwarten nun, dass allein in den nächsten zwei Jahren in der Europäischen Union sieben Millionen neue Arbeitsplätze entstehen und wir tatsächlich der Erreichung der ursprünglichen Lissabon-Ziele aus dem Jahr 2000 doch sehr nahe kommen werden.	It is now expected that, in the next two years alone, seven million new jobs will be created in the EU and we shall come very close to achieving the original Lisbon objectives of 2000.
Die Staats- und Regierungschefs haben klargestellt, dass wir uns mit den ersten Anzeichen einer stärkeren wirtschaftlichen Dynamik nicht zufrieden geben dürfen.	The Heads of State or Government made it clear that we must not content ourselves with the initial signs of stronger economic dynamics.
Ich stimme dem zu, was Herr Steinmeier eben gesagt hat: Europa hat jetzt die große Chance, das Reformtempo noch einmal zu erhöhen.	I agree with what Mr Steinmeier has just said: Europe now has a great opportunity to further increase the pace of reform.
Wir haben die Trendwende noch nicht geschafft.	We have not yet succeeded in reversing the trend.
Der Negativtrend hat sich verlangsamt, das ist wahr, aber wir haben es noch nicht geschafft.	The downward trend has indeed slowed, but we are not there yet.
Wir können nur sagen, dass wir auf dem richtigen Weg sind.	All we can say is that we are on the right track.
Das zeigt sich auch darin, dass der Europäische Rat die länderspezifischen Empfehlungen unterstützt hat, die die Kommission zum ersten Mal abgegeben hat.	This is also demonstrated by the European Council's support for the country-specific recommendations issued by the Commission for the first time.
Sie sollten bitte nicht unterschätzen, dass die Mitgliedstaaten auf einem Gebiet, für das sie allein zuständig sind, akzeptiert haben, dass die Kommission länderspezifische Empfehlungen für ihre nationale Agenda vorgelegt hat, und dass diese Empfehlungen ohne Auseinandersetzung vom Europäischen Rat einstimmig angenommen worden sind.	The significance of the fact that the Member States accepted country-specific recommendations from the Commission for their national agendas in a field in which they have sole competence, and that the European Council adopted these unanimously without argument, should not be underestimated.
Das zeigt, dass wir zum ersten Mal einen funktionierenden Mechanismus der wirtschaftspolitischen Koordinierung in Europa haben.	This shows that, for the first time, we have a functioning mechanism for economic-policy coordination in Europe.
In diesem Jahr werden wir uns nun bereits der Vorbereitung des nächsten, also des zweiten Dreijahreszyklus der Wachstums- und Beschäftigungspolitik zuwenden, und die Kommission sieht heute bereits drei klare Notwendigkeiten.	This year will see preparations for the second three-year cycle of the policy for growth and jobs, and the Commission already sees three clear necessities.
Wir werden erstens die Klima- und Energiepolitik vollständig in die europäische Wachstums- und Beschäftigungspolitik integrieren müssen.	First of all, we shall have to integrate climate and energy policy fully into the European policy for growth and jobs.
Das muss eine Politik aus einem Guss sein.	This must be a coherent policy.
Zweitens wird es absolut erforderlich sein, den dritten Pfeiler dieser Strategie zu stärken, nämlich den Beschäftigungspfeiler, die soziale Dimension, mit Schwerpunkt insbesondere auf der Verbesserung der Beschäftigungsfähigkeit der Menschen in Europa.	Secondly, it will be essential to strengthen the third pillar of this strategy, namely employment and the social dimension, with particular emphasis on improving the employability of European citizens.
Was wir vor uns sehen, ist ja eine ganz neue Entwicklung.	After all, what we see before us is a brand-new development.
Wir werden zunehmend Mangel haben in bestimmten Regionen und Sektoren an ausreichend ausgebildeten Arbeitskräften.	We shall be seeing increasing shortages of adequately trained workers in certain regions and sectors.
Wir müssen die Beschäftigungsfähigkeit vor allem dadurch erhöhen, dass Bildung und Ausbildung verstärkt werden.	Employability must be improved, particularly by strengthening education and training.
Die dritte große Aufgabe im Zusammenhang mit der Überprüfung der Lissabon-Strategie wird die Erhöhung ihrer Sichtbarkeit sein.	The third major task in relation to the review of the Lisbon Strategy will be increasing its visibility.
Es heißt ja: "Tu Gutes und rede darüber".	As the saying goes, 'don't hide your light under a bushel'.
Vielleicht reden wir ein bisschen zu wenig darüber, dass wir eine europäische Antwort haben auf die globale ökonomische Herausforderung, und es sollte viel stärker in die nationale politische Debatte einbezogen werden, dass europäische Integration, gemeinsames europäisches wirtschaftliches Handeln die Antwort ist, die wir brauchen, um unsere Wettbewerbsfähigkeit im globalen Wettbewerb zu behalten.	It could be that we are speaking rather too little about having a European answer to the global economic challenge. The fact that European integration and a common European economic policy are the answer we have been looking for to the question of how to preserve our competitiveness at global level should feature much more prominently in national policy debate.
Zur Rechtsvereinfachung und zum Bürokratieabbau - ein Thema, dass mir besonders am Herzen liegt - nur ein kurzes Wort: Es ist wichtig, dass dazu aufgefordert wurde, dass Parlament und Rat in Zukunft noch stärker auf die Folgeabschätzungen zurückgreifen sollten.	I should like to say just a few brief words on the subject of better regulation and bureaucracy reduction - a particular concern of mine. The call made by the European Council for Parliament and the Council to make even greater use of impact assessments in the future is important.
Die Qualität der Gesetzgebung ist das A und O des gesamten Projekts.	The quality of legislation is the be-all and end-all of the whole project.
Die Voraussetzung dafür sind gute Folgekostenabschätzungen.	A prerequisite for this is good cost assessments.
Das gesamte Projekt der Rechtsvereinfachung und des Bürokratieabbaus ist jetzt in allen seinen Teilen wirklich in Schwung gekommen.	All parts of the project of better regulation and bureaucracy reduction are now really under way.
Ich bin sehr dankbar dafür, dass der Rat das Ziel der Kommission unterstützt, 25 % der auf europäischen Unternehmen lastenden Bürokratiekosten, die durch europäische Gesetzgebung induziert sind, bis 2012 abzubauen.	I am very much obliged to the Council for supporting the Commission's objective of a 25% reduction in the administrative burdens on European enterprises arising from European legislation by 2012.
Aber es ist mindestens genauso wichtig, dass die Mitgliedstaaten sich verpflichtet haben, dasselbe auch in ihrem eigenen Verantwortungsbereich zu tun.	What is just as important, however, is the commitment made by the Member States to doing the same within their own spheres of competence.
Das war ja die Auseinandersetzung, um die es ging. Es ist ein großer Erfolg, dass das erreicht wurde.	This had been in dispute, and the fact that it has been achieved represents a great success.
Nun scheint das Ziel wirklich greifbar nahe zu sein, bis zum Jahr 2012 insgesamt einen Abbau der Bürokratiekosten für Unternehmen um 25 % zu erreichen.	The goal of achieving an overall reduction in the administrative burdens on enterprises of 25% by 2012 now seems tangibly close.
Ich möchte gerade hier vor dem Europäischen Parlament noch einmal klarstellen: Wenn wir vom Abbau von Bürokratiekosten reden, dann ist nichts anderes gemeint als weniger Papierkrieg für die Unternehmen.	I should like to make it clear once more in this House that, when we talk about reducing administrative burdens, we simply mean less paperwork for enterprises.
Es geht um Berichtspflichten, Statistikpflichten, Informationspflichten und Dokumentationspflichten.	We are talking about requirements on reporting, keeping statistics, information and documentation.
In keinem einzigen Fall werden Verbraucherschutzstandards, Qualitätsstandards, Umweltstandards, Sicherheitsstandards oder Sozialstandards auch nur berührt.	Under no circumstances will standards relating to consumer protection, quality, the environment, safety or social aspects be so much as touched.
Es geht nicht darum, die Substanz zu verändern, es geht darum, es so zu machen, dass es die Unternehmen nicht unnötig belastet, sondern Energien freisetzt.	The aim is not to alter the substance of requirements but to make them such that they free up energy within enterprises rather than placing an unnecessary burden on them.
(Beifall)	(Applause)
Als Tony Blair vor einiger Zeit sagte, wenn es die Europäische Union nicht gäbe, dann müsste man sie erfinden, hat er wohl genau solche Beschlüsse gemeint, wie sie der Europäische Rat nur wenige Wochen nach Bekanntwerden der alarmierenden Fakten des letzten UN-Klimaberichts gefasst hat.	When Tony Blair said some time ago that, if the EU did not exist, it would have to be invented, he was probably referring to the kind of decisions taken by the European Council just a few weeks after the alarming facts in the latest UN report on climate change became known.
Unterstützt vom Europäischen Parlament und basierend auf den Vorschlägen der Kommission vom Januar ist es gelungen, Klimawandel und Energiewende zu einer Priorität der europäischen Politik zu machen und einen Aktionsplan für die kommenden drei Jahre zu beschließen.	With the support of Parliament, and on the basis of the Commission proposals from January, the European Council has managed to make climate change and the switch to sustainable energy structures a priority of European policy, and to adopt an Action Plan for the coming three years.
Die Stärke der Beschlüsse liegt darin, dass es gelungen ist, die Klima- und Energiepolitik eng miteinander zu verzahnen.	The strength of the decisions lies in the fact that we have succeeded in closely interlinking climate and energy policy.
Die Verringerung der Treibhausgasemissionen geht Hand in Hand mit einer wettbewerbsfähigen, sicheren und nachhaltigen Energiepolitik.	The reduction in emissions of greenhouse gases goes hand in hand with a competitive, secure, sustainable energy policy.
Die Stärke der Beschlüsse liegt auch in ihrer Glaubwürdigkeit, denn sie hängen nicht im luftleeren Raum, sondern sie sind mit einem konkreten Maßnahmenpaket verknüpft.	The strength of the decisions lies also in their credibility, as they will not exist in a vacuum, but are linked with a tangible package of measures.
Verpflichtende Ziele für erneuerbare Energien, ebenso wie die gezielte Förderung von Energieeinsparungen und der neuen Technologie der Kohlenstoffabscheidung und der Kohlenstoffspeicherung, werden die europäische Wirtschaft klimapolitisch auf die globalen Herausforderungen des 21. Jahrhunderts einstellen.	Binding targets for renewable energy, as well as the targeted promotion of energy saving and the new technology of carbon capture and storage, will adapt the European economy to the global challenges of the 21st century in terms of climate policy.
Wir werden die bestehenden Hindernisse für erneuerbare Energien und Energieeffizienz in allen Industriesektoren weiter abbauen, um einen 20 %-Anteil der erneuerbaren Energie allgemein sowie einen Biokraftstoffanteil von mindestens 10 % bis 2020 zu erreichen.	We shall continue to dismantle the remaining barriers to renewable energy and to energy efficiency in all industrial sectors, with a view to achieving a 20% share of renewable energy in overall EU energy consumption and also a share of biofuels of at least 10% by 2020.
Ich habe wohl gehört, was Herr Außenminister Steinmeier als Ratspräsident gerade gesagt hat in Bezug auf den Auftrag der Kommission, bis zum Jahresende einen Vorschlag vorzulegen.	I heard what the President-in-Office of the Council has just said about the Commission's task of presenting a proposal by the end of the year.
Ich kann Ihnen zusichern, dass die Kommission einen fairen und ausgewogenen Vorschlag vorlegen wird, wie die Lasten innerhalb der Europäischen Union verteilt werden, und dass dabei berücksichtigt wird, was einzelne Mitgliedsländer bereits geleistet haben, wie ihre Startpositionen sind und wie ihre Voraussetzungen sind, dieses Ziel überhaupt zu erfüllen.	I can assure you that the Commission will present a fair, well-balanced proposal for sharing out the burden throughout the EU, one that will take into account the prior achievements of the individual Member States, their starting positions and what they need in order to meet this target.
Ich bin sicher, dass wir das schaffen können.	I am certain that we can do this.
Wichtig ist, dass wir den funktionierenden Binnenmarkt für Strom und Gas zum Vorteil der Verbraucher endlich zustande bringen, das wird Investitionen stimulieren und ein echtes europäisches Verbundnetz schaffen.	What is important is that we are making the internal market for gas and electricity work once and for all to the benefit of consumers, which will encourage investment and create a genuine European grid.
Mit diesen Schritten werden sich neue, globale Märkte für uns öffnen. Die Energierechnung jedes einzelnen Bürgers und jedes einzelnen Wirtschaftsbetriebs wird entlastet.	These measures will open up new, global markets for us, reducing the energy bills of all citizens and all enterprises.
Wir zahlen heute in Europa zuviel für die Energie, und das nicht nur als Folge der globalen Situation, sondern als Folge der falschen Organisation unserer eigenen Energieversorgung.	We in Europe are currently paying too much for our energy - and this is a result not only of the global situation, but of poor organisation of our own energy supply.
Deshalb ist die konsequente Umsetzung der neuen EU-Klimapolitik auch Teil der Erfüllung der Lissabon-Agenda.	For this reason, the fulfilment of the Lisbon Agenda also requires consistent implementation of the new EU climate policy.
Wir schlagen vor, dass die hoch entwickelten Staaten im Vergleich zu 1990 zusammen eine Reduktion der CO2-Emissionen um 30 % bis 2020 vereinbaren.	We have proposed that the highly developed countries agree to collectively reduce their CO2 emissions by 30% compared to 1990 by 2020.
Darüber hinaus geht die EU bereits jetzt die Selbstverpflichtung ein, mindestens 20 % der CO2-Emissionen bis 2020 zu reduzieren.	In addition, the EU has already committed itself to reducing its CO2 emissions by at least 20% by 2020.
Damit sind wir für die kommenden Klimaverhandlungen hervorragend aufgestellt.	This puts us in an excellent position ahead of the forthcoming climate negotiations.
Ich glaube, dass dieser Klima-Doppelbeschluss global zu einer neuen Dynamik führen wird, die wir auch dringend brauchen.	I believe that this dual decision in relation to the climate will lead to a new global dynamic - which we urgently need.
Wir können nicht länger zuschauen, wie etwa die USA und China gegenseitig mit dem Finger aufeinander zeigen und erste Schritte einfordern.	We can no longer stand by and watch countries such as the USA and China both pointing the finger at each other and demanding the other make the first move.
Einer muss jetzt endlich einmal anfangen!	One of them has to make a move at long last!
Das wäre sicher auch ein wichtiger Punkt für den EU-USA-Gipfel am 30. April diesen Jahres, den die Staats- und Regierungschefs - wie die anderen außenpolitischen Themen - auch angesprochen haben.	This is undoubtedly an important point for discussion also at the EU-US Summit on 30 April of this year. This point was mentioned by the Heads of State or Government along with the other external issues.
Lassen Sie mich ein Wort an die europäische Industrie sagen: Die Vorgaben des Rates stecken unserer Industrie einen klaren Rahmen und geben ihr Investitionssicherheit auf Jahre hinaus.	I should like to say a few words to European industry. The Council's targets give our industry a clear framework, and also investment security for years to come.
Sie können jetzt ihre Investitionen planen, sie wissen, was die Politik von ihnen verlangt und können ihre Strategien entwickeln.	It can now plan its investments; it knows what politicians are demanding of it and can develop its strategies.
Wir wollen, dass Europa die besten und saubersten Produkte exportiert, aber nicht seine Arbeitsplätze.	We want to see Europe exporting the best, cleanest products; not its jobs.
Von der europäischen Industrie möchte ich nicht immer nur hören, was sie nicht kann und was in ihren Augen nicht geht. Ich möchte endlich einmal von der europäischen Industrie hören, was sie kann und was geht.	I do not want to hear only what European industry cannot do and what it considers impossible; I should like to finally hear what it can do and what is possible.
Und es wird sich zeigen, dass viel mehr geht, als sie selber glaubt.	We shall see that a great deal more is possible than the industrial community itself would have thought.
Bei aller Zufriedenheit sollten wir nicht vergessen, dass es allerdings bisher nur um ein Startsignal geht.	For all our contentment, we should not forget that we have seen only the starting signal so far.
Diese Strategie muss durch konkrete Gemeinschaftsvorhaben und gesetzliche Einzelvorhaben noch während dieser Legislaturperiode vorangebracht werden.	This strategy must be taken forward - by means of specific Community projects and individual legal projects - by the end of this parliamentary term.
Dazu haben wir die Unterstützung der Bürger Europas.	In addition, we have the support of the European public.
Wir wissen aus der aktuellen Eurobarometer-Umfrage, dass Europas Bürger sehr genau wissen, dass ein Umsteuern unumgänglich ist.	We know from the latest Eurobarometer survey that European citizens are well aware that a change of course is essential.
Sie sind sich wohl auch der Tatsache bewusst, dass entschlossenes Handeln nicht umsonst zu haben sein wird.	I am sure that they are also aware of the fact that resolute action will not come for free.
Lassen Sie mich zusammenfassen: Die Lissabon-Strategie ist ein offener und dynamischer Prozess.	To summarise, the Lisbon Strategy is an open, dynamic process.
Wir brauchen einen Marktplatz der Ideen, der dann in konkrete politische Beschlüsse mündet.	We need a marketplace of ideas, which will then lead to specific policy decisions.
Lassen Sie mich in diesem Sinne einen Bericht des Centre for European Reform zitieren: "Es gibt kaum ein europäisches Land, das nicht das dänische Modell der Flexicurity, den finnischen Weg der Hochschulausbildung, oder die britische Liberalisierungsstrategie genau untersucht."	As a report by the Centre for European Reform put it: there is hardly a single European country that is not scrutinising the Danish model of 'flexicurity', the Finnish university system or the British liberalisation strategy.
Ich kann noch mehr Beispiele hinzufügen, etwa die französischen "Pôles de Compétitivité", das niederländische Standardkostenmodell, Steuerreformen in einigen neuen Mitgliedsländern.	I could add more examples, such as the French 'Pôles de Compétitivité', the Dutch Standard Cost Model or tax reforms in some of the new Member States.
Gegenseitiges Lernen ist ein Schlüsselelement dieses Reformprozesses.	Learning from one another is a key element of this reform process.
Es geht jetzt darum, gemeinsam klar zu machen, dass die europäische Partnerschaft für Wachstum und Beschäftigung die europäische Antwort auf die beiden großen Fragen unserer Zeit ist: Nämlich die große soziale Frage, wie wir es schaffen, im Zeitalter der Globalisierung gute und in ausreichender Zahl vorhandene Arbeitsplätze zur Verfügung zu stellen, und die große ökologische Frage, wie wir es schaffen, unseren Planeten bewohnbar zu erhalten.	It is now a matter of making clear together that the European partnership for growth and jobs is Europe's answer to the two great questions of our time, namely the great social question as to how to make available sufficient good jobs in the age of globalisation, and the great environmental question as to how to keep our planet habitable.
Wir wissen ja, dass die Menschen genau diese Fragen stellen: Werde ich meinen Job behalten?	After all, we know that people are asking questions such as: Will I keep my job?
Werde ich noch Leistungen bekommen, wenn ich krank bin?	Will I continue to receive benefits if I am ill?
Werde ich meine Kinder ausbilden lassen können?	Will I be able to put my children through college?
Werde ich im Alter versorgt sein?	Will I be provided for in my old age?
Wir wissen auch, dass sie die Frage stellen: Wie werden die Lebensbedingungen für meine Kinder und Enkelkinder in Zukunft sein?	We also know they are asking: What will living conditions be like for my children and grandchildren in the future?
Hier ist die Antwort auf diese Fragen, es kommt aber darauf an, dass Sie den Bürgerinnen und Bürgern Europas auch zeigen, dass diese Antwort nur eine europäische Antwort sein kann!	This is the answer to these questions - and it is important to point out to Europe's citizens that it can only be a European answer.
Wenn es jemals der Notwendigkeit bedurft hätte zu demonstrieren, wozu wir europäische Integration brauchen, hier sind die beiden Themen, die zeigen, dass europäische Integration auch im 21. Jahrhundert eine unterlässliche Notwendigkeit ist!	If there were ever the need to demonstrate why we need European integration, these are the two issues that show that this integration is essential in the 21st century, too.
Vielen Dank.	Thank you.
(Beifall)	(Applause)
