Herr Präsident! Wir sind sehr enttäuscht über die Abstimmung.	President, we are very disappointed with the outcome of the vote.
Ich finde, es ist beschämend, wie das Europäische Parlament in zentralen Punkten vor dem Lobbydruck der Gentech-Industrie eingeknickt ist.	I think it is quite disgraceful that the European Parliament bowed to lobbying pressure from the genetic engineering industry on key issues.
Die Kampagne in den letzten Wochen war massiv, aber ich hätte mir gewünscht, daß das Parlament die Verantwortung zeigt, die es auch in der ersten Lesung zum Ausdruck gebracht hat.	There has been a massive campaign in recent weeks, but I would have liked Parliament to display the sense of responsibility it gave expression to at first reading.
Ich will anfangen mit dem Punkt der Haftung.	My first point relates to liability.
Es ist geradezu lächerlich, nur in einem Erwägungsgrund die Kommission aufzufordern, bis zum Jahr 2001 eine Umwelthaftungsrichtlinie vorzulegen.	It is quite ludicrous just to call upon the Commission in a recital to put forward an environmental liability directive by the year 2001.
Wir wissen ganz genau, daß das Weißbuch keine Haftpflichtversicherung vorsah und daß das Weißbuch lediglich die Natura-2000-Gebiete betraf.	We are well aware that the White Paper made no provision for personal liability insurance and that it only related to the Natura 2000 areas.
Wenn die Industrie behauptet, Gentech-Produkte sind ungefährlich, ohne Risiko, dann kann ich nicht verstehen, warum hier die Mehrheit der Abgeordneten eingeknickt ist und zugelassen hat, daß sich die Industrie weiterhin aus der Verantwortung stehlen darf.	If industry maintains that products of genetic engineering are safe and do not present risks, then I cannot understand why the majority of delegates have caved in and allowed industry to continue to evade responsibility.
Zweiter Punkt: Antibiotika.	My second point relates to antibiotics.
Eine derart wachsweiche Forderung trägt überhaupt nicht den Verbraucherinteressen Rechnung.	A lame demand of this kind takes no account whatsoever of consumer interests.
Alle Wissenschaftler warnen davor, daß die Krankheitserreger bei Mensch und Tier zunehmend resistent werden, und fordern einen Sofortausstieg aus Antibiotikaresistenzmarkern.	All scientists warn that pathogens in human beings and animals are becoming increasingly resistant, and are calling for an immediate ban on the use of antibiotic-resistant marker genes.
Das Parlament hat es wieder verschoben, wieder nicht diesen großen Problemen Rechnung getragen - sehr beschämend!	Parliament has shelved the issue again, and has failed yet again to deal with these major problems. This is most disgraceful!
Das gleiche gilt auch für den Punkt der genetischen Verschmutzung: Lediglich zu fordern, daß man das Problem berücksichtigt, ist wirklich absolut ein Witz, denn die Umweltrisikoabschätzung sieht genau das vor.	The same goes for the issue of genetic pollution. Simply to ask that the problem be taken account of really is a complete joke, for that is precisely what environmental risk assessment caters for.
Die ursprüngliche Forderung des Parlaments hieß, daß die Mitgliedstaaten und die Kommission verpflichtet werden, Maßnahmen zu treffen.	Parliament originally called for the Member States and the Commission to be placed under an obligation to adopt measures.
Das Parlament ist auch hier eingeknickt.	Parliament has caved in on this too.
Ich denke, das war heute ein schwarzer Tag für den Verbraucherschutz, und ich kann nur hoffen, daß sich diese Abstimmung für die Industrie als Bärendienst erweisen wird.	I think today has been a black day for consumer protection, and I can only hope that this vote will do industry a disservice.
Die Verbraucher werden Gentech-Lebensmitteln hoffentlich weiterhin die rote Karte zeigen, denn es ist nicht akzeptabel, daß sich die Industrie aus der Verantwortung stehlen darf.	With any luck, consumers will continue to give genetically modified food the thumbs down, for it is unacceptable that industry should be allowed to get away with evading responsibility.
