Frau Präsidentin! Wir haben das europäische Jahr der Armut und der sozialen Ausgrenzung.	Madam President, we have the European Year against Poverty and Exclusion.
Frauen haben immer noch eine sehr viele höhere Wahrscheinlichkeit, arm zu sein oder in Armut leben zu müssen.	Women are still at a very high risk of becoming poor or having to live in poverty.
Es sind viele kleine Schritte, die dort zusammengefügt werden: Es ist die Berufswahl von Mädchen, die sich oft für einen Beruf entscheiden, der nicht so gut bezahlt wird.	There are many small steps which land them in that position: girls tend to choose jobs which do not pay so well.
Es ist die Entscheidung für ein Kind, die dann oft dazu führt, dass man nur noch Teilzeit arbeiten kann.	They then decide to have children, which often leads them to only be able to work part-time.
Es ist die Entscheidung dafür, dass man vielleicht seine Eltern oder die Großeltern pflegt, was dann wieder dazu führt, dass auch die älteren Frauen wieder nicht in die Erwerbstätigkeit zurückkehren können.	Alternatively, they might decide to look after their parents or grandparents, which again puts older women in a situation where they are unable to return to work.
Diese Zeiten summieren sich, und das führt dazu, dass die berufliche Laufbahn von Frauen in deutlich kleineren Schritten vorangeht.	These periods add up and, as a result, women's professional careers progress much more slowly.
Dies spiegelt sich später auch darin wider, dass z. B. die Renten deutlich niedriger sind.	This is also reflected in the fact that they have lower pensions, for example.
Wir haben hier viele Aspekte, auch in diesem Bericht.	There are many aspects to this, and many have been included in this report.
Was wirklich wichtig ist: Es gibt bereits sehr viele Chancen, die aber von den Mädchen, von den Frauen auch genutzt werden müssen.	The really important message we need to put across is that there are already many opportunities out there, but girls and women need to make use of them.
Das Bewusstsein, den Mut, dass ein Mädchen Ingenieurwissenschaften studiert - das müssen wir in den Schulen fördern.	The awareness that a girl is studying engineering, and that she is brave enough to do so - that is what we have to promote in schools.
Dies gilt vor allem auch für Migrantinnen.	This also applies particularly to immigrant women.
Auf einen weiteren Aspekt möchte ich hinweisen: Wenn man sich heute hier umschaut, so stellt man fest, dass von den Anwesenden ungefähr zwei Drittel Frauen und ein Drittel Männer sind.	I would also like to make another point: if you look around the Chamber today, you will see that two thirds of us attending this debate are women and one third are men.
Wir müssen auch die Männer dafür gewinnen, dass sie sich sehr viel stärker für dieses Thema einsetzen, damit hier einmal vielleicht noch zwei Drittel Männer zusätzlich sitzen und sich für die Frauen einsetzen.	We must also win men over to taking a much greater interest in this subject, so that, one day, we can have the two remaining thirds of men attending and supporting women's issues.
