Frau Präsidentin! Ich danke Ihnen, dass Sie mir noch einmal das Wort gegeben haben.	Madam President, thank you for permitting me to rise again.
Ich bedauere sehr, dass ich nur bei der Eröffnung des Plenums im Rahmen der Geschäftsordnung die Gelegenheit habe, Ihnen eine Frage in der Sache Dell'Utri zu stellen.	I greatly regret the fact that my only opportunity to put a question to you regarding the Dell'Utri case is at the opening of Parliament during the discussion of the agenda.
Andere Möglichkeiten hat man als einfacher Abgeordneter in einer solchen Frage nicht.	As a simple Member of this House, there is no other opportunity to raise this type of issue.
Ich habe mir in diesem Hause mehrfach Vorwürfe anhören müssen, ich hätte ausschließlich wegen des italienischen Wahlkampfs ein Interesse an diesem Fall.	I have been accused on several occasions in this House of only having an interest in this matter due to the Italian election campaign.
Nun ist der Wahlkampf ja vorbei, und deshalb möchte ich auf den Fall Dell'Utri zurückkommen als einen Fall, der von exemplarischer Bedeutung für jedes einzelne Mitglied dieses Hauses ist.	The election campaign is now over, and so I would like to come back to the Dell'Utri case since it has great significance for every Member of this House.
Morgen kann gegen jeden Einzelnen hier in diesem Haus - gegen mich, gegen Herrn Poettering, gegen Herrn Haarder, gegen Frau Frahm, gegen wen auch immer - ein Antrag auf Aufhebung der Immunität gestellt werden, und dann muss der Abgeordnete oder die Kollegin, die davon betroffen ist, die Chance haben, zur Vermeidung öffentlicher Spekulationen unmittelbar zu den Vorwürfen Stellung nehmen zu können.	An application for the removal of immunity could be lodged tomorrow against any Member of this Parliament - against me, against Mr Poettering, against Mr Haarder, against Mrs Frahm, against any one of us - and, in order to avoid public speculation, the Member concerned must have the opportunity to make a direct statement about the accusations.
Herr Dell'Utri wird seit 9 Monaten daran gehindert, zu den Vorwürfen, die gegen ihn hier bestehen, Stellung zu nehmen.	For the last nine months, Mr Dell'Utri has been denied the opportunity to make a statement on the accusations made against him here.
Deshalb ist es vielleicht ganz wichtig, den spanischen Behörden zu sagen, dass es auch eine Frage der Würde im Umgang mit dem Europäischen Parlament ist, wie Anträge auf Aufhebung der Immunität an dieses Parlament von der spanischen Regierung behandelt werden.	This is why it could be quite important to tell the Spanish authorities that the way in which the Spanish government deals with applications for the removal of immunity submitted to this House is also a matter of honour in its relations with the European Parliament.
Noch eines, Frau Präsidentin: Dass in einer Gewaltenteilung die Judikative sich direkt an die Legislative wenden kann, ist in Europa selbstverständlich.	One further point, Madam President: in Europe, where there is a separation of powers, it is accepted that the judiciary can approach the legislature direct.
Es gibt nur ein Parlament, in dem behauptet wird, dass es dort einen Vorbehalt der Exekutive geben muss, und das ist dieses Parlament.	There is only one Parliament where it is claimed that the executive must have a proviso in such cases, and that is this Parliament.
Und dass dieser widersinnige Zustand so ist, dafür tragen in meinen Augen ausschließlich Sie, Frau Fontaine, die Verantwortung!	This is an absurd situation for which I hold you, Mrs Fontaine, entirely responsible.
