Herr Präsident! Europa ist mehr als ein Gemeinsamer Markt!	Mr President, Europe is more than a common market.
Europa ist neben einer Wirtschaft, auch eine Wertegemeinschaft.	Besides being an economic entity, Europe is a community based on common values.
Ich verstehe Europa als Antwort auf die Globalisierung.	I understand the European Union as a response to globalisation.
In einer globalisierten Welt gibt ein gewisser sozialer Rahmen auf europäischer Ebene den notwendigen Schutz.	In a globalised world, a certain social framework at European level provides essential protection.
Das ist die Idee des sozialen Europas, die ich auch unterstütze.	That is the idea behind the European social model, and it is an idea that I support.
Auf der anderen Seite müssen wir aber auch im internationalen Wettbewerb bestehen.	On the other hand, however, we must also succeed in international competition.
In der Lissabon-Strategie betonen wir unser Ziel, die Union zum wettbewerbsfähigsten wissensbasierten Wirtschaftsrahmen der Welt zu entwickeln.	In the Lisbon Strategy we emphasise our goal of developing the Union into the world's most competitive knowledge-based economic framework.
Dabei müssen wir unser Hauptaugenmerk insbesondere auf die kleinen und mittleren Unternehmen richten, denn diese sind die Stütze der wirtschaftlichen Entwicklung.	To that end we must focus most of our attention on small and medium-sized businesses, for they are the pillar of economic development.
Wir müssen auch die Frage zulassen: Wie wirken sich Regelungen auf diese Betriebe aus?	We must also accept that it is legitimate to ask how our rules affect these firms.
Die Antidiskriminierungspolitik ist dafür ein gutes Beispiel.	The anti-discrimination policy is a good example.
Ich bin gegen Diskriminierung, ganz klar. Aber eine umfassende Rahmenrichtlinie ist meiner Meinung nach und nach der Ansicht von weiteren 261 Europaabgeordneten nicht der richtige Weg, vor allem nicht, um die Betroffenen zu schützen.	It goes without saying that I am opposed to discrimination, but in my view, and in the view of another 261 Members of the European Parliament, a comprehensive framework directive is not the right way forward; in particular, it is not the right way to protect the victims.
Wir erreichen genau das Gegenteil und bewirken eher eine Ausgrenzung dieser Menschen.	We shall achieve the exact opposite and are more likely to marginalise these people.
Es ist eine große Rechtsunsicherheit entstanden aufseiten der Mitgliedstaaten wie auch aufseiten der europäischen Bürger.	A great deal of legal uncertainty has been created for the Member States and for European citizens.
Derzeit laufen zahlreiche Vertragsverletzungsverfahren gegen 14 Mitgliedstaaten wegen mangelhafter Umsetzung der bereits bestehenden vier Richtlinien.	At the present time, numerous Treaty infringement proceedings are pending against 14 Member States for failure to implement the four existing directives.
Wir sollten zunächst das bestehende Recht umsetzen, bevor wir neue Regelungen schaffen.	The first thing we should be doing is to implement the existing legislation before creating any new rules.
Mit einer neuen Antidiskrimierungs-Rahmenrichtlinie bekommen wir eben nicht die Klarheit, die Kommissar Špidla angekündigt hat.	A new anti-discrimination directive will simply not give us the clarity that Commissioner Špidla promised.
Die neuen Regelungen werfen viele Fragen auf.	The new rules raise many questions.
Wer kann sich z. B. auf das Merkmal Religion/Weltanschauung berufen - auch Scientology oder rechtsradikale Gruppierungen?	Who, for example, can invoke the right to freedom from discrimination on grounds of religious or ideological beliefs?
Muss nun jedes noch so kleine Restaurant eine Rollstuhlrampe haben, um einen barrierefreien Zugang zu garantieren?	Does that right extend to Scientologists or members of right-wing extremist groups?
Die Richtlinie sieht da zwar bei Unverhältnismäßigkeit der Maßnahme eine Ausnahme vor, aber wer bestimmt diese Maßnahmen, eine mitgliedstaatliche Regelung oder eine Gerichtsentscheidung?	Is every restaurant, however small, now required to have a wheelchair ramp in order to guarantee unhindered access? The draft directive may provide for exemption from disproportionate measures, but how are such measures to be defined - by a national law or by a court ruling?
Unpräzise, ausufernde Regelungen wie die Rahmenrichtlinie sind nicht praxistauglich, und was das wichtigste ist: Sie helfen den Betroffenen nicht.	Imprecise, amorphous instruments like the framework directive are impractical and, most importantly, do not help victims.
Das ist nicht die Idee des sozialen Europas.	That is not the idea behind the European social model.
So wird es nicht funktionieren.	It will not work like that.
