Herr Präsident! Ich möchte mich den Worten meines Kollegen Harbour anschließen.	Mr President, I should like to endorse what my honourable friend Mr Harbour has just said.
In der Tat denke ich, dass die legislative Arbeit in diesem Hause in der Tagesordnung nicht den Ausdruck findet, den sie finden sollte, und wir manchmal immer noch in der Tradition der Resolutionitis von 1979 verharren.	I feel that the legislative work of this House is not properly reflected in the order of business and that we are still prone to the resolutionitis which we suffered from in 1979.
Die Fraktion der EVP hat sich mit diesem Vorschlag der Kommission recht schwer getan. Das hängt auch damit zusammen, dass es natürlich in den Mitgliedstaaten höchst unterschiedliche Rechtstraditionen im Wettbewerbsrecht gibt.	The PPE group had a really hard time with this Commission proposal, in part due to the fact that the Member States have very different approaches to competition law.
Wir haben deshalb sehr viel Mühe darauf verwandt, einen Kompromiss, auch zusammen mit dem Berichterstatter im Ausschuss, zustande zu bringen, und ich darf hier heute dem Plenum mitteilen, dass die EVP-Fraktion geschlossen hinter diesem Kompromiss - und der ist identisch mit dem Bericht des Berichterstatters aus dem Ausschuss für Recht und Binnenmarkt - steht, und ich glaube, das ist für eine so große Fraktion wirklich eine bemerkenswerte Mitteilung in diesem Plenum.	We took great pains to broker a compromise, including with the rapporteur in committee, and I should like to report to plenary today that the PPE group firmly backs this compromise, which is identical to the report by the rapporteur for the Committee on Legal Affairs and the Internal Market. I think this is a remarkable announcement to plenary by so big a group.
Es gab keine einzige Gegenstimme innerhalb der Fraktion.	There was not one dissenting voice within the group.
Dieser Kompromiss beinhaltet, dass wir uns mit dem Konzept der Kommission, nämlich eine Verordnung vorzusehen, einverstanden erklären.	This compromise includes a statement to the effect that we agree with the compromise and that we agree with the Commission's idea of using a regulation.
In der Tat glauben auch wir, dass eine Verordnung grundsätzlich das geeignete Instrument ist, um die hier angesprochenen Probleme zu lösen.	We believe that, in principle, a regulation is the right way to tackle the problems addressed here.
Allerdings brauchen die Mitgliedstaaten einen angemessenen Anpassungszeitraum. Darum haben wir einen späteren Termin, nämlich erst den 1.1.2005, für das Inkrafttreten vorgesehen.	However, the Member States will need time to adapt, so we have suggested a later starting date, namely 1 January 2005.
Der Kollege Folias sprach die Mittelstandsprobleme an.	Mr Folias has addressed the problem of small and medium-sized businesses.
Diese haben tatsächlich in der Debatte bei uns eine entscheidende Rolle gespielt.	They were in fact a crucial factor in our debate.
Ich will nur auf zwei Beispiele hinweisen. Viele Mitgliedstaaten haben, auch um ihren Mittelstand zu schützen, das Verbot eines Verkaufs unter Einstandspreis in ihrem Wettbewerbsrecht.	To give just two examples: numerous Member States have banned below cost selling in their fair trading legislation, partly in order to protect their small and medium-sized enterprises.
Wir haben den Kommissionsvorschlag dahin gehend geändert, dass dies in Zukunft ausdrücklich möglich bleibt.	We have amended the Commission proposal by expressly allowing for such an eventuality.
Wir haben auch dafür gesorgt, dass die Gebührenordnungen der freien Berufe ohne Einschränkung weiter bestehen können.	We have also ensured that tariffs for fees for the liberal professions can be maintained without restriction.
Umgekehrt haben wir eine gewisse nötige Harmonisierung erreicht.	On the other hand, we have achieved the required degree of harmonisation.
Ich denke, solche Exzesse im Wettbewerbsrecht wie in Deutschland zu Beginn des neuen Jahres, als eine Firma einen Rabatt von 20% anbieten wollte und ihr das vom Gericht untersagt wurde, werden nicht mehr möglich sein.	I think that excesses in competition law such as we saw at the start of the year in Germany, when a firm wanting to offer a 20% discount was prohibited from doing so by a court order, will be a thing of the past.
Herzlichen Dank für die Aufmerksamkeit.	Thank you for listening.
Allerdings muss ich mich entschuldigen.	I am afraid I must leave now.
Ich muss leider gleich gehen, weil ich ab 21.00 Uhr parallel eine andere Sitzung habe. Ich bitte die Kollegen und den Kommissar um Verständnis!	I have another meeting at 9 p.m. and trust that the honourable Members and the Commission will excuse me.
