Die Zusatzfrage hat keinen neuen Aspekt gebracht.	The supplementary question introduces nothing new.
Ich habe ja schon gesagt: Wir haben zunächst einmal zusammen mit der Industrie, und dazu zählt auch die griechische Industrie, festgestellt, daß wir eine Überkapazität von 19 Millionen Tonnen haben.	I have already explained that we began by agreeing with the industry, including the Greek industry, that we had 19 million tonnes of overcapacity.
Diese Überkapazität verursacht Probleme.	Overcapacity causes problems.
Sie drückt auf die Preise.	It puts pressure on prices.
Selbst sehr wettbewerbsfähige Unternehmen haben Verluste geschrieben.	Even extremely competitive companies were recording losses.
Vor vier Jahren hat praktisch niemand mehr das Geld verdient, das er brauchte, um seine Kosten zu decken.	Four years ago, virtually no one was still earning enough to cover their costs.
Also war unser Hauptproblem, diese Überkapazität abzubauen.	Therefore, our main problem was how to eliminate the excess capacity.
Wo diese Überkapazität abgebaut werden sollte, haben wir nicht entschieden.	We did not decide where capacity reductions were to take place.
Die Kommission hat sich nicht angemaßt, zu sagen: In Griechenland, in Frankreich oder in Deutschland muß diese oder jene Kapazität stillgelegt werden.	The Commission did not take it upon itself to say that this or that amount of capacity had to be cut in Greece or France or Germany.
Das hat die Industrie selbst beschlossen, und zwar nach ihrer Wettbewerbsfähigkeit.	The industry itself made those decisions, on the basis of competitiveness.
Es tut mir leid, wenn ausgerechnet in Griechenland die Stahlindustrie in diesem Bereich die Wettbewerbsfähigkeit nicht hatte, die notwendig war, um sich gegen Konkurrenz aus anderen Ländern zu behaupten, aber die Kommission, wenn sie schon für gleiche Bedingungen in der Union zu sorgen hat, kann natürlich keine Unterschiede machen.	I am sorry if the Greek steel industry in particular was not sufficiently competitive in this respect to withstand the competition from other countries, but if it is the task of the Commission to see that the same conditions apply throughout the Union, then obviously it cannot make exceptions.
Wir können keine staatlichen Beihilfen in Griechenland zulassen, weil in Griechenland die Stahlindustrie Arbeitsplätze erhalten will.	We cannot allow state subsidies in Greece just because the steel industry there wishes to maintain jobs.
Dann würden in Großbritannien, in Frankreich oder in Deutschland Arbeitsplätze wegfallen.	If we did so, jobs in the UK, France or Germany would have to be lost.
Wir haben eine Gesamtverantwortung.	We have an overall responsibility.
Diese Gesamtverantwortung nehmen wir wahr, und jeder muß sehen, daß er wettbewerbsfähig ist.	We take that responsibility seriously, and it is up to each company to see that it remains competitive.
Das kann ich auch einem griechischen Unternehmen nicht ersparen.	I cannot make any special allowances for a Greek company.
