Herr Präsident! Meine sehr geehrten Damen und Herren!	Mr President, ladies and gentlemen, Save the Planet!
Save the planet! Das ist eine Mission, die wir zu erfüllen haben.	This is a mission which we have to accomplish.
Nachhaltigkeit ist gerade in Zeiten wie diesen ein ganz wichtiger Begriff.	Sustainability is a really important concept, particularly in times like these.
Wir sollten uns bemühen, vorbildhaft zu sein, weil für unsere Nachwelt die Umwelt ein ganz wichtiges Kriterium ist.	We should try to set an example because the environment is a really important criterion for future generations.
Ich möchte aber insbesondere auf den Änderungsantrag 3 zurückkommen, bei dem es um die Gewinnabsicht geht.	However, I should particularly like to come back to Amendment No 3, which concerns the profit motive.
Auch Gewinnabsicht ist etwas völlig Natürliches und Sinnvolles.	The profit motive is also something completely natural and sensible.
Betriebe, die rote Zahlen schreiben, oder Staaten, die sich verschulden, können für die Arbeitnehmer und Beamten nicht die Löhne zahlen, die wünschenswert sind.	Companies in the red or countries which get into debt cannot pay the salaries which are desirable for employees and civil servants.
Wir treten für hohe Löhne ein, und da ist es notwendig, daß auch Gewinne erzielt werden.	We are in favour of high salaries, so we also need to make profits.
Letztlich trete ich auch für die kleinen und mittleren Unternehmen ein.	At the end of the day, I also support small and medium-sized enterprises.
18 Millionen Unternehmen in der Europäischen Union, von denen direkt Arbeitsplätze abhängen.	There are 18 million of them in the European Union, on which jobs directly depend.
Ob Gewinne erzielt werden, ob auf Dauer Verluste gemacht werden, das bedroht die Existenz des Betriebes und vor allem auch der Arbeitsplätze.	Whether profits or long-term losses are made threatens the company' s existence and in particular, also the jobs it creates.
Ich möchte dann zum Änderungsantrag 8 kommen und betonen, daß das Strafrecht natürlich nicht gleich dem Berufsausübungsrecht ist.	I should now like to come to Amendment No 8 and point out that criminal law is obviously not like occupational practice legislation.
Hier hätte ich mir gewünscht, daß wir zumindest eine Stellungnahme des Ausschusses für Recht und Binnenmarkt einholen, weil diese Fragen doch von sehr prinzipieller Bedeutung sind und eine alleinige Behandlung im Umweltausschuß aus meiner Sicht nicht erschöpfend ist.	I would have liked us to have obtained at least an opinion on this from the Committee on Legal Affairs and the Internal Market because such issues are, after all, extremely important in principle and in my view, the Committee on the Environment, Public Health and Consumer Policy cannot deal with them conclusively on its own.
Ich möchte auch klar definieren, daß die Verpflichtung des Unternehmers, sich vertraut zu machen, so zu definieren oder zu interpretieren ist, daß es sich hier natürlich um die Vorschriften im Rahmen des Genehmigungsumfangs der Anlage handeln muß.	I should also like to make it clear that the company' s obligation to gain trust must be defined or interpreted in such a way that it must of course relate to the rules concerning the extent of the authorisation for the plant.
Die Vorschriften müssen natürlich dem jeweiligen Unternehmen bekannt sein, damit diese sich dann auch daran halten können.	The individual company must, of course, be aware of the rules, so that it can then also comply with them.
Zum Änderungsantrag 19 möchte ich sagen, daß natürlich nur die schuldhafte Irreführung gemeint sein kann, und zum Änderungsantrag 20, daß es sich natürlich nur um wirtschaftliche Vorteile handelt.	On Amendment No 19, I should like to say that it can obviously only be taken to mean deliberately providing misleading information, and Amendment No 20 obviously only deals with financial gain.
Zum Änderungsantrag 25 möchte ich sagen, daß in der Versicherungswirtschaft ein reiner Ökoschaden bis heute eigentlich nicht kalkulierbar und versicherbar ist.	On Amendment No 25, I should like to say that within the insurance industry it is in fact still not possible to calculate or insure pure environmental damage.
Hier würden wir eine Definition benötigen, was damit genau gemeint ist.	We would need it to be defined precisely.
Ich glaube aber, daß dieser Vorschlag im großen und ganzen sehr sinnvoll ist, wenn wir gerade an die Erweiterung um die ost- und mitteleuropäischen Staaten denken.	I believe, nevertheless, that this proposal is by and large very sensible, especially when we think of enlargement with Central and Eastern European countries.
Wenn wir hier jetzt einen Rechtsrahmen für die Zukunft schaffen, könnte das dem Umweltgedanken sehr nützlich sein.	If we create a legal framework for the future now, it could be very useful to our thinking on the environment.
Ich bin aber auch der Meinung, daß die strafrechtlichen Sanktionen in erster Linie nur bei Vorsatz gelten sollten oder bei wiederholter grober Fahrlässigkeit.	However, I am of the opinion that the criminal sanctions should first and foremost only be applied in the case of criminal intent or persistent gross negligence.
Gefängnis anzudrohen, ist ein wirklich existenzbedrohender Ansatz!	The threat of imprisonment is an approach that really threatens a person' s livelihood!
Ich möchte nicht einen Arbeiter, weil er einmal grob fahrlässig einen Hahn nicht schließt, hinter Gitter bringen und in seiner Existenz bedrohen.	I should not like to put a worker behind bars and threaten his livelihood because on one occasion, he acts with gross negligence by not turning off a tap.
Daher würde ich vorschlagen, daß man mit diesen Kriterien wirklich sehr vorsichtig umgeht, weil in diesem Bereich die Sensibilität natürlich sehr groß ist.	I would therefore suggest that we are extremely cautious with these criteria because this is obviously a very sensitive area.
Wir sollten uns im übrigen sehr intensive Gedanken machen, wie wir die Methode der best practice in diesem Fall optimieren, nämlich gerade für den Umweltschutz ist best practice und benchmarking und das Bieten von Anreizen eine wesentliche Grundlage.	We should also think very carefully how to optimise the best practice method in this instance, that is to say, best practice and benchmarking and offering incentives are an important basis particularly for environmental protection.
Gerade die Europäische Union hat hier gezeigt, daß mit vielen Förderungen, mit Forschung und Entwicklung, mit Beratung sehr viel gemacht werden kann.	The European Union, in particular, has shown that a great deal can be achieved in this respect with numerous incentives, research and development, and consultation.
Aber natürlich sind auch Bildung und Zertifizierung notwendig.	However, training and certification are obviously necessary too.
Wir haben ja diese Woche schon über EMAS gesprochen.	We have already spoken about EMAS this week.
Wenn wir diesen positiven, diesen Weg über Anreize gehen, dann schützen wir unseren Planeten wirklich.	If we follow this positive route via incentives, then we will really be protecting our planet.
