Herr Präsident! Den Kollegen Gargani, den ich jetzt hier vertrete, möchte ich entschuldigen.	. – Mr President, Mr Gargani, for whom I am deputising, sends his apologies.
Er musste sich wegen einer dringenden Familienangelegenheit zurück nach Italien begeben.	He had to return to Italy on urgent family business.
Ich werde Ihnen übrigens angesichts des Gedränges, das hier heute herrscht, keine acht Minuten Rede zumuten.	However, as we are very pressed here today, I shall not talk to you for eight minutes.
Das scheint mir bei diesem Thema nicht erforderlich zu sein.	I do not consider that this issue requires it.
Lassen Sie mich deshalb relativ kurz etwas dazu sagen, was der Zweck dieser Angelegenheit ist.	Allow me therefore to say a few words on the purpose of this issue.
Wir haben vor einigen Monaten unter den Koordinatoren des Rechtsausschusses zusammengesessen und uns dort überlegt, dass es ja vielleicht angesichts der Tatsache, dass wir mit einer ganzen Reihe von Gesetzgebungsvorhaben, die den Bereich der geistigen Schutzrechte betreffen, Schwierigkeiten haben – ich drücke das einmal etwas zurückhaltend aus –, ganz sinnvoll wäre, dass wir uns auch als Parlament mit dieser Frage erneut befassen und die Gelegenheit nutzen, dies mit der Kommission – vielleicht zu einem späteren Zeitpunkt auch mit dem Rat – noch einmal zu erörtern.	A few months ago, we sat together under the coordinators of the Committee on Legal Affairs and decided that, as we are having problems – and I use the word advisedly – with a whole series of proposals for legislation in the field of intellectual property rights, it might perhaps make perfect sense if Parliament as a whole were to address this question once more and take this opportunity to discuss this once again with the Commission and – at a later date perhaps – with the Council.
Es gibt gar keinen Zweifel daran, dass es für die europäische Wirtschaft von zentraler Bedeutung ist, dass wir in Europa auf Dauer ein einheitliches Patent bekommen.	There is no doubt whatever as to the crucial importance to the European economy of our introducing a permanent single patent in Europe.
Ich erinnere an unsere Beschlussfassung zum Lissabon-Prozess.	I recall our resolution on the Lisbon process.
Ich erinnere an die Entschließungen, die wir dazu verabschiedet haben, und an die Initiativen der zurückliegenden Jahre.	I recall the resolutions which we adopted on this and initiatives in previous years.
Wir waren hier immer – weit fraktionsübergreifend – der Auffassung, dass auch im Rahmen des Lissabon-Prozesses das europäische Patent einen besonderen Stellenwert hat und von zentraler Bedeutung ist, auch um die Konkurrenzfähigkeit der europäischen Wirtschaft gegenüber der Wirtschaft in anderen Regionen der Welt gewährleisten zu können.	We here always took the view – almost right across the political divide – that the European patent had a particular worth and is of crucial importance, including within the framework of the Lisbon process, if we are to be able to guarantee the competitiveness of the European economy with the economies of other regions of the world.
Ich will aber nicht verhehlen, dass einige von uns – und ich in besonderem Maße – die Art und Weise, wie sie sich Dinge im Rat entwickeln, mit großer Sorge betrachten.	However, I will not conceal the fact that some of us – and I in particular – were very concerned at developments in the Council.
Wir wissen, dass es im Rat Überlegungen gibt – die zur Zeit noch nicht durchsetzbar sind, weil es ja wegen der Einstimmigkeit an der erforderlichen Zustimmung aller Mitgliedstaaten fehlt – ein Patent zu schaffen, das in alle Amtssprachen der Europäischen Union übersetzt werden muss.	We know that the Council is considering creating a patent which must be translated into all the official languages of the European Union; however, this is as yet unfeasible because unanimity is required and the consent of all the Member States has not been forthcoming.
Ein solches Patent wäre extrem teuer.	Such a patent would be extremely expensive.
Es wäre nicht wettbewerbsfähig, es würde, wenn es einmal da wäre, auch nie wieder auf ein normales vernünftiges Patent zurückgefahren werden können.	It would not be competitive, nor – if it came about – could it ever be converted back into a normal, proper patent.
Alles wissen, dass Englisch die entscheidende Sprache ist, die in der Technik, bei der Patentvergabe die absolute dominante Rolle spielt, und dass die Übersetzung in alle anderen Sprachen im Grunde genommen völlig überflüssig ist und nichts bringt, sondern lediglich Geld kostet.	Everyone knows that English is the language that matters and plays an absolutely dominant role in technology and in the granting of patents and that translations into other languages are basically superfluous, achieve nothing and just cost money.
Wenn man einmal ein solches Sprachenregime geschaffen hat, wird man es nie wieder los.	Once such a language regime has been created, there will be no getting away from it.
Das ist die Erfahrung in der Europäischen Union, und das ist auch die Folge, wie hier in solchen Fragen üblicherweise Gesetzgebung gemacht wird.	That is the experience in the European Union and that is also the consequence of how legislation is usually passed here on such issues.
Vor diesem Hintergrund mache ich mir große Sorgen darum, ob wir am Ende ein Patent bekommen können und bekommen werden, das wirklich diese Vorgaben, die wir auch im Rahmen des Lissabon-Prozesses gesetzt haben, erfüllen kann.	Against this background, I am very concerned as to whether we can and will ultimately get a patent that really can meet the specifications that we have set, including within the framework of the Lisbon process.
Hinzu kommt, dass ein solches extrem teures Patent in der Folge auch dazu führen würde, dass der Mittelstand diskriminiert wird. Dann werden die wenigen großen Unternehmen, die es gibt – und das werden nicht nur europäische, sondern vor allem auch außereuropäische Unternehmen sein – ihre Patente nach diesem neuen europäischen Patent mit Gültigkeit in der gesamten Gemeinschaft anmelden. Aber der kleine Mittelstand – und das sind 70% und mehr aller Patentinhaber – wird sich dies vor dem Hintergrund der Kosten nicht leisten können; er wird auf das kleine, schlechtere nationale Patent und die Regelungen entsprechend dem europäischen Patentübereinkommen angewiesen sein.	In addition, there is the fact that such an expensive patent would ultimately discriminate against medium-sized businesses, because the few large companies which exist – and they will be not only European but also, above all, non-European companies – will register their patents throughout the Community under this new European patent, while small and medium-sized enterprises – and they account for 70% or more of all patent holders – will be unable to do so because of the costs involved and will have to rely on small, inferior, national patents and regulations under the European Patent Convention.
Diese Zwei-Klassen-Gesellschaft im Patentrecht kann nicht das sein, was wir in der Europäischen Union wollen.	This second-class society in patent legislation cannot be what we want in the European Union.
