– Herr Präsident, Frau Kommissarin, liebe Kolleginnen und Kollegen!	– Mr President, Commissioner, ladies and gentlemen, I am somewhat amazed.
Ich bin ziemlich erstaunt. Frau Kommissarin, Sie haben argumentiert, dass wir mit dieser Richtlinie nachhaltig die Verkehrspolitik beeinflussen.	You, Commissioner, have argued that we will, by means of this directive, influence transport policy towards sustainability.
Ich würde Sie gerne daran erinnern, was Nachhaltigkeit bedeutet.	I would very much like to remind you what sustainability means.
Göteborg hat festgelegt: Nachhaltigkeit ist ein gleichschenkliges Dreieck aus Ökonomie, Ökologie und Sozialem.	It was specified at Göteborg that sustainability is an equilateral triangle of the economic, the ecological and the social.
Ich stelle Ihnen einfach die Frage: Wie haben Sie die Nachhaltigkeit gefördert, wenn Sie durch diese Richtlinie die Sicherheit in den Häfen gefährden?	Let me just ask you a simple question: in what way were you promoting sustainability when, by means of this directive, you are jeopardising safety in ports?
Das kann zu größerer Umweltschädigung führen und führt nicht zur Verbesserung des Umweltschutzes.	It can make for worse damage to the environment and does nothing to improve the protection of it.
Wie haben Sie das Soziale gestärkt, wenn Sie ohne Genehmigung eine Selbstabfertigung zulassen, was dazu führt, dass das Personal auf dem Schiff, das schon die ganze Zeit mit dem Schiff gefahren ist, nun auch zusätzlich die Be- und Entladearbeiten ausführen soll?	In what way are you strengthening the social element when you allow self-handling, which means that the ship’s crew, who have been travelling on it for so long, now, in addition, have to load and unload it?
Das hat mit Reduzierung von Arbeitszeit, mit Qualifikation nichts zu tun.	Qualifications and the reduction of working time do not come into it.
Das Argument von Herrn Hatzidakis ist ja aberwitzig! Er sagt, es werden neue Arbeitsplätze geschaffen.	Mr Hatzidakis’ argument that new jobs will be created is crazy.
Ich bitte Sie, wenn dieselben Tätigkeiten von denjenigen ausgeführt werden, die schon andere Tätigkeiten haben, dann baut das Arbeitsplätze ab, aber es fördert keine zusätzlichen Arbeitsplätze.	I beg you, if the same jobs are done by people who already have other things to do, that reduces jobs rather than encouraging the creation of additional ones.
Das widerspricht dann auch der Lissabonner Agenda, wenn wir Vollbeschäftigung bis zum Jahr 2012 erreichen wollen, uns aber immer in die entgegengesetzte Richtung bewegen.	It also goes against the Lisbon agenda if we want to achieve full employment by 2012, but keep going in the opposite direction.
Da muss ich Ihnen ganz ehrlich sagen: Von Ihnen als Kommissarin hätte ich erwartet, dass diese Aspekte tatsächlich richtig betrachtet werden.	I have to tell you in all honesty, Commissioner, that I really would have expected you to look at these aspects from the right angle.
Das war vollkommen einseitig; das heißt – Sie haben es gesagt –, die Liberalisierung voranschreiten lassen zu wollen.	What you said was completely one-sided, and, as you said, it indicates that you want to let liberalisation advance.
Wenn das für Sie das Ziel ist, dann sagen Sie es doch einfach, und es ist in Ordnung.	If that is what you see as your objective, then it is in order for you to just say so.
Dann ist vollkommen klar, dass wir nie auf einen Nenner kommen, weil Liberalisierung für Sie ausschließlich bedeutet, die Kosten auf ökonomischem Gebiet zu senken.	Then it will be perfectly clear that we can never find a common denominator, because, for you, liberalisation means nothing more than cutting costs in the economic sphere.
Das mag Ihr Anspruch sein, aber das ist nicht meiner, und das ist auch nicht der Anspruch unserer Fraktion.	You may well claim that it is about that, but I do not, and nor does my group.
Zu den Hafenarbeitern und den Lotsen: Im Laufe der Debatte, die wir geführt haben – und das wissen Sie auch, Herr Jarzembowski –, haben Sie manche Forderungen erfüllt, manche nicht.	Turning to the port workers and the pilots, you have, in the course of the debate we have had – and Mr Jarzembowski knows this too – met some of our expectations, but not others.
Zum Schluss, nach dem Vermittlungsverfahren, haben Sie überhaupt keinen der Betroffenen mehr auf Ihrer Seite, überhaupt keinen!	At the end, after the conciliation process, absolutely none of the people affected are on your side – none whatever!
Wir haben hier gestern die Hafenarbeiter noch einmal gehabt – 21.000 Unterschriften, das ist aus diesem Berufszweig außerordentlich viel –, und das wird auch nicht zur Kenntnis genommen!	Yesterday, we were again visited by the port workers, whose 21 000 signatures make up an extraordinary amount for this occupation, and you do not even take note of it!
Das heißt, statt Sicherheit zu fördern, statt soziale Maßstäbe zu fördern und damit auch den Wettbewerb auf eine einheitliche Basis zu stellen, erreichen wir meiner Ansicht nach mit dieser Richtlinie genau das Gegenteil.	That means, I believe, that this directive, rather than promoting safety and social standards and thereby putting competition on a single footing, is achieving the precise opposite.
Deswegen kann man sie nur ablehnen!	For that reason, we can do no other than reject it.
