Herr Präsident, der uns vorliegende Bericht weist in die richtige Richtung.	Mr President, the report before us points in the right direction.
Er müsste aber weiter greifen.	But it should aim further.
In der Öffentlichkeit wird heute oft der Eindruck guter Information erweckt, in dem man Berge von auf Glanzpapier gedruckten Broschüren unter das Volk bringt.	The general public is often given the impression today that good information means being swamped with mounds of glossy brochures.
Doch nicht am Glanz, sondern am Inhalt, an der Transparenz und der Verständlichkeit messen die Bürger die Information.	However, people do not measure information by the shiny cover, but by the content, transparency and legibility.
Richtig ist, dass mit Transparenz und Öffentlichkeit solchen Erscheinungen wie Korruption und Mittelverschwendung eher vorgebeugt werden kann.	It is true that transparency and openness can help prevent corruption and the waste of resources.
Der jüngste Bericht des Rechnungshofs zeigt, wie dringlich hier Veränderungen sind.	The latest report by the Court of Auditors shows how urgently we need changes here.
Zu drei weiteren Aspekten: Erstens, Demokratie fußt auf dem Mittun der Bürger und soll das Tun anspornen.	Let me turn to three other aspects. Firstly, democracy is based on the participation of the citizens and is meant to be an incentive to action.
Was aber, wenn man nicht oder nur unzureichend informiert wird, wenn sich ein Dschungel von Bestimmungen auftut, in dem sich nicht einmal ein Mitglied des Parlaments, geschweige denn ein normaler Bürger zurechtfindet?	But what if people are not or not adequately informed and then encounter a jungle of provisions through which not even a Member of Parliament, let alone the man in the street, could find their way?
Es geht doch bei der Information auch darum, dass der Bürger seine eigenen Interessen in unseren Entscheidungen wiederfindet, wenn es zum Beispiel um Förderungsprojekte und andere Dinge geht.	Surely information also implies that the citizens can recognise their own interests in our decisions, for instance in decisions on aid projects and so forth.
Zweitens werden die Dokumente oft in einer Sprache verfasst, die nicht einmal ein Jurist versteht, geschweige denn ein Bürger begreifen kann.	Secondly, documents are often couched in the kind of language not even a lawyer can understand, let alone a citizen.
Ein letztes: Angezeigte Geheimhaltung ist selbst für die Mitglieder des Parlaments so groß, dass viele Zusammenhänge für die eigene Entscheidungsfindung, die wir ja auch brauchen, so verborgen bleiben, dass man ...	Finally, so many documents are kept secret even from the Members of Parliament that many of the facts we would need in order to reach a decision remain so hidden that...
(Technische Störung)	(Technical disruption)
