Herr Präsident! Wo liegt der Mehrwert?	Mr President, where is the added value?
Wo liegt die Begründung für einen europäisch geregelten Bodenschutz?	Where is the justification for European regulations on soil protection?
Die Argumente der Kommission für eine grenzüberschreitende Betroffenheit sind eher künstlich - mindestens aus ökologischer Sicht.	The Commission's arguments concerning cross-border effects are rather artificial - at least from the ecological point of view.
Auch das Argument, dass der Binnenmarkt durch unterschiedliche nationale Bodenschutzgesetzgebung gestört ist, kann ich nicht gelten lassen.	Nor can I accept the argument that the internal market is distorted by different national soil protection legislation.
Würde die Kommission das ernst meinen, würde sie jetzt nicht eine Rahmenrichtlinie vorlegen, die den Mitgliedstaaten selbst weitestgehende Handlungsfreiheit bei der Definition der Ziele für den Bodenschutz lässt.	If the Commission really meant that, it would not present us with a framework directive, which accords the Member States the greatest possible self-determination in the definition of goals for soil protection.
Das verstärkt doch eher die Unterschiede in der Bodengesetzgebung, als dass es sie ausgleicht.	That would increase the differences in soil protection legislation more than it would even them out.
Verrät nicht dieser Ansatz, dass die Kommission unsicher ist, wie sie mit Subsidiarität beim ortsgebundenen Boden legislativ umgehen soll?	Does not this approach reveal that the Commission is unsure as to how it should proceed in terms of subsidiarity when it comes to legislation for soil in specific locations?
Müssten wir in einem solchen Fall, wo wir alle mehr Bodenschutz wünschen, die nationale Gesetzgebung aber unterschiedlich ist, nicht zunächst das Instrument der offenen Koordinierung nutzen?	In such a case, where we all wish for better soil protection, but national legislation differs, should we not first use the instrument of open coordination?
Ich meine, ja!	I believe so.
Die Rahmenrichtlinie macht den zweiten Schritt vor dem ersten.	The Framework Directive takes the second step before the first.
Wir verpassen die Chance, dass Staaten ohne Gesetzgebung von Ländern mit guter Praxis im Bodenschutz lernen könnten.	We are missing out on the opportunity for countries without legislation to learn from countries with excellent soil-protection practices.
Und wir werden Bürokratie gerade für Staaten mit schon anspruchsvoller Gesetzgebung erleben.	We shall also experience bureaucracy, particularly in those countries that already have tough legislation.
Warum müssen diese trotz vorbildlicher Gesetzgebung ihr gesamtes Staatsgebiet untersuchen und Risikogebiete definieren?	Why should they have to examine their entire country and define risk areas, even though they already have exemplary legislation?
Wir brauchen weder diese Bürokratie noch einen Bodenschutz mit Goldrand, den uns Europa jetzt abverlangt.	We do not need this bureaucracy, nor do we need the gilt-edged soil-protection system that Europe is now demanding from us.
Abschließend zu dem Argument, das Parlament habe diese Richtlinie doch selbst vor Jahren gefordert.	In closing, a comment on the argument that Parliament itself asked for this Directive years ago.
Ja, das war vor fünf Jahren und mehr der Fall.	Yes, that was the case five years and more ago.
Nur, zwischenzeitlich haben wir unsere Erfahrungen mit FFH, IVU, Wasserrahmenrichtlinie und vielem mehr gemacht.	However, in the meantime we have had experience of the Habitats Directive, the Directive on integrated pollution prevention and control, the Water Framework Directive and many more.
Und im Gegensatz zur Kommission werden wir als Europapolitiker vor Ort zur Rechenschaft gezogen.	As well, unlike the Commissioners, we are held accountable locally.
Wir halten deshalb nicht an Fünf-Jahres- oder Zehn-Jahres-Plänen fest, wenn uns Unternehmen und Verwaltung vor Ort sagen: Es ist zu viel des Guten.	Therefore we do not hold fast to five-year and ten-year plans when businesses and local authorities on the ground are telling us that it is too much of a good thing.
Ich erkenne die Bemühungen der Berichterstatterin an, die Richtlinie zu entschärfen. Bürokratie vermeidet man aber am ehesten in der Entstehung.	I acknowledge the efforts of the rapporteur to make the Directive less stringent, but bureaucracy is best avoided at source.
Noch haben wir dazu eine Chance, indem wir die Richtlinie ablehnen.	We still have the opportunity to do that by rejecting the Directive.
Ich hoffe auf ein starkes Signal an den Rat, der seinen Nationen diese Bürokratiewelle nicht zumuten kann.	I hope that we give the Council a strong signal that it cannot expect its nations to accept this wave of bureaucracy.
