Verfasser der Stellungnahme des mitberatenden Ausschusses für Verkehr und Fremdenverkehr. - Herr Präsident! Zuerst einmal Dank an den Berichterstatter für die gute Zusammenarbeit, die wir gehabt haben.	Mr President, I would like to start by thanking the rapporteur for his excellent cooperation.
Der Verkehr ist entscheidend - auch im Wettbewerb.	Transport is also a decisive issue when it comes to competition.
Denn der Verkehr ist für 30 Prozent der CO2-Emissionen verantwortlich, und ich bin dankbar, dass aufgenommen wurde, dass der Verkehr auch in die zentralen Forderungen der Strategie Europa 2020 integriert wird.	After all, transport is responsible for 30% of CO2 emissions, which is why I am pleased to see that it has been accepted that transport should be included in the central demands of the Europe 2020 strategy.
Wir haben aber einen unfairen Wettbewerb, und da muss die Kommission aktiv werden.	However, we still have unfair competition and this is where the Commission needs to take action.
Wir haben zum Beispiel im Luftverkehr - dem Klimakiller par excellence - eine Mehrwertsteuerbefreiung und eine Kerosinsteuerbefreiung.	For example, the aviation sector, which is the climate killer par excellence, enjoys an exemption from value added tax and duty on fuel.
Das heißt, der europäische Steuerzahler zahlt jedes Jahr 30 Milliarden Euro für den Luftverkehr, damit die anbieten können, von einer Metropole in die andere zum Taxipreis zu fliegen.	This means that the European taxpayers pay out EUR 30 billion every year for aviation, simply so that the airlines can offer intercity flights at the same price as a short taxi journey.
Die Bahn muss das alles bezahlen.	The railways are required to bear the burden here.
Wir haben eine verpflichtende Schienenmaut für jede Lokomotive auf jedem Streckenkilometer.	We have a mandatory rail toll for every locomotive for every kilometre travelled.
Die muss erhoben werden, sie ist in der Höhe unbegrenzt.	This is a mandatory levy and has no upper limit.
Auf der Straße ist es eine freiwillige Sache der Mitgliedstaaten, ob sie eine Maut erheben.	On the roads, it is left up to the Member States to decide whether they charge any tolls at all.
Meist gilt sie nur auf Autobahnen für Lkw ab 12 Tonnen.	The tolls mostly apply only on motorways and only to heavy goods vehicles weighing 12 tonnes or more.
Wir haben also Mitgliedstaaten, die eine hohe Schienenmaut und gar keine Straßenmaut haben.	In other words, some of our Member States levy a high rail toll but no road tolls at all.
Das kann nicht sein, weil wir dann die Ziele verfehlen.	We cannot allow this because it completely misses the point.
Denn ohne eine Änderung der Mobilität werden wir den Klimawandel nicht stoppen können.	After all, if we do not change mobility habits, we will never succeed in averting climate change.
Das müssen wir aber!	Yet this is something we have to achieve.
Deshalb müssen Sie fairen Wettbewerb auch im Verkehrssektor erreichen!	That is why you must establish fair competition in the transport sector too.
