Herr Präsident!	Mr President.
Vor mehr als einem Jahr im Februar 1999 gab es Hoffnung auf neue Beziehungen zwischen Indien und Pakistan.	Over a year ago, in February 1999, there was hope for new relations between India and Pakistan.
In der Erklärung von Lahore bekräftigten beide Premiers ihre Entschlossenheit, das Simla-Abkommen von 1972 zu erfüllen.	In the Lahore declaration, both presidents confirmed their determination to comply with the 1972 Simla agreement.
Im Zuge der Auseinandersetzung um Kargil von Mai bis Juli 1999 kam leider der Lahore-Prozeß zum Stillstand.	Unfortunately, the Lahore process came to a standstill during the clash over Kargil between May and July 1999.
Die neueste Entwicklung in Kaschmir ist besorgniserregend.	The latest development in Kashmir is worrying.
Wir verurteilen die andauernden Menschenrechtsverletzungen, den religiösen Fanatismus, Sabotage und Terrorismus.	We condemn the continuing human rights violations, the religious fanaticism, the sabotage and the terrorism.
Ursache sind Aktivitäten von Rebellen, die von der pakistanischen Seite, der line of control, grenzüberschreitend operieren und systematisch auch wehrlose Zivilisten angreifen.	The cause lies in activities by rebels who are operating across the border, across the line of control from the Pakistani side and systematically attacking unarmed civilians.
Indien hat der Regierung und Islamabad wiederholt vorgeworfen, die Freischärler mit technischem und militärischem Know-how zu unterstützen.	India has repeatedly accused the government and Islamabad of backing the guerrillas with technical and military know-how.
Grenzübertritte müssen selbst dann verhindert werden, wenn ein Gelände 700 km lang und schwer einsehbar ist.	Border crossings have to be prevented along a 700 km stretch of country which is hard to monitor.
Die politische und die militärische Situation müssen weiter stabilisiert werden, um eine Atmosphäre für bilaterale Gespräche zu schaffen.	The political and military situation needs to be further stabilised in order to create a climate for bilateral talks.
Zur erneuten Aufnahme von Verhandlungen hat sich die indische Regierung bereits bereit erklärt. Voraussetzung ist, die Demarkationslinie strikt zu wahren und fundamentalistische Tendenzen einzudämmen.	The Indian government has already declared that it is prepared to resume negotiations, provided that the demarcation line is strictly adhered to and fundamentalist tendencies are checked.
Wenn US-Präsident Clinton - James Elles wies darauf hin - Ende März Südostasien besucht, und wenn wir als SAARC-Delegation des Europäischen Parlamentes im April in Indien sein werden, gehört das Thema Kaschmir an die Spitze der Tagesordnung.	When US President Clinton visits South-East Asia at the end of March - James Elles referred to this - and if we are to visit India in April as the SAARC delegation of the European Parliament, then the subject of Kashmir will need to go to the top of the agenda.
Wir müssen darauf hinarbeiten, eine Annäherung beider Nachbarstaaten zu erreichen, des islamistisch geprägten Pakistan und des Vielvölkerstaates Indien.	We must work on achieving a rapprochement between the two neighbouring states, the Islamic state of Pakistan and the multinational state of India.
Es liegt auch in der Verantwortung von Kommissar Patten und des hohen Vertreters des Rates, Solana, daß die Europäische Union eine Chance hat, sich als erfolgreiche internationale Vermittlerin in Konfliktsituationen profilieren zu können.	It is up to Commissioner Patten and the high representative of the Council, Mr Solana, to ensure that the European Union has a chance to distinguish itself as a successful international mediator in conflict situations.
