Vielen Dank, Herr Präsident, liebe Kolleginnen, liebe Kollegen, sehr geehrte Herren Kommissare!	Mr President, ladies and gentlemen, Commissioners, thank you.
Wir müssen die Chancen der Finanzkrise ergreifen und die europäische Wirtschaft radikal ökologisieren und damit die Klimakrise aufhalten.	We must take the opportunity offered by the financial crisis to undertake radical greening of the European economy and to put a stop to climate change.
Die Kommission lässt jedoch diese Chance ungenutzt und setzt auf ein Rettungspaket für veraltete Konzepte, auf Straßenbau und Autoindustrie.	However, the Commission is not making use of this opportunity and is relying on a rescue package involving outdated concepts such as road building and the car industry.
Selbst Investitionen in marode Wirtschaftsstrukturen sind nicht ausgeschlossen.	Even investment in ailing economic structures seems to be a possibility.
Das ist kein zukunftsorientiertes Konzept, welches den Menschen ihre Existenzängste nimmt.	This is not a forward-looking concept which would stop people from worrying about the loss of their livelihoods.
Die Erleichterung beim Einsatz der Strukturfonds muss allein auf nachhaltige, ökologische Investitionen ausgerichtet sein.	The relaxation in the rules for the use of the Structural Funds must be aimed solely at sustainable, environmentally-friendly investment.
Ohne einen solchen Klimacheck darf es keine Erhöhung der Kofinanzierung, der Mittel geben.	Without a climate check of this kind, the co-financing must not be increased.
Sehr geehrte Herren Kommissare, ich kann es auch als zynisch bezeichnen, dass Sie die Finanzkrise dazu nutzen, die Rechte der Arbeitnehmerinnen und Arbeitnehmer abzubauen.	Commissioners, I believe that your approach of using the financial crisis to erode the rights of workers is also a cynical one.
Die Entsenderichtlinie muss die Arbeitnehmerrechte stärken und darf nicht zu ihrer Schwächung beitragen.	The posting directive should reinforce workers' rights and not help to weaken them.
Eine Erneuerung in diese Richtung ist überfällig.	Reform of this kind is long overdue.
Das, was Sie in dem neuen Dokument dazu bieten, ist inakzeptabel.	What you are offering in the new document is unacceptable.
