Herr Präsident! Die Debatte spiegelt die ungeklärten Fragen der Wirtschaftspolitik in Europa wider.	Mr President, the debate reflects the unresolved issues of economic policy in Europe.
Wir haben zwar eine zentrale Geld- und Währungspolitik, aber eine dezentrale Verantwortung für die Haushalts- und Finanzpolitik.	Whilst we have a central monetary policy, there is local responsibility for budgetary and finance policies.
Die Versuche einiger griechischer Kollegen, die Verantwortung für die innenpolitischen Kompetenzen Griechenlands auf Europa zu übertragen, oder auf Dritte, auf Banken den Kapitalismus, oder auf wen auch immer, kann nur fehlgehen.	The attempts by some Greek Members to shift the responsibility for Greece's internal political competence onto Europe, or to third parties, to capitalist banks, or to whomever, can only be a mistake.
(Zwischenruf)	(Heckling)
Die Kommunisten aus Griechenlands waren es.	It was the Greek communists.
Der Euro ist zum Glück stabil nach innen und nach außen.	Fortunately, the euro is stable both internally and externally.
Wir haben nämlich keine Eurokrise, sondern wir haben eine Staatsverschuldungskrise.	What we are dealing with is not a crisis of the euro, but rather a sovereign debt crisis.
Dort muss angesetzt werden.	That is where we must start.
Es nützt nichts, auch der Staat darf auf Dauer nicht über seine Verhältnisse leben.	It is pointless - even the state cannot live beyond its means indefinitely.
Es nutzt nichts, wenn wir zu bisherigen Schulden weitere dazugeben und nicht die Konsequenzen notwendiger Reformen tragen.	It is pointless adding further debt to existing debts without accepting the consequences of necessary reforms.
Deshalb sage ich, es ist höchste Zeit, dass wir handeln.	That is why I say it is high time that we acted.
Das Parlament hat seit langem Maßnahmen gefordert.	Parliament has been calling for measures for a long time.
Die Kommission hat jetzt eine Schärfung des Stabilitäts- und Wachstumspakts vorgeschlagen.	The Commission has now proposed that the Stability and Growth Pact be tightened up.
Die ungarische Präsidentschaft hat gut verhandelt, unsere Seite auch.	The Hungarian Presidency has negotiated well, as has our side.
Mir tut es eigentlich leid, Herr Kollege Bullmann - in vielen Fragen der Finanzmarktregulierung verstehen wir uns durchaus -, dass die Sozialisten immer noch zwischen guten und schlechten Schulden unterscheiden wollen.	I actually think it a pity, Mr Bullmann - for on many aspects of regulation of the financial markets we are very much in agreement - that the socialists still want to distinguish between good and bad debt.
Das ist ein Irrweg!	That is the wrong way to go.
Und wenn man die Bilanz zieht, wer eigentlich in Europa in Schwierigkeiten gekommen ist, da brauchen wir nicht zu diffamieren, das kann man einfach sehen.	When we draw up the balance sheets to see which countries of Europe have got into difficulties there is no need to defame anyone; it is easy to see.
Überall dort, wo diese Haushalts- und Finanzprobleme aufgetaucht sind, gab es sozialistische Regierungen.	There were socialist governments everywhere that these budgetary and financial problems have arisen.
Ungarn, Lettland, Rumänien, außerhalb der Eurozone, Irland, Spanien, Portugal, Großbritannien und auch Griechenland mit vierjähriger Unterbrechung, wo unsere dabei waren.	Hungary, Latvia, Romania, outside the euro area, Ireland, Spain, Portugal, the United Kingdom and Greece too, apart from a break of four years, when our lot were in.
Das heißt, euer Wirtschaftsmodell funktioniert nicht.	In other words, your economic model does not work.
(Zwischenruf)	(Heckling)
Mensch, Herr Bütikofer, du bist ja auch nicht besser.	Really, Mr Bütikofer, you should know better by now.
Wir können hier nicht die Griechen aus der Verantwortung nehmen, und ich sage auch ganz klipp und klar, der erste Verstoß gegen den Stabilitäts- und Wachstumspakt waren nicht die Griechen, sondern das waren die beiden größten: Deutschland und Frankreich.	We cannot absolve the Greeks of responsibility here and I will say quite frankly that the Greeks were not the first to contravene the Stability and Growth Pact; rather it was the two big ones, Germany and France.
Wir haben das auch beanstandet und geändert.	We also objected to that and changed it.
Da waren Sie, Herr Bütikofer in der Regierung.	You were in the government at the time, Mr Bütikofer.
Sie sind die Totengräber, Ihre Partei, Sie sind die Totengräber des Stabilitäts- und Wachstumspakts und nicht die Griechen.	You dug the grave - it was your party that dug the grave of the Stability and Growth Pact, not the Greeks.
Aber jetzt sind die Griechen gefordert ...	Now, however, it is for the Greeks to...
(Der Präsident entzieht dem Redner das Wort.)	(The President cut off the speaker.)
(Der Redner ist damit einverstanden, zwei Fragen nach dem Verfahren der "blauen Karte" gemäß Artikel 149 Absatz 8 Geschäftsordnung zu beantworten.)	(The speaker agreed to take two blue-card questions under Rule 149(8) of the Rules of Procedure)
