Herr Präsident! Jeder Haushalt spiegelt die finanzielle Umsetzung der vorgesehenen Politik wider.	Mr President, any budget reflects the financial implementation of the intended policy.
Demzufolge kann sich natürlich die Beurteilung zur Zustimmung oder Ablehnung des Haushalts nur danach richten, wie die Politik in ihrer Schwerpunktsetzung den eigenen Vorstellungen entspricht und ob die finanziellen Mittel dafür ausreichend vorhanden sind.	Consequently, the decision to accept or reject the budget can, of course, only be bound up with how the focal points of the policy match up to one' s own ideas and whether the available financial funds are sufficient.
Welches sind nun m. E. die entscheidenden Kriterien für diesen Haushalt?	What then, in my opinion, are the main criteria for this budget?
Erstens, eine drastische Minimierung der verheerenden Beschäftigungslosigkeit in den Mitgliedstaaten der Europäischen Union.	Firstly, a drastic minimisation of the unemployment which dominates in the Member States of the European Union.
Zweitens, eine Verringerung der ökonomischen und sozialen Divergenzen in den Mitgliedstaaten.	Secondly, a reduction in the economic and social divergences in the Member States.
Drittens, die Erweiterung der Europäischen Union und viertens, eine friedliche, demokratische und soziale Entwicklung aller Regionen dieser Erde.	Thirdly, the enlargement of the European Union and, fourthly, a peaceful, democratic and social development of all regions in the world.
Wenn - wovon ich eigentlich ausgehe - Sie diese Ansatzpunkte teilen, wobei es dann natürlich Differenzen in den Wegen zur Erreichung dieser Ziele geben wird, dann müßte klar sein, daß man den Haushalt, so wie er vorliegt, nicht bestätigen kann.	If, and this I am assuming, you share these starting points, albeit there will certainly be differences of opinions as to the ways in which we reach these goals, it must be clear that the budget, as it stands, cannot be affirmed.
Frau Schreyer, ich bin selbstverständlich dafür, daß man umschichten und umverteilen kann.	Mrs Schreyer, I am, of course, in favour of reorganising and redistributing.
Ich würde mich sofort von Großunternehmen hin zur arbeitsplatzsichernden klein- und mittelständischen Wirtschaftspolitik umorientieren.	I would immediately switch the focus from large enterprise to small and medium-sized economic policy which safeguards jobs.
Ich würde sofort von einer angebotsorientierten Wirtschaftspolitik zur nachfrageorientierten Wirtschaftspolitik übergehen, damit wir den Konsum anheizen.	I would immediately move from an offer-oriented economic policy to a demand-oriented economic policy in order to boost consumption.
Aber es ist ein Unding, der Europäischen Union zu immer mehr Zuständigkeiten zu verhelfen, ohne ihr die finanziellen Mittel dafür zu geben.	But it is absurd to find ever more responsibilities for the European Union without providing it with the necessary financial funds.
Es kann nicht Aufgabe dieses Parlaments sein zu akzeptieren, daß der Rat wichtige neue politische Notwendigkeiten durch die Streichung traditioneller finanzieren will.	It cannot be the duty of Parliament to accept that the Council wants to finance important new political needs by renouncing traditional needs.
Ebensowenig kann es Aufgabe dieses Parlaments sein zu akzeptieren, daß die Mitgliedstaaten ihre Haushalte zu Lasten des Haushalts der Europäischen Union sanieren wollen.	Similarly, it cannot be the duty of this Parliament to accept that the Member States want to reorganise their budgets to the detriment of the European Union budget.
Demzufolge halte ich es für die dringlichste Aufgabe - denn es ist ein neues Parlament, es ist eine neue Kommission - darüber nachzudenken, daß die Finanzielle Vorausschau unbedingt zu verändern ist und daß auch die Interinstitutionelle Vereinbarung zu korrigieren ist.	Consequently, I consider that the most urgent task, given that we have a new Parliament and a new Commission, is to give consideration to the fact that the Financial Perspective really must be amended and that the interinstitutional agreement must also be modified.
