Berichterstatterin. - Frau Präsidentin, liebe Kolleginnen und Kollegen!	Madam President, ladies and gentlemen, I would like to make a clarification.
Ich möchte etwas klarstellen: Es wird ein Plenarsitzungsdokument verteilt, auf das ich angesprochen worden bin, die Empfehlung für die zweite Lesung.	It has been drawn to my attention that a plenary session document - a recommendation for a second reading - is in circulation.
Das ist nicht das Kompromisspaket, sondern das Ergebnis der Abstimmung der zweiten Lesung im zuständigen ENVI-Ausschuss.	This is not the compromise package, but rather the result of the vote on the second reading in the competent committee, the Committee on the Environment, Public Health and Food Safety.
Es wird noch ein zweites Dokument verteilt: Die Änderungsanträge 137 und 136 revidiert.	There is another document being distributed, which contains revised Amendments 137 and 136.
Dieser Änderungsantrag 136 ist das Kompromisspaket, das alle Fraktionen gemeinsam mit dem Ministerrat ausgehandelt haben.	The latter Amendment, No 136, is the compromise package negotiated by all the groups together with the Council.
Darüber wird zuerst abgestimmt.	This is to be voted upon first.
Wenn dieses Paket angenommen wird, wird natürlich alles andere hinfällig.	If this package is accepted, then of course everything else is redundant.
Ich bitte Sie inständig: Unterstützen Sie diesen Kompromiss!	I would urge you to support this compromise.
Jeder in diesem Hause muss sich darüber klar sein, dass wir, wenn dieser Kompromiss nicht von einer breiten Mehrheit dieses Hauses getragen wird, ein Vermittlungsverfahren riskieren, in dem die neue Lebensmittelkennzeichnung - an der wir nun drei Jahre gearbeitet haben - scheitern würde.	All Members of the House must understand that, if this compromise is not supported by a broad majority in Parliament, then we risk a conciliation procedure in which the food labelling scheme we have been working on for three years would fail.
Lassen Sie es nicht soweit kommen!	Please do not let things come to this.
Tun Sie etwas für den Verbraucher!	It is time to do something for consumers.
(Beifall)	(Applause)
