Herr Präsident! Vielen Dank, Herr Präsident, das finde ich sehr nett.	Thank you, Mr President, that was very kind.
Herr Kommissar Šemeta, es ist eine der Königspflichten der europäischen Volksvertretung: die Verabschiedung der Berichte zur Haushaltsführung der europäischen Organe und Einrichtungen, das ist unsere Königspflicht.	Commissioner Šemeta, the adoption of the reports on the budgetary management of the European bodies and institutions is one of our most important obligations as representatives of the European people - it is our sovereign duty.
Die Frage, wie Europa mit dem hart verdienten Geld der Steuerzahler wirtschaftet, ist für die Akzeptanz des europäischen Einigungsprojekts zentral.	The question of what Europe has done with taxpayers' hard earned money is crucial for the acceptance of the European integration project.
Ich möchte zunächst einmal allen Berichterstattern für die geleistete Arbeit danken.	I would first like to thank all the rapporteurs for their efforts.
Aber ich sehe in den Berichten Licht und Schatten.	However, I see light and shadow in the reports.
Licht sehe ich bei der Haushaltsführung insgesamt.	I see light in budgetary management overall.
Inzwischen ist es so, dass überall dort, wo die EU selbst die Mittel kontrolliert und verwaltet, regelkonform gewirtschaftet wird.	Meanwhile, it is the case that everywhere the EU controls and manages funds itself, it runs things in accordance with the rules.
Ob es auch effizient ist, das steht auf einem ganz anderen Blatt.	Whether or not it is efficient is another matter altogether.
Wir sollten uns als Europäisches Parlament stärker mit der Effizienz der Politik, der politischen Fragen und der Umsetzung beschäftigen, insbesondere im Hinblick auf die Agenda 2020.	As the European Parliament, we should pay closer attention to the efficiency of policies, political issues and implementation, in particular, with regard to the 2020 agenda.
Schatten gibt es im Bereich der Kohäsionspolitik.	There is shadow in the area of cohesion policy.
11 % nicht regelkonforme Dinge - dieser Prozentsatz ist zu hoch!	Eleven per cent of things do not comply with the rules and this percentage is too high.
Deshalb ist es von so großer Wichtigkeit, dass sich die EU mehr darum bemüht, falsch und fehlerhaft ausgezahlte Mittel zurückzuerlangen.	Therefore, it is very important that the EU tries harder to recover funds paid out incorrectly.
Das hat auch das Parlament erkannt. Der Haushaltskontrollausschuss hat deshalb einen Änderungsantrag der ALDE angenommen.	The Committee on Budgetary Control has therefore adopted an amendment tabled by the Group of the Alliance of Liberals and Democrats for Europe.
Wir wollen das Geld zu 100 % zurück!	We want 100% of the money back.
Für das Jahr 2010 habe ich die Ehre, Berichterstatter für die Entlastung der Europäischen Kommission zu sein.	For 2010, I have the honour of being the rapporteur for the European Commission discharge.
Bedingt durch das verzögerte Inkrafttreten des Lissabon-Vertrags wird das keine leichte Aufgabe.	Due to the delayed entry into force of the Treaty of Lisbon, this will be no easy task.
Wir müssen insbesondere darauf achten, ob es durch die neuen Zuständigkeiten der einzelnen Kommissare nicht vielleicht auch zu mehr Intransparenz, zu mehr Verschleierung der Verantwortlichkeiten kommt.	We must monitor very closely whether the new responsibilities of individual Commissioners lead to even less transparency and more concealment of responsibilities.
Das müssen und werden wir genau prüfen.	We must and will examine this very closely.
Lassen Sie mich zwei Bereiche herausgreifen: Der erste Bereich sind die so genannten Nichtregierungsorganisationen, der zweite ist das Gentlemen's Agreement.	Allow me to single out two areas: firstly, the so-called non-governmental organisations and secondly, the gentlemen's agreement.
Zwischen 2008 und 2009 hat die Europäische Union den so genannten NGO über 300 Millionen Euro an Mitteln ausgezahlt.	Between 2008 and 2009, the European Union paid NGOs over EUR 300 million in funds.
Darunter sind honorable Organisationen wie die Deutsche Welthungerhilfe.	These include honourable organisations like the Deutsche Welthungerhilfe.
Aber es gibt eben auch einige, die die Reputation der Europäischen Union zerstören wollen, nämlich die Counter Balance, die sich auf die Europäische Investitionsbank eingeschossen haben.	However, there are also some that want to destroy the reputation of the European Union, namely Counter Balance, which has attacked the European Investment Bank.
Das ist nicht hinnehmbar, damit müssen wir uns beschäftigen.	This is not acceptable and we must deal with it.
Wir brauchen ein Register und eine Definition von solchen Nichtregierungsorganisationen, denn da geht eine Menge Steuergeld hin.	We need a register and a definition of such non-governmental organisations, as they receive a lot of tax money.
Im Zusammenhang mit dem Gentlemen's Agreement möchte ich Herrn López Garrido danken.	With regard to the gentlemen's agreement I would like to thank Mr López Garrido.
Ich möchte dafür danken, dass Sie gekommen sind.	I would like to thank you for coming.
Ich möchte das auch als historisches Element hier einmal deutlich herausstellen: Dass wir nach 40 Jahren das Gentlemen's Agreement in Frage stellen und überarbeiten, das wird ein großer Schritt.	I would also like to point to the historical element: questioning and revising the gentlemen's agreement after 40 years is a huge step.
Angesichts unserer Bedeutung aufgrund des neuen Lissabon-Vertrags ist es aber auch ein notwendiger Schritt.	Given the importance of Parliament due to the new Treaty of Lisbon, it is also a necessary step.
Wir müssen für Transparenz sorgen, bei uns und beim Rat!	We must ensure transparency, here and in the Council.
