Herr Präsident!	.
Am 21. April tagte in der Nachbarschaft Togos, in Bamako in Mali, die Paritätische Parlamentarische Versammlung der EU und der Staaten Afrikas, der Karibik und des Pazifik.	Mr President, on 21 April, at Bamako in Mali, a neighbouring country to Togo, a meeting was held of the Joint Parliamentary Assembly of the EU and the African, Caribbean and Pacific states.
Wir haben drei Tage vor dieser Wahl sehr heftig über die Situation in Togo debattiert.	Three days before Togo went to the polls, we had vigorous debates on the situation there.
Leider hatten wir eine Situation, in der die Europäer auf der einen Seite der Auffassung waren, dass es dort nicht mit rechten Dingen zugeht, und der größere Teil insbesondere der afrikanischen Delegierten auf der anderen Seite sich dagegen verwahrte, dass wir schon vor der Wahl das Ergebnis als nicht frei und fair deklarieren wollten.	The situation was, unfortunately, that, of the two sides in the debate, the Europeans took the view that something was amiss in Togo, while most of the African delegates, in particular, protested when we tried to declare in advance of the election that it was neither free nor fair.
Leider hatten wir Recht, denn es hat sich bereits vor der Wahl abgezeichnet, dass das, was mit Hilfe von ECOWAS – das ist die regionale wirtschaftliche Vereinigung in Westafrika – vereinbart war, nicht eingehalten wurde, nämlich dass Oppositionsparteien an der Wahlvorbereitung beteiligt würden.	We were, unfortunately, right, for it was clear even before the election that no attempt was being made to keep to what had been agreed with help of the regional economic union in West Africa, ECOWAS, namely that opposition parties would be allowed to take part in the preparations for the election.
Man hat festgestellt, dass plötzlich bis zu einer Million unvorhergesehene Wähler auftauchten. Auch die Vergabe der Wahlberechtigungsscheine war sehr intransparent und die Kontrolle der Wählerverzeichnisse nicht gewährleistet.	It was noted that up to a million extra voters suddenly materialised, that the issue of electoral registration cards was far from transparent, and that voters’ registers were hardly, if at all, checked.
Dann ist es zu den gewalttätigen Auseinandersetzungen gekommen.	Incidents of violence ensued.
Wir fordern deutlich von der Regierung in Togo, die dafür die volle Verantwortung trägt, dass sie mit allen Beteiligten an den Verhandlungstisch zurückkehrt.	We unequivocally demand that the Togolese Government, which bears full responsibility for this, should, along with all the interested parties, return to the negotiating table.
Wir fordern, dass sie diejenigen, die zur Gewalt aufstacheln, auch festsetzt.	We call on it to arrest those involved in inciting violence.
Wir sind der Auffassung, dass das, was wir dort als Wahl gesehen haben, nicht die Voraussetzung dafür darstellen kann, dass die Europäische Union die Zusammenarbeit mit Togo wieder aufnimmt.	We take the view that what we saw happening in that election cannot justify a resumption of the European Union’s cooperation with Togo.
Das ist unter diesen Umständen nicht möglich.	Under these circumstances, that is not possible.
Deshalb fordern wir von der Kommission, klar zu sagen, wie sich Togo in der nächsten Zeit zu verhalten hat, damit dort keinerlei Zweifel aufkommen können, welches unsere Haltung ist.	We therefore call on the Commission to make it quite plain to Togo how that country is to conduct itself in the coming months, so that the people there may be in no doubt about what line we take.
