Herr Präsident! Herr Kommissar, herzlich willkommen im Europäischen Parlament!	Mr President, Commissioner, welcome to the European Parliament.
Meine Damen und Herren! Auch ein Kompliment an die Berichterstatterin, die eine sehr gute Arbeit geleistet hat.	Ladies and gentlemen, I would also like to compliment the rapporteur who has done a competent job.
Das Dokument deckt viele Bereiche ab.	The document covers many areas.
Wir haben in den letzten Jahren eine Zunahme an Haus- und Heimtieren zu verzeichnen und natürlich auch den Wunsch, dass diese Tiere mit auf Reisen genommen werden können.	In recent years, we have seen a growth in pets and domestic animals and naturally, also the desire to be able to take these animals with us on trips.
Das ist richtig, und so sollte es auch sein, denn es hebt das Lebensgefühl, wenn man sein Tier mitnehmen kann.	That is right and it should be so, as being able to take your pet gives you an increased sense of well-being.
Deswegen müssen wir aber in Europa Regeln haben, damit sich keine Tierseuchen ausbreiten.	For that reason, however, in Europe, we must have regulations to prevent the spread of animal epidemics.
Und die haben wir.	We have them.
Wir haben sehr gute Regeln in der Richtlinie Nr. 998/2003, und wir werden ab 2011 den Europäischen Impfausweis haben, in dem genau dokumentiert wird, welche Impfungen die Tiere erhalten haben.	We have very good regulations in Directive 998/2003 and from 2011 we will have the European Vaccination Card, which will accurately document which vaccinations animals have received.
Außerdem wird die elektronische Kennzeichnung ab 2011 eine Verwechslung und Täuschung verhindern.	Moreover, from 2011, electronic tagging will prevent confusion and deception.
Wir haben in den letzten Jahren sehr viel getan, damit Tierseuchen in Europa zurückgedrängt werden, insbesondere die Tollwut, auch durch Leistungen der Europäischen Kommission, die die Impfung von Füchsen ja erst durchgesetzt und finanziert hat.	In recent years, we have done a lot to curb animal epidemics in Europe, especially rabies, also through the achievements of the European Commission, which first pushed through and financed the vaccination of foxes.
Das ist eine sehr wichtige Sache, und das müssen wir auch mal zur Kenntnis nehmen.	That is a very important matter and we should acknowledge it.
Diese Sonderregeln, die immer wieder für einige Länder genehmigt werden, sind Belastungen für die Bürgerinnen und Bürger.	These special regulations that are repeatedly approved for some countries are burdens for citizens.
Hier steht der Aufwand in keinem Verhältnis zum Nutzen.	Here, the expense bears no relation to the benefit.
Ich habe von vielen Bürgern Briefe bekommen, die sich über schikanöses Verhalten an den Grenzen beschwert haben.	I have received letters from many citizens complaining of annoying behaviour at borders.
Als Beispiel will ich nur Großbritannien nennen: Zwei Tage zu früh eingereist bei einem halben Jahr Aufenthalt bedeutet 3 000 Euro Strafe, und das Tier wird sechs Wochen eingesperrt.	Let me just cite the United Kingdom as an example: arriving two days too early in a half-year stay means a EUR 3 000 fine and the animal is quarantined for six weeks.
Hier sollte man überlegen, ob diese Verhaltensweise richtig ist.	We should consider whether this kind of behaviour is right.
Deswegen denke ich, Herr Kommissar, ein Jahr noch, aber dann muss Schluss sein.	Therefore, Commissioner, I think one more year, but then this must end.
Wir haben europäische Regeln, die für alle gelten.	We have European regulations that apply to everyone.
Die Gefahr einer Verbreitung - wenn die Tierseuchensituation so bleibt, das muss man immer voraussetzen - besteht bei Heim- und Haustieren in dieser Form nicht mehr.	The risk of disease spreading - if the animal epidemic situation remains as it is, we must always presume that - no longer exists in this form with pets and domestic animals.
