Herr Präsident! Ich möchte kurz auf Frau Jackson eingehen.	Mr President, I would like to respond briefly to Mrs Jackson's comments.
Ich finde den Änderungsantrag 4 sehr gerechtfertigt, denn was wir wollen, ist, dass Aspartam überprüft wird, insbesondere auf Risikogruppen, und das sind insbesondere Schwangere.	I think Amendment No 4 is entirely justified, for what we want is a re-evaluation of aspartame, especially as regards its effects on risk groups, particularly pregnant women.
Wir wissen viel zu wenig darüber, wie sich beispielsweise ein hoher Verbrauch von Süßstoff auf die Schwangerschaft auswirkt oder auf die Gesundheit von Säuglingen und Kindern.	We know far too little, for example, about the effects of heavy consumption of sweeteners during pregnancy or on the health of infants and children.
Das gleiche gilt für Sucralose und Cyclamat - mein Kollege Paul Lannoye ist schon darauf eingegangen.	The same applies to sucralose and cyclamic acid, about which Mr Lannoye has already spoken.
Lassen Sie mich noch kurz auf Cyclamat eingehen.	Let me say a few brief words about cyclamic acid.
Sie haben gerade die FDA in den USA erwähnt, wenn es um Aspartam ging. Umgekehrt wollen Sie aber nicht deren Warnungen hören, was Cyclamat betrifft.	Although Mrs Jackson, with reference to aspartame, has just mentioned the FDA in the USA, she does not want to heed the FDA's warnings about cyclamic acid.
Davon - mein Kollege Paul Lannoye hat schon richtig darauf hingewiesen - ist eine sehr viel geringere Menge erlaubt.	As Mr Lannoye has quite rightly pointed out, a far lower maximum usable dose of that is permitted.
Ich denke, dass müssen wir zur Kenntnis nehmen.	I think we must all take note of this.
Wir sollten wirklich den Vorschlag machen, den meine Kollegin anregt, nämlich sogar auf 100 Milligramm zu reduzieren.	We really should adopt the proposal put forward by my colleague, namely to cut it as low as 100 mg/l.
Wir müssen versuchen, den hohen Einsatz von Zucker zu reduzieren.	We must try to reduce the high levels of sugar use.
Wir erleben, dass unsere Kinder z.B. bei Früchten nicht mehr deren Süße schmecken können, dass Zucker nicht mehr als Gewürz wahrgenommen wird, dass Lebensmittel völlig übersüßt werden, so dass wir uns irgendwann an diese Süßstoffe gewöhnen, mit dem Ergebnis, dass immer mehr Süßstoffe eingesetzt werden, um den riesigen Zuckerverbrauch zu reduzieren.	We are finding that our children, for example, can no longer taste the sweetness in fruit, that sugar is no longer perceived as a seasoning, and that foods are oversweetened to such an extent that at some point, we get used to these sweeteners, with the result that more and more sweeteners are being used in order to reduce the massive consumption of sugar.
Wir befinden uns hier in einem Teufelskreis.	We are in a vicious circle.
Von daher kann ich den Vorschlag des Ausschusses für Umweltfragen, Volksgesundheit und Verbraucherpolitik nur sehr unterstützen.	For this reason, I fully support the proposal put forward by the Committee on the Environment, Public Health and Consumer Policy.
Ich denke, wir müssen diese Debatte genau verfolgen, denn eins dürfen wir nicht zulassen, nämlich dass Krebs erregende Stoffe als Süßstoffe erlaubt werden.	I think we must follow this debate very closely, for there is one thing that we must not permit, and that is the use of carcinogenic substances such as sweeteners.
Hier gilt das Vorsorgeprinzip, und solange wir nicht ausschließen können, dass es zu Gefahren kommt, dürfen wir kein Risiko eingehen.	The precautionary principle applies here, and as long as potential threats cannot be ruled out, we cannot run any risks.
