Frau Präsidentin! Ich musste erst noch Herrn Beazley für seine ausgezeichnete Rede applaudieren.	Madam President, I would first like to congratulate Mr Beazley on his excellent speech.
Herr Prodi, ich danke Ihnen dafür, dass Sie heute hier klargemacht haben, dass Sie keine Vorschläge zur Veränderung der institutionellen Situation vorlegen werden ohne eine klare Abstimmung des Europäischen Parlaments als direkt gewähltem Körper darüber und ohne seine Zustimmung.	Mr Prodi, I would like to thank you for making it clear here today that you will not be bringing forward any proposals to amend the constitutional position unless you have the consent of the European Parliament and without a clear vote by Parliament as a directly elected body.
Das ist mehr, als wir bisher gehört haben, und darüber freue ich mich.	That is more than we have been told so far, and I am delighted about that.
Gleichzeitig danke ich Ihnen, dass Sie versuchten, Missverständnisse auszuräumen.	At the same time I would like to thank you for trying to clear up any misunderstandings.
Aber einige sind dennoch bei mir geblieben.	However, there are some things I am still not clear about.
Ich hoffe, Sie können diese in Ihrer Antwort ebenfalls ausräumen.	I hope that you will be able to deal with those in your reply as well.
Sie haben gesagt, es werde weniger Vorschläge von der Kommission geben.	You said that fewer proposals would be emanating from the Commission.
Dagegen ist nichts zu sagen, wenn Sie uns erklären, wie das neue Vakuum gefüllt wird. Denn Sie wissen und ich weiß und meine Kolleginnen und Kollegen wissen: Die Verträge von Maastricht, Amsterdam und Nizza haben sehr klar festgelegt, wie die Rolle des Europäischen Parlaments im legislativen Bereich aussieht, welche Rolle die Kommission und der Rat spielen.	There can be no objection to that, as long as you can tell us how this new vacuum is to be filled, because you know - just as my fellow Members and I do - that the Treaties of Maastricht, Amsterdam and Nice stipulated very clearly the legislative role of the European Parliament and the roles of the Commission and the Council.
Wenn Sie jetzt sagen, es werde weniger Vorschläge der Kommission geben, bedeutet dies, Sie wollen beispielsweise Rahmenvorschläge vorlegen.	If you are now telling us that the Commission will be making fewer proposals, one of the implications of that is that you will be presenting framework proposals.
Herr Prodi, wenn Sie dies wollen, müssen Sie sicherstellen, dass es einen Rückrufmechanismus, einen call back-Mechanismus gibt und eine Reform der Komitologie.	If that is what you intend, Mr Prodi, then you will have to ensure that there is a call-back mechanism and a comitology reform.
Dies ist nicht etwa, wie Sie gesagt haben, ein Nachteil des jetzigen Systems, sondern es ist eine unabdingbare Notwendigkeit bei den Ideen oder Vorschlägen, die Sie für die Zukunft haben.	This is not just a drawback of the present system, as you just suggested, but rather an absolute necessity in the context of the ideas or proposals that you have for the future.
Niemand im Parlament möchte Rahmenvorschläge, aber wenn Sie sie möchten, müssen Sie sie begleiten mit anständigen demokratischen Maßnahmen, die das Parlament in seinen Rechten nicht verletzt.	No one in this House wants framework proposals, but if you want them, then you must make sure they go hand in hand with proper democratic measures that do not adversely affect Parliament's rights.
Sie sagen, Sie wollen mehr moderne Maßnahmen wie freiwillige Selbstverpflichtungen; hier im Parlament möchte das niemand.	You say that you want more modern measures such as voluntary commitments; no one in this House wants that.
Aber, wenn Sie es dennoch wollen, müssen Sie die demokratischen Rechte innerhalb der Europäischen Union schützen und sicherstellen, dass es eine interinstitutionelle Vereinbarung gibt, die die Rechte des Parlamentes, des Rates und der Kommission unangetastet lässt.	However, if you still want that, you will have to protect democratic rights within the European Union and ensure that there is an Interinstitutional Agreement that leaves the rights of Parliament, the Council and the Commission intact.
Sie haben gesagt, das Weißbuch öffnet Wege für eine interinstitutionelle Debatte.	You also said that the White Paper opens up the way for an interinstitutional debate.
Ja, einen solchen eröffnet es.	It certainly does that.
Aber ich bitte Sie, Herr Prodi, hier klar zu sagen, dass Sie nicht hinter die Verträge von Maastricht, Nizza und Amsterdam zurückgehen wollen und dass Sie das, was ich hier angesprochen habe, genauso sehen wie die Mehrheit der Kolleginnen und Kollegen.	But I would ask you, Mr Prodi, to state clearly before us that you do not intend to go back on the Treaties of Maastricht, Nice and Amsterdam, and that you share the views of the majority of the Members of this House about what I have said.
Nicht ein Gesetzgebungsteil darf ohne die Begleitung dieses Europäischen Parlamentes sein.	Not a single piece of legislation should go through without the European Parliament being involved.
Es darf keine freiwilligen Selbstvereinbarungen geben und es darf keine Rahmenvereinbarung geben, ohne dass die Demokratie geschützt ist.	There should not be any voluntary agreements and there should not be any framework agreements unless democracy is protected.
