Frau Präsidentin! Der Friedensprozeß in den Philippinen ist schon ein langer Prozeß.	Madam President, the peace process in the Philippines has certainly been a lengthy process.
Die Europäische Union und das Parlament haben ja auch wichtige Beiträge für den Frieden geleistet.	The European Union and Parliament, of course, have also made important contributions to the peace effort.
Ich kann mich jedenfalls an mehrere Delegationen im Rahmen der ASEAN, z. B. der Anfangszeit von Frau Aquino, erinnern; damals haben wir diesen Prozeß stark unterstützt.	I can certainly recall visits by several delegations in the EC-ASEAN framework, for example in the early days of Mrs Aquino's government. At that time we gave strong backing to the process.
Der gute Wille ist von beiden Seiten da, von der NDFP und der Regierung, das wurde gesagt.	There is goodwill on both sides - on the NDFP side and on the government side - as has been said.
Dies muß von uns unterstützt werden.	We must support and encourage this goodwill.
Zwei Punkte scheinen mir besonders wichtig zu sein.	It seems to me that there are two especially important points.
Einmal die Überwachung der Einhaltung der Menschenrechte und zweitens die notwendige Landreform.	The first is the monitoring of human rights observance, and the second is the essential land reform.
Hier kommen wir wieder zu dem institutionellen Konflikt Kommission und Rat.	This takes us back to the institutional conflict between the Commission and the Council.
Ich glaube, die Kommission - und das möchte ich heute ausdrücklich sagen, Herr Marín - hat an den Philippinen eine gute und wichtige Arbeit geleistet.	I believe - and I should like to say this quite explicitly today, Mr Marín - that the Commission has done valuable and significant work with regard to the Philippines.
Es ist natürlich wichtig, daß Projekte stattfinden und nur solche stattfinden können, bei denen die Menschenrechte gewahrt werden.	It is, of course, important that projects are implemented and that there is no possibility of projects being implemented in which human rights are infringed.
Aber dies ist eine politische Frage.	But that is a political issue.
Die Forderung der Landreform geht an den Rat.	The call for land reform is addressed to the Council.
Deswegen noch einmal zum Schluß meines Beitrags die Bitte, daß Sie als Präsidium - wie es David Martin vorhin vorgeschlagen hat - den Rat auffordern, anwesend zu sein, diese Botschaften von hier mitzunehmen und das auch gemeinsam zu organisieren.	That is why I shall close by repeating my request that you in the Bureau, as David Martin suggested before, should ask the Council to attend these debates, to hear these messages for itself and to organise this new practice jointly with ourselves.
