Frau Präsidentin! Ich kann dem Bericht nicht zustimmen, und zwar aus grundsätzlichen Erwägungen.	Madam President, I cannot support the report as a matter of principle.
Ziel der so genannten Methode der offenen Koordinierung ist es, Rechtswirkungen in verschiedenen Politikbereichen herbeizuführen, für die es keine ordnungsgemäße Rechtsgrundlage im EU-Vertrag gibt.	The objective of the so-called open method of coordination is to have a legislative effect in various areas of policy, and there is no proper legal basis for this in the EU Treaty.
Das heißt, Rat und Kommission ziehen beliebig Kompetenzen auf die europäische Ebene, ohne dass sie dazu legitimiert sind.	This means that the Council and the Commission can create competences at the European level at will without having the legitimacy to do so.
Dies dient weder der Rechtsklarheit noch der Rechtswahrheit, und schon gar nicht dient es der Akzeptanz bei den Bürgerinnen und Bürgern!	This does nothing for legal clarity or for legal truth, and it certainly does nothing to gain public acceptance.
Nun weiß ich auch, dass Koordinierung in verschiedenen Bereichen jetzt schon möglich und durchaus auch notwendig und sinnvoll ist.	I also know, however, that coordination in various areas is already possible, definitely necessary and perfectly sensible.
Denn man kann ja immer von anderen lernen.	We can always learn from others.
Aber diese legale freiwillige Koordinierung zu einem quasi gesetzgeberischen Instrumentarium auszugestalten und auch noch mit Sanktionsmöglichkeiten zu versehen, macht europäisches Handeln nicht mehr nachvollziehbar!	But turning this legal, voluntary coordination into a set of quasi-legislative instruments and conferring on it, moreover, the power to apply sanctions, makes European actions completely incomprehensible.
Dass gerade der sozialpolitische Ausschuss - dem ich ja auch angehöre -, der doch genau weiß, wie sensibel und unterschiedlich die Traditionen in den einzelnen Mitgliedstaaten sind, in einem Initiativbericht diese Anmaßung von Kompetenzen sozusagen durch die Hintertüre befürwortet, finde ich sehr bedauerlich.	The Committee on Employment and Social Affairs, of which I too am a member, knows exactly how sensitive and varied are the traditions in individual Member States; the fact that it is precisely this committee that is approving this presumptuous acquisition of competences by the back door, as it were, in an own-initiative report, is, I think, much to be regretted.
Wir haben immer klare Kompetenzabgrenzungen für Europa und die Respektierung nationaler und regionaler Zuständigkeiten gefordert. Diesen Forderungen schlägt die offene Koordinierung geradezu ins Gesicht.	We have always promoted a clear delimitation of competences for Europe and respect for competences in the nations and regions, which demand these things, and open coordination amounts to a slap in the face for them.
Und ich kann auch die Einbeziehung des Parlaments in diese Methode nicht als große Errungenschaft feiern, denn sie ändert eigentlich nichts daran, sie macht es meines Erachtens sogar noch schlimmer!	Furthermore, I could not celebrate the involvement of Parliament in this method as a great achievement, because it would not actually change anything about it.
Denn damit wird dieser rechtsstaatlichen Prinzipien in keiner Weise entsprechenden Methode auch noch ein demokratisches Mäntelchen umgehängt.	Indeed, I believe it would make matters even worse, because it would give a veneer of democracy to this method, which in no way corresponds to the principles of the rule of law.
