Herr Präsident! Ich will das ganz kurz machen.	Mr President, I want to keep this short.
Ich danke sehr für die konstruktiven Debattenbeiträge, die ich hier gehört habe.	I would like to offer my thanks for the constructive contributions that I have heard Members make to the debate today.
Ich möchte auch nur zwei Botschaften zum Schluss übermitteln: Erstens danke ich dem Kommissar ausdrücklich dafür, dass er sich nicht grundsätzlich gegen das Konzept der Mindestanforderungen des Sicherheitsnetzes ausgesprochen hat.	To conclude, I just have a couple more things to say. Firstly, I would like to offer my sincere thanks to the Commissioner for not categorically arguing against the concept of minimum requirements for the safety network.
Dieser Vorschlag ist kein Teufelszeug, und er ist auch kein bürokratisches Monster.	This proposal is no work of the devil, nor is it a bureaucratic monster.
Er ist ein Instrument zur Problemlösung, dem wir eine Chance geben sollten.	It is an instrument for solving problems and one that we should give a chance to.
Deswegen möchte ich an dieser Stelle einfach dafür noch einmal werben.	For that reason I would like to take this opportunity just to call for your support for it once again.
Das Zweite, was ich sagen möchte, richtet sich an meine britischen Freunde, nämlich "across all the parties".	The other thing I wanted to say I will direct at my British friends, and 'across all the parties'.
Meine lieben britischen Freunde, ich verstehe doch Caroline, ich verstehe doch Euer Problem.	My dear British friends, I do understand, Caroline, I can see your problem.
Ich kann gut nachvollziehen, dass man die Energiesicherheit eines Landes für eine gewisse Zeit mal über die Einhaltung eines Luftschadstoffgrenzwertes setzt.	I can well understand that the energy security of a country will be put above compliance with an air pollution limit for a certain period of time.
Dafür habe ich großes Verständnis.	I have a lot of sympathy for that.
Ich bin auch der Letzte, der Ihrer Majestät nicht zusätzlich Zeit geben würde, wenn es darum geht, neue Kohlekraftwerke zu bauen.	I am also the last person who would fail to grant Her Majesty additional time when it comes to building new coal-fired power stations.
Wir können doch darüber reden.	This is something that we can talk about.
Das Problem ist, wir haben genau das nicht getan.	The problem is that that is exactly what we have not done.
Dieses Gespräch hat während der letzten vier Monate nie stattgefunden.	At no point in the last four months has this conversation taken place.
Ich möchte Euch bitten - das ist jetzt der Ausblick auf die zweite Lesung -, an dieser Stelle noch einmal open minded zu sein und zu sagen: "Lasst uns an dieser Stelle über einen Kompromiss reden" und dafür den aus meiner Sicht völlig irrationalen, wettbewerbspolitisch und umweltpolitisch nicht begründbaren Widerstand, die Fundamentalopposition gegen die Mindeststandards aufzugeben.	I want to urge you, at this point - looking forward to second reading now - to be open-minded once again and to say 'let us talk about a compromise now' and, to that end, to give up the resistance - which, in my view, is completely irrational - and the fundamental opposition to the minimum standards, which is unjustifiable from the point of view of either competition policy or environmental policy.
Ich glaube, hier kann man einen Kompromiss erreichen, von dem ich mir erhoffe, dass man ihn in der zweiten Lesung am Ende auch bekommt.	I think that a compromise can be reached on this, something I also hope to see at the end of the second reading.
Ich bin im Übrigen nicht der Meinung, dass wir in einer ersten Lesung keinen Kompromiss suchen sollten.	Incidentally, I am not of the view that we should not seek compromises at first reading.
Dafür ist diese Gesetzgebung zu komplex.	This legislation is too complex for that.
Ich möchte nicht diese Legislaturperiode als Berichterstatter beenden und dem nächsten Parlament eine Gesetzgebung überlassen, bei der ein Gesetzestext diskutiert wird, der nicht konsistent ist, der unlogisch und widersprüchlich ist.	I do not wish to end this parliamentary term as rapporteur and hand on legislation to the next Parliament where the text of the directive that is debated is inconsistent, illogical and contradictory.
Deswegen bitte ich um die Unterstützung für die Kompromisse, wenn wir in einer Stunde hier abstimmen!	I therefore ask for your support for the compromises when we vote in an hour's time.
