Verfasserin. - Herr Präsident!	Mr President, year after year, we have this debate about the safety of toys.
Alle Jahre wieder haben wir diese Diskussion über die Sicherheit von Spielzeug.	Year after year, we have to observe that there is still much that is in need of improvement.
Alle Jahre wieder müssen wir feststellen, dass da viel im Argen liegt. Hier geht es u. a. um die sogenannten CMR-Stoffe, die krebserregend sind und die für die Gesundheit und zum Teil für das Leben der Kinder sehr gefährlich sein können.	We are talking, here, amongst other things, about what are known as carcinogenic, mutagenic and reprotoxic substances (CMRs), substances that cause cancer and that may be very hazardous to the health and, in some cases, even the life of children.
Die neuen Erkenntnisse zeigen sehr wohl, dass wir für die Anpassung der Grenzwerte sorgen müssen, und wir fordern die Kommission auf, das endlich zu tun.	The new information does indeed show that we need to ensure that the limit values are adapted and we are calling on the Commission to finally do so.
Ich hoffe sehr, Herr Kommissar, dass das auch geschehen wird.	Commissioner, I really hope that this will actually happen.
Aber nicht nur das ist ein Problem.	This is not the only problem, however.
Ein anderes Problem liegt in der Marktüberwachung, und da sind auch die Mitgliedstaaten gefordert.	There is another problem in the shape of market supervision, and the Member States, too, have a responsibility here.
Sie stehen in der Verantwortung, dafür zu sorgen, dass nur solches Spielzeug auf den Markt kommt, das den Sicherheitsstandards, die wir bestimmt haben, wirklich entspricht.	They have a responsibility to ensure that only toys that truly satisfy the safety standards that we have adopted reach the market.
Das ist nicht immer der Fall, und das ist höchst bedauerlich.	That is not always the case, which is highly regrettable.
Deswegen müssen wir dafür sorgen, dass diese Sicherheitsstandards verbessert werden.	We therefore need to ensure that these safety standards are improved.
Der dritte und letzte Punkt, den ich hier ansprechen möchte, betrifft die Kennzeichnung des Spielzeugs.	The third and final point that I wish to make relates to the marking of toys.
Viele Menschen glauben irrtümlicherweise, dass das CE-Zeichen ein Sicherheitskennzeichen ist.	Many people wrongly believe that the CE mark is an indicator of safety.
Das ist es aber nicht, und das sagt die Kommission selbst.	It is not, however, as the Commission itself says.
Deshalb ist es an der Zeit, Herr Kommissar, dass sich die Kommission Gedanken darüber macht, wie wir ein europäisches Sicherheitszeichen vergeben können, das wirklich verlässlich ist und das von dritten, unabhängigen Behörden oder Stellen kontrolliert wird, damit es erst gar nicht vorkommen kann, dass gefährliches Spielzeug auf den Markt, in den Laden kommt und somit die Gesundheit der Kinder gefährdet.	It is therefore time, Commissioner, that the Commission gave some thought to how we could issue a European safety mark that is truly reliable and that is monitored by third parties, independent authorities or bodies, so that a dangerous toy simply cannot make it onto the market or into the shops where it can threaten the health of our children.
Ich denke, da haben wir eine große Bringschuld, und wir müssen dringend noch sehr viel tun.	I believe that we have a major debt to discharge in this regard, and there is still much that we need to do, and urgently so.
