Herr Präsident, 37 Millionen Behinderte leben in der EU.	Mr President, there are 37 million disabled people living in the EU.
Das sind fünfmal so viel wie die gesamte österreichische Bevölkerung, und das sind auch ca. 10 % der gesamten Bevölkerung der Europäischen Union.	That is five times the entire population of Austria and around 10 % of the population of the European Union as a whole.
37 Millionen Menschen, eine beträchtliche Zahl, die integriert werden soll und demnach bereits dadurch als Randgruppe definiert ist.	This is a substantial number of people, 37 million of them, who have to be integrated, and who are therefore already seen as a fringe group.
Erlauben Sie mir die Frage: Wie viele Aidskranke gibt es in der EU?	Let me put a question: how many AIDS sufferers are there in the EU?
Sicherlich nicht 37 Millionen, und dennoch hat die Bevölkerung ein größeres Problembewußtsein für Aidskranke als für Behinderte.	Certainly not 37 million, but the population nevertheless has a greater awareness of the problems of AIDS sufferers than those of disabled people.
Kennen Sie die Gründe dafür?	Do you know why this should be?
Ich stelle mir die Frage: Wurde nicht auch versäumt, mit Werbekampagnen und Sympathieträgern des öffentlichen Lebens den behinderten Menschen genauso viel Interesse entgegenzubringen wie anderen Randgruppen der Gesellschaft auch?	I wonder if we have not failed to use advertising campaigns and sympathetic representatives from public life to generate the same amount of interest for disabled people as we have for other fringe groups in society.
Liegt es nicht auch daran, daß man allzu leicht versucht ist, die sogenannten Probleme zu verdrängen und die Augen davor zu verschließen?	Is it not also because people are all too easily tempted to suppress these so-called problems and close their eyes to them?
Resultiert daraus nicht letztendlich ein gewisses Desinteresse der breiten Öffentlichkeit und der Geldgeber, in die Brieftasche zu greifen?	Ultimately, does this not result in a certain lack of interest on the part of donors and the general public, when it comes to opening their wallets?
Am Beispiel Aids sieht man allerdings auch, welche Erfolge und welche Breitenwirkung eine gute Kampagne in der Bevölkerung erzielen kann.	However, we can also see from the example of AIDS the success and the widespread impact which can be achieved in the population by a good campaign.
Erst wenn ein Bewußtsein für die täglichen Probleme dieser Behinderten in der breiten Bevölkerung hergestellt ist, haben Förderprogramme wirklich Sinn.	Only when an awareness of the everyday problems of these disabled people has been created in the public at large do support programmes really make sense.
Die bloße Forderung nach einer Nichtdiskriminierungsklausel für Behinderte, auch wenn ich sie unterstütze, erwacht erst dann zum Leben und ist erst dann das Papier wert, auf dem sie geschrieben steht, wenn die Bevölkerung Behinderte nicht als Randgruppe, sondern als Teil von sich selbst definiert.	Simply calling for a non-discrimination clause as regards disabled people - even though I am in favour of it - only has a point and is only worth the paper it is written on if the population sees disabled people not as a fringe group, but as part of itself.
