. – Herr Präsident!	.
Zuerst ein Dankeschön an den Berichterstatter für die Kooperationsbereitschaft, die er hier an den Tag gelegt hat. Die für die Sozialdemokratie wichtigsten Anliegen wurden dabei berücksichtigt.	Mr President, let me start by saying ‘thank you’ to the rapporteur for the willingness to cooperate that he has demonstrated, which enabled Social Democrats’ main concerns to be accommodated.
Wir bekennen uns zu einer international abgestimmten und zu einer gleichartigen Aufsicht über Banken innerhalb der Union, wobei insbesondere das regulatorisch notwendige Eigenkapital der Banken strenger nach den Geschäftsrisiken abgestimmt werden muss.	We believe that banking supervision must be internationally agreed and of the same kind throughout the EU, and that, in particular the banks’ equity capital required by law must be more rigorously adjusted to take account of commercial risks.
Nur so kann die Sicherheit der Sparer erhöht und können ihre Ersparnisse gegen Bankenzusammenbrüche geschützt werden.	It is only in this way that the savers can be put in a more secure position and their savings safeguarded against the event of their bank failing.
Moderne Banken sind gleichsam die Vermögensverwalter und Buchhalter der privaten Haushalte, und darüber hinaus sind die Banken Berater und Vermittler auf den Finanzmärkten.	Modern banks both manage private households’ assets and keep their accounts, while also being their advisers and agents on the financial markets.
Ihre Wettbewerbsfähigkeit stellt eine Voraussetzung für volkswirtschaftlich effiziente Finanzierungen und Kapitalanlagen dar.	The economic efficiency of the finance they provide and of the capital they invest is dependent on their remaining competitive.
Bei diesen Finanzierungen spielen die Infrastruktur, der Wohnungsbau, die Gemeinden, die Energiewirtschaft und nicht zuletzt die kleinen und mittleren Unternehmen eine wichtige Rolle für die Weiterentwicklung der Union.	The finance they provide plays an important part in the further development of the EU through its infrastructure, housebuilding, municipalities, energy industry and, not least, its small and medium-sized business.
Das Risikogewicht für diese Finanzierungen und die damit verbundenen Eigenkapitalkosten der Banken sowie die Zinskosten für Kreditnehmer entsprechen in Basel II objektiven Gegebenheiten.	Basel II includes objective points of reference for assessing the risks involved in providing this finance, along with the banks’ associated equity capital costs and the interest charged to debtors.
Die Annahme meiner Änderungsanträge zur Erleichterung der Retailkredite an KMU oder die Berücksichtigung der Haftung von Gebietskörperschaften bei der Berechnung des Risikogewichtes runden dieses Bild ab.	This picture is completed by the adoption of my amendments on easier retail credit for SMEs and the liability of regional and local authorities in the computation of the risk element.
Basel II sollte daher nicht zu einer Verknappung oder Verteuerung der Finanzierung führen.	Basel II should not, then, result in finance becoming harder to come by or more expensive.
Die Banken haben auch volkswirtschaftliche Verantwortung, und Basel II darf nicht als Ausrede zu Lasten oder auf Kosten der Kreditnehmer missbraucht werden.	The banks also bear an economic responsibility, and Basel II must not be misused as an excuse to the detriment of debtors or at their expense.
Basel II soll auch gleiche Wettbewerbsvoraussetzungen zwischen großen Bankkonzernen und regional tätigen Sparkassen und Kreditgenossenschaften schaffen. Daher habe ich mich für eine möglichst hohe Objektivität bei der Behandlung der so genannten Interbankkredite eingesetzt.	Basel II is also intended to create a level playing field for competition between the big banking groups and the savings banks and credit unions that operate on a regional basis, and it was for that reason that I pressed for the greatest possible objectivity in the treatment of what are termed inter-bank loans.
Nicht zuletzt möchte ich auf die nun doppelte Verantwortung der nationalen Aufsichtsorgane hinweisen, was sowohl die Prüfung der verfeinerten Risikomessmethoden der Banken als auch die Unterstützung für grenzüberschreitend tätige Banken bei Kooperationen zwischen der Aufsicht im Sitzland und im Gastland betrifft.	I would like, not least, to highlight what is now the dual responsibility of the national supervisory agencies as regards both the monitoring of the banks’ more precise risk assessment methods and supporting banks that operate in more than one country when the supervisory authorities in both countries cooperate with one another.
Nicht zuletzt möchte ich noch einmal auf die Komitologie hinweisen.	Last but not least, I would like to revisit the subject of comitology.
Was das Europäische Parlament an Informations- und Transparenzregeln für Basel II verlangt, ist eigentlich eine Selbstverständlichkeit für eine moderne Gesetzgebung. Dem sollte auch in weiterer Folge beim -Recht Rechnung getragen werden.	The rules on information and transparency that Parliament is demanding for Basel II are actually taken for granted in modern legislation, and that should also be reflected in the right of recall.
Vom Rat wollen wir eine Garantie, dass spätestens in zwei Jahren eine solide Vereinbarung zustande kommt, damit auch das Parlament seine demokratischen Rechte und Pflichten ausüben kann.	What we want from the Council is a guarantee that, in two years’ time at the latest, there will be a solid agreement enabling Parliament to continue to exercise its democratic rights and responsibilities.
