Ich möchte hier besonders auf die Energiepolitik verweisen.	I would like to draw particular attention to energy policy.
Ich glaube, dass wir gerade mit der baltischen Region eine Zukunftsregion haben, die für uns von allergrößter Bedeutung ist.	I regard the Baltic region in particular as a region with a future, and as one that is of the utmost importance to us.
Auch Norwegen mit seinen Erdöl- und Erdgasvorräten oder Island mit seiner Geothermie, mit der erneuerbaren Energie – Länder also, die uns diesbezüglich ein Vorbild sind – bieten uns eine Riesenchance, künftig auch in der Energiepolitik in diesem Raum gemeinsame Strategien zu entwickeln; das halte ich für die Zukunft für eine der prioritären Fragen, wenn man sieht, wo sich heute die Energiepreise, die Öl- und Gaspreise befinden.	Countries such as Norway, with its reserves of crude oil and natural gas, and Iceland, with its renewable geothermal energy, are examples for us to follow in this respect and present us with an immense opportunity to develop common strategies for energy policy in this area; I believe that the current state of energy prices – for both oil and gas – means that this will be one of the most important issues in the future.
Aber insbesondere auch im Bereich der Energieversorgungssicherheit wird dieser Raum in der Zukunft eine ganz besondere Rolle für uns spielen.	Not only in that respect, but also as regards the security of our energy supply, this area will, in future, have a special part to play.
Auch die Infrastruktur stellt eine ganz wesentliche Voraussetzung dar, nicht nur die Energieinfrastruktur, sondern z. B. auch die Telekommunikation.	When I say that the infrastructure, too, presents us with a vitally important challenge, I am referring not only to the energy infrastructure, but also to such things as telecommunications.
Der Aufbau der Breitbandtechnologie, der Zugang breiter Schichten zum Internet, zur Information – diese Aufgaben werden in Zukunft gerade in den entlegenen Gebieten eine bedeutende Rolle spielen.	Tasks such as developing broadband technology and ensuring access to information on the Internet by a wider cross-section of society will in future have an important part to play in the future, particularly in remote regions.
Bei der grenzüberschreitenden Zusammenarbeit geht es vor allem darum, dass wir auch in der Wirtschaft die kleinen und mittleren Betriebe zusammenbringen.	A primary concern in cross-border cooperation is economic in nature – to bring together small and medium-sized businesses.
Wenn wir daran denken, dass wir Arbeitsplätze schaffen müssen, dass wir versuchen müssen, in diesen Gebieten auch den wirtschaftlichen Wohlstand zu erhöhen, ist es von besonderer Bedeutung, dass wir besonders die kleinen und mittleren Betriebe und vor allem die Zusammenarbeit über die Grenzen hinweg entsprechend fördern.	The need to create jobs and to attempt to raise the standard of living in these regions make it particularly important that our promotion of small and medium-sized enterprises in particular, and of cooperation above all, should take no account of borders.
Damit bin ich schon bei einem ganz wesentlichen Thema: der WTO und Russland.	That brings me on to a really fundamental issue, that of the WTO and Russia.
Ich glaube, dass es gerade für die Verhandlungen in Hongkong entscheidend ist, dass wir uns mit Russland eine gemeinsame Strategie in der globalen Gesetzgebung überlegen.	I believe it to be crucial to the Hong Kong talks in particular that we should join together with Russia in considering a common strategy as regards global lawmaking.
Ich glaube, dass diese Dimension gerade in den Handelsbeziehungen für uns von besonderer Bedeutung ist, und die Weiterentwicklung der WTO-Strukturen wird für Europa eine dementsprechende Bedeutung haben.	I regard this dimension as being of particular importance to us in terms of our trade relations, and the importance to Europe of the further development of the WTO structures will be consistent with this.
Gerade in dieser Region findet derzeit eine sehr interessante Debatte darüber statt, wie wir uns im globalen Kontext gemeinsam auf die neuen Situationen einstellen können, und ich glaube, das ist die wahre Herausforderung für Europa.	A very interesting debate is currently going on in this region about how we can join together in adapting to the new situations in the global context, and that I see as being the real challenge for Europe.
