. Herr Präsident, sehr geehrter Herr Berichterstatter Radwan, meine sehr geehrten Damen und Herren!	Mr President, Mr Radwan, ladies and gentlemen, what is Basel II about?
Worum geht es bei Basel II? Es geht um die Kreditwürdigkeit und um dafür benötigte Sicherheiten.	It is about credit standing and the collateral needed for it.
Deshalb ist unser Hauptinteresse: Wie geht es dabei den kleinen und mittleren Betrieben?	Therefore, our main interest is in how this affects SMEs.
Sie haben immerhin zwei Drittel der Beschäftigten Europas und zahlen 80% der Steuern.	After all, they account for two thirds of employees in Europe and pay 80% of taxes.
Deshalb fordern wir auch eine Vorbereitung für die Einführung von Basel II, einen so genannten Stabilitätspakt für kleine und mittlere Unternehmen.	Therefore, we would also call for preparation for the implementation of Basel II with a stability pact for SMEs.
Der Ausschuss für Industrie, Außenhandel, Forschung und Energie des Europäischen Parlaments hat bei STOA eine Studie in Auftrag gegeben.	The Committee on Industry, External Trade, Research and Energy commissioned STOA to carry out a study.
Eines der wesentlichsten Ergebnisse war, dass für die venture-Finanzierung und start ups bis zu 400% mehr Hinterlegung bei den Banken notwendig wird, je nach Ratingverfahren.	One of the most important findings was that, according to rating procedures, banks required up to 400% more deposit for venture financing and start-ups.
Ich glaube, das sollte uns zeigen, dass wir auch im Haushaltsausschuss aktiv werden sollten.	This, I believe, should show us that we in the Committee on Budgets should also get involved.
Als Mitglied des Haushaltsausschusses habe ich gemeinsam mit dem Berichterstatter, Herrn Kollegen Mulder, einen Vorschlag unterbreitet, hier ein Pilotprojekt zu starten, das über die europäischen Institutionen, über die europäischen Banken Garantien für kleine und mittlere Betriebe unterstützt.	As a member of the Committee on Budgets, and jointly with Mr Mulder, the rapporteur, I submitted a proposal for starting a pilot project in this area, which, through the European institutions and the European banks, would support guarantees for SMEs.
Insbesondere sollten Garantien bis 25 000 Euro für kleine und mittlere Betriebe zur Verfügung gestellt werden.	In particular, guarantees of up to EUR 25 000 should be available for SMEs.
Wir wollen hier ein Paket in zwei- bis dreistelliger Millionenhöhe in den Mittelpunkt stellen, um den kleinen Betrieben helfen zu können.	We want a package that amounts to tens or hundreds of millions so that we can help small businesses.
Wir wollen ein Ausbildungspaket, insbesondere auch für die Finanzministerien.	We also want a training package, especially for finance ministries.
Es ist notwendig, dass wir uns wie beim Lissabon-Prozess, auch anschauen, welche Auswirkungen hier das Steuerrecht auf die verschiedenen Eigenkapitalstrukturen hat, z. B. Rückstellungen, Rücklagen, Abschreibungen, Körperschaftssteuer, Liebhabereivorschriften.	Here, as with the Lisbon process, we need to look into what repercussions the tax law will have on various equity capital structures, reserves, funds, depreciation, corporate income tax, provisions on non-profit activities, for example.
Hier gibt es vieles zu prüfen, und ich fordere die Kommission auf, in ihrer Studie, die längst überfällig ist, auf diese Themen einzugehen, damit auch die Nationalstaaten, die nationalen Ministerien die Möglichkeit haben, Basel II so gut wie möglich einzuführen und vorzubereiten.	There is a lot to be checked and I call upon the Commission to look into these issues in their report, which is long overdue, so that the Member States and their ministers can adopt and prepare for Basel II as best as possible.
