Frau Präsidentin! Ich möchte noch einmal auf die Rede des Kommissars eingehen.	Madam President, I would like to refer once again to Mr Andor's speech.
Er fragte sehr vorsichtig, ob die Europäische Kommission hier überhaupt Kompetenzen und Verantwortung hat.	He asked very cautiously whether the European Commission has powers and responsibilities in this area.
Ich denke schon, dass sie mehr Verantwortung hat, gerade auch beim Thema Freizügigkeit.	I believe that it has more responsibility, in particular, with regard to freedom of movement.
Wir denken da sofort an die entsandten Beschäftigten.	Posted workers immediately come to mind.
Ich nenne als Beispiel nur Berlin, wo Sozialpartner ein Beratungsbüro für entsandte Beschäftigte betreiben.	One example of this is Berlin, where the unions have set up an advisory centre for posted workers.
Was ist aber die größte Gruppe, die dort anfragt, und zwar nicht nur aus Berlin, sondern deutschlandweit? Das sind Pflegefachkräfte, die als Hausangestellte unter teilweise katastrophalen Bedingungen, unter wirklich prekären Beschäftigungsbedingungen angestellt sind.	The largest group of workers who contact this centre, not only from Berlin but from throughout Germany, are nurses who are employed as domestic workers, sometimes in appalling and highly precarious working conditions.
Das ist eine Methode, um Mindestarbeitsbedingungen zu umgehen.	This is one way of circumventing minimum working conditions.
Teilweise handelt es sich sogar um Scheinselbständige.	Some of these people even have bogus self-employed status.
Deswegen haben wir auch diesen Änderungsantrag eingereicht.	This is why we have tabled this amendment.
Es handelt sich hier zum großen Teil um Beschäftige aus anderen EU-Staaten und Drittstaaten.	The majority of these people are workers from other EU Member States and from third countries.
Das zeigt, dass die Kommission sehr wohl eine Verantwortung hat, hier tätig zu werden und diesbezügliche Mindeststandards einzuführen.	This demonstrates that the Commission certainly does have a responsibility to take action and to introduce minimum standards in this area.
