Frau Präsidentin! Auch ich möchte einige Worte zum Thema Irland sagen.	Madam President, I would also like to say a few words about Ireland.
Spiegel Online schreibt "Der keltische Tiger ist nun zum Pflegefall geworden".	Spiegel Online writes 'The Celtic Tiger has been taken into intensive care'.
Doch warum ist er zum Pflegefall geworden?	We need to ask why is this the case?
Die Wurzeln der Finanzkrise liegen sicher im Geldsystem, also in der Art und Weise, wie Geld geschöpft wird.	There can be little doubt that the roots of the financial crisis lie in our monetary system, in other words, the way in which money is generated.
Hier werden von privaten Geschäftsbanken Unmengen an Geld in das System gepumpt.	Private commercial banks pump incredible amounts of money into the system.
Das fördert Spekulationen, das fördert Inflation und schlussendlich führt es dazu, dass die Beteiligten massiv verschuldet werden.	This promotes speculation, fuels inflation and, finally, leads to massive debt among those involved.
Wir haben also eine systemische Krise, und die werden wir nicht lösen, indem wir Milliarden in ein marodes Bankensystem investieren, auch nicht, wenn es über den Umweg der irischen Haushalte geht.	Consequently, we are faced with a systemic crisis that cannot be resolved by investing billions in a ramshackle banking system, even if we do so by diverting funds to the Irish economy.
Was wir brauchen, ist eine reelle Form des Geldschöpfungssystems.	What we need is a real form of money creation.
Wir müssen das Geldschöpfen wieder selbst in öffentliche Hand bringen.	We need to return the generation of money to the public sector.
So könnten wir mehrstellige Milliardenbeträge wieder in europäische Haushalte fließen lassen, und auch eine öffentliche Geldschöpfung wäre kompatibel mit einer freien Marktwirtschaft.	This would enable us to pour hundreds of billions back into European economies. Moreover, the public creation of money would be compatible with a free market economy.
Doch für so massive Entscheidungen braucht es Mut in der Politik, braucht es Kraft in der Politik.	However, such massive decisions would require courage and strength from our politicians.
Und es geht sicherlich nicht, dass man sich von den Banken an der Leine durch das Parlament zerren lässt.	It goes without saying that the banks cannot be allowed to lead Parliament on a merry dance any longer.
