Herr Präsident, sehr geehrter Herr Kommissionspräsident! Nach rechts müssen Sie schauen!	Mr President, Mr President of the Commission, you should look to the right!
Wir könnten uns ja einmal vorstellen, daß wir nicht im Parlament wären, sondern in einer Sitzung des Aufsichtsrats einer großen Gesellschaft.	We could easily imagine that we were not in Parliament, but taking part in a board meeting of a large company.
Sie wären sozusagen der Aufsichtsratsvorsitzende, der einen guten Arbeitsbericht und einen guten Entwurf vorgelegt hat.	That would make you the chairman of the board, so to speak, who has just presented a sound work report and draft.
So erlauben Sie mir, sozusagen Ihnen als Vorstandsvorsitzenden ein paar Anmerkungen an Ihre Vorstandskollegen mitzugeben!	Allow me to address a few comments to you, in your position as chairman of the board, on the subject of your fellow board members, as it were!
Ich finde ähnlich wie Brian Simpson, daß Ihre Vizepräsidentin Frau Palacio einen sehr guten Job macht.	Like Brian Simpson, I consider your Vice-President, Mrs Palacio, to be doing a marvellous job.
Sie hat im Dezember sehr elegant mit der finnischen Präsidentschaft die Öffnung des Eisenbahnsystems erreichen können.	In December, she succeeded in great style, working together with the Finnish Presidency, in opening the railway system.
Sie arbeitet auch sehr hart an dem, was Sie, Herr Präsident, schon im Juli letzten Jahres aufgegriffen haben, nämlich die Frage einer effektiven europäischen Luftverkehrskontrolle.	She is also working very hard on something you, Mr President, brought up back in July last year, namely the issue of an effective European air traffic control system.
Insofern würde ich sagen: positiv.	So far so good.
Herrn Barniers Vorschläge sind ebenfalls ausgezeichnet, denn Herr Barnier hat mit dem Parlament sehr gut zusammengearbeitet bei der Frage INTERREG und URBAN.	Mr Barnier' s proposals are equally impressive, for there has been excellent cooperation between Mr Barnier and Parliament on INTERREG and URBAN.
Wir werden uns jetzt mit ihm allerdings über ISPA unterhalten müssen.	Mind you, we have yet to talk to him about ISPA.
Mein Kollege Simpson hat schon auf die Frage hingewiesen: Wie verknüpfen wir auch die Vorbereitung der Erweiterung mit der Verkehrspolitik, aber auch mit der Strukturpolitik?	Mr Simpson has already raised the question as to how we are to link our preparations for enlargement with transport policy, not to mention structural policy.
Das ist eine wichtige Frage.	That is an important issue.
Ich würde also sagen, Herr Vorstandsvorsitzender Prodi, senden sie diesen zwei Vorstandskollegen die besten Grüße und unsere Anerkennung, aber einem Kollegen sagen Sie bitte, daß wir mit ihm nicht zufrieden sind.	And so, Mr chairman of the board, I would say send these two board members our best wishes and congratulations, but tell one of the others that we are not satisfied with him.
Das ist der Kollege Liikanen.	Mr Liikanen that is.
Denn das, was er in der Fremdenverkehrspolitik macht, ist nicht akzeptabel, entspricht nicht der Qualifikation eines Vorstandsmitgliedes.	For his approach to tourism policy is unacceptable and does not befit someone of board member calibre.
Wenn Sie sich anschauen, daß heute im Tourismus mehr Menschen beschäftigt sind als in der ganzen Landwirtschaft, daß mehr Wachstumsanteile durch den Tourismus hervorgebracht werden als durch die Landwirtschaft, dann ist das Verhalten von Herrn Liikanen, keine neuen strategischen Ansätze zur Fremdenverkehrspolitik vorzulegen, eine Schande.	When one considers that more people are employed in the tourism sector than in the entire agricultural sector, and that tourism makes a greater contribution to growth than does agriculture, then Mr Liikanen' s decision not to put any new, strategic initiatives forward for tourism policy is scandalous.
Herr Kommissionspräsident, bitte teilen Sie Ihrem Kollegen Liikanen mit, daß er seine Schularbeiten machen muß!	Mr President of the Commission, please tell Mr Liikanen from us that he must do his homework!
Wir brauchen eine gute Tourismuspolitik der Union!	We need a sound tourism policy for the Union.
