Herr Präsident! Die Lage in Darfur bleibt erschütternd.	Mr President, the situation in Darfur remains shocking.
Die Reaktionen der internationalen Gemeinschaft sind absolut unzureichend.	The response of the international community has been wholly inadequate.
Die Vorredner haben die Lage hinreichend beschrieben, eine Besserung für die Menschen ist nicht abzusehen.	The previous speakers have described the situation adequately: there is no improvement in sight for the people there.
Notwendige Beschlüsse wie die UN-Sicherheitsrats-Resolution 1706 sind gefasst, die Umsetzung scheitert letztlich an der Regierung in Karthum, deren verantwortliche Spitzen sich wahrscheinlich größtenteils mit ihren Namen in den Akten des Internationalen Strafgerichtshofs - der bereits im Juni 2005 eine Untersuchung der Verbrechen in Darfur eingeleitet hat - wiederfinden.	Some necessary resolutions have been passed, such as United Nations Security Council Resolution 1706, but their implementation ultimately fails on account of the Government in Khartoum, most of whose leaders are no doubt listed in the files of the International Criminal Court - which launched an investigation into crimes in Darfur as early as June 2005.
Deswegen ist hier der Fall gegeben, dass die Vereinten Nationen in Übereinstimmung mit ihrer Verantwortung für den Schutz dieser Menschen zu handeln haben, weil die Regierung des Sudan die Bevölkerung in Darfur nicht vor Kriegsverbrechen und Verbrechen gegen die Menschlichkeit geschützt hat und ihr auch keine Hilfe gewährt.	We have a situation where the United Nations has to take action, in accordance with its responsibility for protecting human beings, since the Government of Sudan has not been protecting the people of Darfur against war crimes and crimes against humanity, nor has it lent them any assistance.
Aus diesem Grund fordert das Parlament die Vereinten Nationen auf, selbst einen Zeitpunkt festzulegen für die Stationierung einer von den Vereinten Nationen getragenen Friedenstruppe gemäß Artikel 7 der Charta der Vereinten Nationen, auch wenn es keine Genehmigung oder Zustimmung des Regimes in Karthum gibt.	For this reason, Parliament calls on the United Nations to set a date for the deployment of a UN peacekeeping force pursuant to Article 7 of the Charter of the United Nations, even if this has not been approved by the Khartoum regime.
Wir fordern Rat und Kommission auf, alles in ihrer Macht stehende zu unternehmen, um die andauernde humanitäre Katastrophe zu beenden.	We call on the Council and the Commission to do everything in their power to put an end to this sustained humanitarian disaster.
Da kann man ohne großen Aufwand kurzfristig Konkretes in Gang setzen.	Concrete action can be launched for the short term without great expense.
Die gegen Vertreter des Regimes gerichteten persönlichen Sanktionen sollen auch einseitig seitens der EU verhängt werden, nicht erst, wenn alle es tun.	The EU should impose personal sanctions on representatives of the regime unilaterally rather than waiting for the rest of the international community.
Ich bin immer dafür gewesen, dass den Familienangehörigen damit die Shoppingtouren in Europa verboten werden.	I have always been in favour of this as a means of preventing family members going on shopping trips to Europe.
Bisher ignoriert das Regime in Darfur die Flugverbotszone, die in der Resolution 1591 des Sicherheitsrates verordnet wurde, und bombardiert weiterhin Dörfer in Darfur.	The Darfur regime has thus far been ignoring the no-fly zone imposed by Security Council Resolution 1591, and is continuing to bomb villages in Darfur.
Wir fordern dazu auf, in der Region vorhandene Kapazitäten zur Erzwingung dieser Flugverbotszone zu nutzen.	We call for the use of capabilities available in the region to enforce this no-fly zone.
Wir wissen doch, welche Mitgliedstaaten in der Region - um nicht zu sagen, in der unmittelbaren Nachbarschaft - Flugzeuge stationiert haben.	After all, we know which Member States have aircraft based in the region - not to say the immediate vicinity.
Warum werden diese nicht für einen VN-Zweck eingesetzt?	Why are these not being used in the services of the UN?
Wenigstens darauf muss sich die EU doch einigen.	The EU must agree to this, at least.
Den Regierenden in Karthum sollte man auch zu verstehen geben: Verlasst euch nicht allzu sehr auf Mächte außerhalb Afrikas.	We should also give those in power in Khartoum to understand that they should not rely overly on forces outside Africa.
Die Regierung des Sudan bewegt sich auf ganz dünnem Eis. Sie sollte afrikanische Solidarität nicht überstrapazieren.	The Sudanese Government is skating on very thin ice, and should not exhaust African solidarity.
Sie hat schon zwei Warnschüsse bekommen.	Two warning shots have already been fired.
Der AKP-Gipfel in Karthum war der Gipfel, an dem die wenigsten Staats- und Regierungschefs teilgenommen haben, ein deutliches Zeichen des Unmuts.	The ACP Summit in Khartoum was the summit attended by the fewest Heads of State or Government - a clear sign of displeasure.
Und dass der Gipfel der AU nicht den sudanesischen Präsidenten, sondern Kufuor gewählt, war ein weiterer deutlicher Hinweis der Missbilligung.	The fact that the AU Summit opted for President Kufuor instead of the Sudanese President was a further clear indication of disapproval.
