Aber ja, natürlich, Herr Abgeordneter.	But of course.
Das ist ja der Sinn der ganzen Sache, allerdings unter bestimmten Voraussetzungen.	That is the whole point, but under certain preconditions.
Erste Voraussetzung: Hinsichtlich der Visumspflicht wollen wir keine Ausnahmen zulassen.	Firstly, with regard to the visa obligation we do not want to allow any exceptions.
Die Ratsverordnung ist hier klar.	The Council regulation is clear on this.
Wenn wir hier Ausnahmen machen, dann ist der prinzipielle Grundsatz eines einheitlichen Raumes der Freiheit, der Sicherheit und des Rechts aufgegeben.	If we make exceptions here, then we are giving up the basic principle of a uniform area of freedom, security and justice.
Ich muß hier an dieser Stelle darauf hinweisen, wie Sie mit Recht gesagt haben, Herr Abgeordneter, daß das Thema hochsensibel ist.	I must point out at this juncture, as you have rightly said, that the subject is highly sensitive.
Die Sensibilität liegt nicht nur darin, daß es für die Kandidaten schwierig ist, das umzusetzen.	The sensitivity is not just in the fact that it is difficult for the candidates to implement this.
Die höchste Sensibilität liegt darin, daß ich eine Reihe von Mitgliedstaaten kenne, die die Erweiterung nicht akzeptieren werden, wenn in dieser Frage nicht völlige Klarheit besteht.	The greatest sensitivity is in the fact that I know a number of Member States which will not accept enlargement unless there is total clarity in this matter.
Wir brauchen ja nicht nur die Zustimmung der Kandidaten, wir brauchen auch die Zustimmung der Mitglieder, und für die meisten Mitglieder ist das ein zentraler Punkt, bei dem für sie ein Kompromiß nicht möglich ist.	We need not just the agreement of the candidate countries, but also of the Member States, and for most Member States this is a crucial point on which no compromise is possible.
Hinsichtlich der Kontrollen an den Außengrenzen wird von den Bewerberländern erwartet, daß sie ab dem Beitritt den Besitzstand der EU übernehmen und anwenden, wie ich gesagt habe.	With regard to controls on external borders, the applicant countries expect that on accession they will take on and apply the acquis communautaire of the EU, as I have said.
Die Kontrollen an den Binnengrenzen werden allerdings erst dann abgeschafft, wenn die EU bestätigt, daß das Bewerberland die wirksame Umsetzung des Besitzstandes der EU in diesem Bereich voll gewährleisten kann.	The controls on internal borders will only be abolished if the EU confirms that the applicant country can fully guarantee effective implementation of the acquis communautaire of the EU in this matter.
Aber Ihre Frage war: Werden die Binnenkontrollen verschwinden?	However, your question was whether internal controls will disappear?
Die Antwort ist ein klares Ja.	The answer is a definite yes.
Darum geht es!	That is what it is all about!
