Herr Präsident, werte Frau Haug! Erst einmal meinen Dank.	Mr President, Mrs Haug, first I would like to offer my thanks.
Es war sowohl ein politisches als auch ein intellektuelles Vergnügen, sich mit Ihrem Bericht auseinanderzusetzen.	Examining your report was a pleasure both for political and intellectual reasons.
Ich glaube sehr wohl, daß der Bericht das beschreibt, was gegenwärtig als das politisch Machbare eingeschätzt wird, aber ich denke, daß wir angesichts der vor uns liegenden Herausforderungen die Verantwortung haben, eine grundsätzliche Reform zu konzipieren, die sich nicht daran mißt, was als politisch machbar eingeschätzt wird, sondern daran, was als politisch notwendig angesehen wird.	I firmly believe that the report describes what is deemed to be politically feasible, but I think that in view of the challenges that lie before us, it is our responsibility to draw up fundamental reforms aimed not at what is deemed to be politically feasible but rather at what is considered to be politically necessary.
Wenn man ein System ändern will, dann muß man sich darüber klar werden, worin die Nachteile des jetzigen Systems bestehen, und aus meiner Sicht sind das folgende vier Hauptschwerpunkte.	If one wants to change a system then one must establish clearly in one' s own mind what the disadvantages of the current system are, and I believe that these can be summed up under the following four main headings.
Erstens: Das bestehende EU-Eigenmittelsystem hat einen sehr starren Rahmen.	Firstly, the existing EU own resources system has a very rigid framework.
Die Einnahmen sind begrenzt, teilweise rückläufig, und zusätzliche Ausgaben sind immer nur finanzierbar, indem man andere Ausgaben dafür streicht.	The sources of revenue are limited in number, some are on the wane and additional expenditure can only ever be financed if expenditure elsewhere is cut to pay for this.
Die europäische Integration hat aber mittlerweile einen solchen Standard erreicht, daß man mit einem solchen Rahmen einfach an die Grenzen stößt.	However, European integration has now reached such proportions that we have simply reached the limit of our capacity where this framework is concerned.
Das heißt, Aufgaben wie die Erweiterung der Union, die Durchsetzung von Menschenrechten weltweit, die Schaffung von Rahmenbedingungen zur Beseitigung der gravierenden Arbeitslosigkeit sind mit diesem Rahmen nicht mehr zu bewältigen.	This means that tasks such as enlargement of the Union, upholding human rights worldwide, and creating basic conditions for combating severe unemployment can no longer be tackled using this framework.
Zweitens: Wenn wir eine Reform in diesem Parlament effektiv diskutieren wollen, dann müssen wir letztendlich als Parlament auch die Chance haben, darüber in allen Details bestimmen zu können.	Secondly, if we want to be effective in our discussions on reform in this Parliament then ultimately, we as a Parliament must also be given the opportunity to have our say on all the aspects of the process.
In diesem Sinne sind die Rechte des Europäischen Parlaments in Haushaltsfragen vollkommen unzureichend.	In this respect, the powers of the European Parliament in budgetary matters do not go nearly far enough.
Drittens: Die für Haushaltsentscheidungen bestehenden Strukturen machen grundsätzliche Reformen außerordentlich schwierig.	Thirdly, the existing structures for budgetary decision making are such that it is extraordinarily difficult for fundamental reform to be carried out.
Es ist ganz natürlich, daß die Mitgliedstaaten die festgeschriebenen Obergrenzen nicht ausschöpfen, wenn sie zu Hause unter Druck stehen, ihre Haushalte sanieren und die Stabilitätskriterien einhalten zu müssen.	It stands to reason that the Member States will not exhaust the established ceilings when they are under pressure at home to have to overhaul their budgets and maintain the stability criteria.
Viertens: Die Diskussion über den sogenannten gerechten Ausgleich ist einerseits berechtigt, andererseits aber auch absurd.	Fourthly, discussion about a fair and balanced structure is justified on the one hand but also absurd on the other.
Absurd deshalb, weil die Mitgliedstaaten den Begriff "Gerechtigkeit " so interpretieren, daß sie im Endeffekt das, was sie in den Haushalt der Europäischen Union einzahlen, letztendlich auch wieder herausbekommen wollen.	Absurd because the Member States interpret the concept of fairness in such a way that, in the final analysis, they want to get out of the European Union' s budget that which they put in.
