Herr Präsident!	Commission.
Ich möchte auf einige der angeführten Punkte noch einmal eingehen.	Mr President, I would like to return to some of the points that have been made.
Ich darf zunächst einmal richtig stellen: Der Rechnungshof hat vielfach Kritik an verschiedenen Buchführungsregeln und am System geäußert, aber er hat in der Vergangenheit immer bestätigt, dass der Rechnungsabschluss die Einnahmen und Ausgaben wahrheitsgetreu wiedergibt.	Let me first put something straight. The Court of Auditors may have had many criticisms to make of various accounting rules and of the system itself, but it always used to confirm that the completed accounts were a true and faithful record of income and expenditure.
Zweitens, zu der Frage der Rolle des Rechnungsführers: Ich danke auch für die Klarstellungen, die hier erfolgt sind.	Turning, secondly, to the question of the accounting officer's role, I am also grateful for the clarifications that have been given today.
Der Rechnungsführer führt die Order der Anweisungsberechtigten durch, und er hat die Verantwortung, dass das Buchführungssystem richtig ist. Er ist aber nicht der Finanzkontrolleur!	The accounting officer carries out the orders of the authorising authority, and the accuracy of the accounting system is his responsibility, but he is not the financial controller.
Es ist im Gegenteil wichtig, dass die Aufgaben der Mittelbewirtschaftung und der Buchführung getrennt sind, dass der Buchführer nicht im Management der Mittel der Fonds engagiert ist.	On the contrary, it is important that financial management and accounting should be kept as separate tasks, and that the bookkeeper should not be involved in the management of funds' resources.
Das ist nicht seine Aufgabe und sollte es auch nicht sein, sondern er hat die Buchführung korrekt zu machen.	That is not his job, nor should it be; on the contrary, it is for him to keep the books properly.
Gerade diese Trennung der Aufgaben ist wichtig.	This separation of the functions is important.
Was die Frage der externen Ausschreibung angeht, regelt das Statut - und das wird, wie sie wissen, vom Rat festgesetzt -, wie die Ausschreibungsfolgen sind.	As far as the external advertisement of posts is concerned, the Statute - which, as you will be aware, is laid down by the Council - governs the sequence of events involved in recruitment.
Das verhindert nicht, dass eine externe Ausschreibung stattfindet.	It does not prevent posts being externally advertised.
Es geht hier um die Schritte.	It is the stages that we are dealing with here.
Aber ich muss hier noch einmal darauf hinweisen, dass die Haushaltsordnung vorschreibt, dass der Rechnungsführer ein Beamter oder eine Beamtin der Kommission ist.	I must, though, reiterate that the Financial Regulation stipulates that the accounting officer shall be an official of the Commission.
Warum ist das so?	Why is that the case?
Weil natürlich diese Person Konten für die europäischen Organe eröffnet. Das heißt, es ist eine Vertrauensstellung.	It is of course because this person opens accounts for the European institutions, which means that he or she is in a position of trust.
Insofern muss man sich natürlich auch fragen, ob die Verschweigung von wichtigen Tatsachen bei einer Bewerbung diese Vertrauensstellung begründen könnte.	That being so, one cannot but wonder whether the concealment of important facts in a job application could justify this position of trust.
Zu den Fragen der Regelung über die Buchführung: Es war dafür plädiert worden, klare Regelungen zu haben.	It has been urged that the rules on accounting procedures should be clear.
Wir hatten in der Vergangenheit natürlich sehr klare und sehr einfache Regelungen, so wie das ganze öffentliche Buchführungssystem in der Vergangenheit auf einer - so nennen wir das in Deutschland - kameralistischen Buchführung beruhte, wo klar die Cash-Ausgaben und die Kassenbuchführung - die tatsächlichen Ausgaben, die tatsächlichen Einnahmen - verglichen werden mit dem, was im Haushaltsplan steht.	In the past, of course, we had very clear and simple rules, in that the entire public accounting system was based on what, in Germany, we term cameralistic accounting, in which the cash spent and the cash books - the actual outgoings and the actual receipts - are compared with what is in the budget.
Das ist natürlich auch die Weise, wie die Kommission und wie andere öffentliche Ausgaben bewirtschaftende Stellen gegenüber dem Haushaltsgesetzgeber rechenschaftspflichtig sind.	That is, of course, also the way in which the Commission and other offices administering public expenditure are accountable to the body which legislates on the budget.
Sie wollen von uns wissen, wie viel von einer Haushaltszeile, die sie beschlossen haben, dafür ausgegeben worden ist.	They want us to tell them how much of any given budget line they have voted has actually been spent on it.
Dieses Rechnungslegungssystem wird natürlich auch in Zukunft eine Rolle spielen. Aber für die Managementaufgaben reichen diese Informationen heute nicht mehr aus.	This accounting system will of course continue to play a part in the future, but this information is now no longer adequate for the purposes of management.
Da brauchen wir mehr Informationen in dem Accounting-System.	For that, we need more information in the accounting system.
Deshalb hat die Kommission vorgeschlagen - und es ist vom Gesetzgeber so beschlossen worden -, dass wir mehr diesen angloamerikanischen Weg gehen zu einem periodengerechten Buchführungssystem, worin gerade für die Managementaufgaben mehr Regeln und Informationen enthalten sind.	The Commission has therefore proposed, and the legislature has so decided, that we should go further along this Anglo-American road towards a system of accrual accounting, containing more rules and information specific to management functions.
Wir werden aber über diese Fragen noch bei anderer Gelegenheit sprechen können.	We will, however, have another opportunity to discuss these issues.
Ich darf noch einmal wiederholen, dass ich sehr gerne im Haushaltskontrollausschuss über diese Fragen sprechen würde, darf mich aber jetzt zu später Stunde erst noch einmal bei Herrn van Hulten für den Bericht bedanken und darf ihn dazu beglückwünschen.	Let me repeat that I would be more than happy to talk about these issues in the Committee on Budgetary Control, but, at this late hour, I will just thank Mr van Hulten again for the report and congratulate him on it.
