Herr Präsident, das Mißtrauensvotum auf Bewährung hat sich bewährt.	Mr President, the vote of no confidence on probation has proved itself.
Die Kommission hat sich bewegt, aber was auch sehr wichtig ist, das Europäische Parlament hat sich selbst in die Pflicht genommen.	The Commission has moved, but what is also very important is that the European Parliament has reminded itself of its duties.
Es ist beispiellos in der jungen Geschichte des Europäischen Parlaments, wie die legislative Kontrolle an diesem Beispiel BSE ausgeübt wurde.	In the short history of the European Parliament, there is no precedent for how legislative control was exercised in this case of BSE.
Wenn unsere Vorsitzende gesagt hat, plötzlich ist bei der Kommission Bemühen da, plötzlich ist Offenheit da und plötzlich ist Bewegung da, dann hat das eben genau damit zu tun, daß wir vom Parlament die Kommission genötigt haben, über diesen sanften Druck, aber auch über die Einsicht in die gute Arbeit des BSE-Untersuchungsausschusses die Forderungen des Parlaments zu übernehmen.	When our chairman said that suddenly there is effort in the Commission, suddenly there is openness, and suddenly there is effort, that has to do with the fact that we in Parliament, through this gentle pressure, but also through insight in the good work of the BSE Committee of Inquiry, have forced the Commission to accept Parliament's demands.
Eine dieser Forderungen bestand ja darin, daß zwischen der legislativen Arbeit der Kommission und der Kontrolltätigkeit eine Trennung stattfinden sollte.	One of these demands was that there should be a separation of the legislative work of the Commission and the control activity.
Das ist geschehen, aber wir dürfen nicht vergessen, die eigentliche legislative Kontrolle geht vom Parlament aus.	That happened, but we must not forget that true legislative control starts with Parliament.
Ich möchte betonen, daß das, was jetzt im Untersuchungsausschuß und im Kontrollausschuß geschehen ist, im Grunde die normale Arbeit eines ordentlichen Parlaments ausmacht.	I would like to emphasize that what has now happened in the Committee of Inquiry and the Temporary Committee is basically the normal work of a proper parliament.
Ich bitte darum auch dieses Parlament, daß es sich in die Pflicht nimmt und weniger mit radikalen Äußerungen nach außen - ich sage das auch für meine Fraktion und auch für die Sozialistische Fraktion - und mehr mit konsequenten Forderungen nach innen und mit konsequenter Arbeit auch in der Zukunft die Rolle des Parlaments wahrnimmt.	I therefore ask this Parliament to remember its duties, and to perform the role of Parliament in future less with radical utterances outwards - I say this to my group and also to the Socialist group - and more with consistent demands inwards and consistent work.
Dann wird sich die Kommission bewegen.	Then the Commission will move.
Vielen Dank an Kommissar Fischler, Kommissarin Bonino, Herrn Reichenbach - es war eine gute Zusammenarbeit.	Thanks to Commissioner Fischler, Commissioner Bonino, Mr Reichenbach - it was good work together.
Ich glaube, daß wir alle insgesamt profitiert haben und daß wir alle davon ausgehen, daß wir hinter diesen Standard, den wir erreicht haben, nicht zurückfallen und daß wir in gemeinsamer Arbeit dieses historische Unikum Rat, das Exekutive und Legislative zugleich ist, - Montesquieu würde sich im Grabe umdrehen - historisch zurückdrängen und zu einer normalen parlamentarischen Arbeit und Gesetzgebung kommen, bei der wir alle unseren verantwortlichen Platz haben.	I believe we have all benefitted, and that we all start from the assumption that we will not fall back from the standard we have achieved, and that we will together historically force back this historically unique Council, which is executive and legislative at one and the same time - Montesquieu would turn in his grave - and arrive at normal parliamentary work and lawmaking, where we all have our due responsibilities.
