Frau Präsidentin, werte Kolleginnen und Kollegen!	Madam President, ladies and gentlemen.
Die Niederlassungsfreiheit ist seit langem in den europäischen Verträgen verbürgt.	Freedom of settlement has long been enshrined by European treaty.
Es gibt aber gewisse Berufsgruppen, für die sie aufgrund bestimmter faktischer Bedingungen bis heute nicht durchgesetzt werden konnte.	There are certain occupational groups, however, which have until now been excluded from this right due to specific de facto circumstances.
Dazu gehörten unter anderem die europäischen Rechtsanwälte.	European lawyers constitute one such group.
Das hatte seine Ursache sicherlich in der Tatsache, daß die Ausbildung zum Juristen in den Mitgliedstaaten höchst unterschiedlich ist und daß im übrigen auch die Gesetze in den Staaten unterschiedlich sind und zumindest, was die Systematik angeht, nach wie vor große Unterschiede aufweisen.	The reason for this must surely lie in the fact that legal training differs considerably from one Member State to the next and that differences have always existed between our various national laws and legal arrangements.
Andererseits, und das will ich hier gleich einwenden, haben nach einschlägigen wissenschaftlichen Untersuchungen zum Beispiel im Bereich des Wirtschaftsrechts heute fast 60 % der geltenden Gesetze ihren Ursprung in europäischer Gesetzgebung.	However, and this is a matter which I am keen to raise here, academic studies undertaken in the area of commercial law have indicated that almost 60 % of the laws which are in force in the various Member States have their origins in European legislation.
Insoweit ist die Harmonisierung der Gesetzgebung im Binnenmarkt eigentlich so weit fortgeschritten, daß es diese großen Unterschiede, die im Gefühl vieler Juristen immer noch vorhanden sind, in der Realität eigentlich gar nicht mehr gibt.	In this respect the harmonization of legislation within the internal market is now so well advanced that the fundamental differences which many legal experts say still exist are in reality no longer there.
Manchmal sind halt einfach die Paragraphennummern und die Systematik unterschiedlich, obwohl sich die Inhalte der Bestimmungen in Europa zum Teil schon erheblich angenähert haben.	In some cases it is simply the paragraph numbers and legislative machinery which differ, while considerable convergence has already been achieved in respect of the content of European regulations.
Von daher machte es absolut Sinn, daß man sich nunmehr auch den Bereich der Niederlassungsfreiheit für die Anwälte in Europa vorgenommen und auch endlich dieses Grundrecht der Europäischen Verträge für diese Berufsgruppe durchgesetzt hat.	On this basis it makes absolute sense to apply the principle of freedom of settlement to European lawyers and ultimately to introduce this basic European right for the benefit of this particular professional group.
Ich möchte an dieser Stelle der Berichterstatterin, Frau Kollegin Fontaine, ganz besonders gratulieren zu diesem Erfolg, den sie hier gehabt hat.	At this point may I congratulate the rapporteur, Mrs Fontaine, on the successful outcome of her efforts.
Es ist ihr im wesentlichen zu verdanken, daß dieser Kompromiß gefunden wurde.	It is mainly down to her that compromise has been achieved.
Es gab einen großen Gegensatz zwischen den unterschiedlichen nationalen Interessen.	This matter has been the subject of great contention between the different national interests.
Ich kann mich noch an die Auseinandersetzungen in meinem Heimatland erinnern, wo zu Beginn zum Beispiel die zuständigen Fachausschüsse des Deutschen Bundestages jede Zustimmung zu dieser Richtlinie ablehnten.	I still recall the arguments which took place in my homeland where early on the relevant technical committees in the German Bundestag refused point blank to approve the directive.
Es hat inzwischen einen Kompromiß gegeben, der so tragfähig ist, daß fast alle - die Ausnahme ist genannt worden, nämlich das kleine Land Luxemburg - heute mit dieser Lösung einverstanden sind.	The compromise solution which has now been adopted is so well thought out that with one exception, namely the small country of Luxembourg, all Member States have agreed to it.
Insbesondere sind auch die Berufsgruppen, an ihrer Spitze der CCBE als die Organisation aller europäischen Anwälte, mit dieser Lösung einverstanden und unterstützen sie uneingeschränkt.	The professional groups concerned, which are represented by the CCBE - the European lawyers' association -, are satisfied with this arrangement and support it unreservedly.
Dies ist für mich ein gutes Beispiel dafür, wie das Parlament aus Eigeninitiative Schritte unternehmen konnte, um einen solchen Kompromiß zu schaffen, und wie wir auch den Rat im Grunde dazu gebracht haben, diesen Kompromiß zu übernehmen.	For me this is an excellent example of how Parliament, through its own initiative, has been able to take steps to achieve a compromise and to actually get the Council to accept its proposals.
Ich glaube, dies kann in der Tat als großer Erfolg auch dieses Hauses im Verhältnis zu dem Rat und in seiner Rolle als Gesetzgeber verstanden werden, und man sollte dies keinesfalls unterbewerten.	I believe that we can regard this as a major success for this House vis-à-vis the Council and its role as a legislator. It is an achievement which should not be underestimated.
Dies gibt auch meinem Berufsstand - ich selbst bin Anwalt - in Zukunft die Möglichkeiten, im Binnenmarkt Europa vollen Gebrauch von allen Rechten und Möglichkeiten zu machen, die der Vertrag vorsieht, natürlich unter bestimmten Bedingungen.	The new agreement will make it possible for those of my profession - for I too am a lawyer - to make full use of their rights and opportunities within the European internal market, under certain conditions of course.
Das gilt aber genauso für alle anderen Berufsbereiche und für alle anderen Sektoren, in denen Angleichungen der Gesetzgebung erforderlich gewesen sind.	But it will also benefit other professions and sectors in which legislative assimilation has become necessary.
Ich verlasse deshalb dieses Parlament, diesen Saal heute abend mit einer großen Zufriedenheit, weil ich glaube, wir haben einen echten Fortschritt im Rahmen der europäischen Integration und bei der Verwirklichung des Binnenmarktes, wenn auch nur in einem kleinen Sektor, verwirklicht!	I therefore leave this House tonight feeling extremely satisfied because I believe that we have achieved real progress towards European integration and the creation of the internal market - albeit only in a small sector.
