Herr Präsident, Herr Ratspräsident! Was sind die Aufgaben Europas in dieser Zeit?	Mr President, Mr President-in-Office of the Council, what are Europe's tasks in these times?
Erstens: Europa muss den Angegriffenen gegen den Angreifer zur Seite stehen.	First, Europe must support the victim against the aggressor.
Wir stehen zu unseren Bündnispflichten.	We hold to our treaty commitments.
Wir begrüßen die feste und besonnene Haltung der Regierung der Vereinigen Staaten.	We salute the firm and considered attitude of the United States government.
Wir begrüßen auch, was der Europäische Rat zur Solidarität mit den USA gesagt hat.	We also welcome the European Council's expression of solidarity with the USA.
Sorgen Sie nun dafür, Herr Ratspräsident und alle anderen, dass Europa nicht in Tauben und Falken auseinander fällt!	All of you must make it your concern that Europe is not divided into doves and hawks!
Zweitens: Die Europäische Union muss dazu beitragen, eine weltweite politische Allianz gegen den Terrorismus zu schmieden.	Secondly, the European Union must play its part in forging a worldwide political alliance against terrorism.
Wir begrüßen Ihre Aktionen, Herr Ratspräsident, wie die von Herrn Solana und Herrn Patten, die Sie in den arabischen Ländern, aber auch in Russland unternommen haben.	We appreciate what you, Mr President-in-Office of the Council, with Mr Solana and Mr Patten, have undertaken not only in the Arab countries but also in Russia.
Wir bitten Sie, setzen Sie die Vermittlungsbemühungen im Nahen Osten fort, vor allen Dingen zwischen Palästinensern und Israel!	We ask that you continue your efforts as intermediaries in the Middle East, above all between Israel and the Palestinians.
Sie sind in unser aller Interesse.	They are in the best interests of us all.
Drittens: Wir müssen die Sicherheit nach innen gemeinsam stärken.	Thirdly, we must, join together in reinforcing our internal security.
Es ist bedauerlich, Herr Ratspräsident, dass der Europäische Rat wie auch der Rat der Innen- und Justizminister erst jetzt dazu gekommen ist, Pläne, die vorlagen und die ausgearbeitet waren, halbwegs in die Tat umzusetzen.	Mr President-in-Office of the Council, it is regrettable that the European Council, and the Council of Interior and Justice Ministers as well, have only now got around to partially implementing plans that already existed and had been thoroughly worked out.
Wir erwarten Aktionen gegen den Terrorismus, nicht Reaktionen auf terroristische Anschläge.	We expect action against terrorism, not reactions to terrorist attacks.
Dabei muss Europa ein Beispiel bleiben für das Gleichgewicht zwischen den Freiheitsrechten des Einzelnen und der Sicherheit für alle.	In doing this, Europe must continue to be an example of how to maintain the balance between the right to individual liberty and the security of all.
Viertens: Wir wollen, dass sich die Europäer gemeinsam unbeirrt für eine gerechtere Weltordnung einsetzen, in der das Recht für alle an die Stelle der Gewalt durch wenige tritt.	Fourthly, we want Europeans not to be distracted from their common commitment to a more just world order, in which law for all replaces force exerted by the few.
Wir leisten diesen Einsatz für eine gerechtere Weltordnung nicht, weil wir glauben, wir könnten damit dem Terrorismus den Nährboden entziehen.	We are not making this effort for a more just world order solely out of a belief that we will thereby be depriving terrorism of its breeding ground.
Nein, wir wollen eine gerechtere Weltordnung, weil das unseren Werten und unserer Würde als Europäer entspricht - eine Würde, die wir mit allen Menschen der Erde teilen!	On the contrary, we seek a more just world order because that reflects our values and our dignity as Europeans - a dignity we share with all the peoples of the earth!
Fünftens: Wenn seit dem 11. September die Welt nicht mehr so ist, wie sie war, dann kann die Europäische Union nicht so bleiben, wie sie ist!	Fifthly, if it is true to say that the world is no longer what it was before 11 September, then the European Union cannot stay as it is.
Wir begrüßen Ihre Absicht, Herr Ratspräsident, für Gent und Laeken.	Mr President-in-Office of the Council, we welcome your intentions for Ghent and Laeken.
Wir hoffen, dass es nicht nur bei den Absichten bleibt, sondern dass das, was Sie hier vorgetragen haben, auch tatsächlich die Meinung der Fünfzehn wird und dass wir dann auf dieser Grundlage weiterarbeiten können.	We hope they do not remain only as intentions but that what you have put before us will indeed become the opinion of the Fifteen and a basis for our further work.
Europa kann an dieser Krise, in der die Welt steht, zerbrechen.	Europe could be broken by the crisis now facing the world.
Europa kann aus dieser Krise aber auch gestärkt hervorgehen.	It could, though, equally, emerge stronger from it.
Das ist der Kreuzweg, vor dem Sie und wir alle in Gent und Laeken stehen.	It is at this crossroads that you and all of us will be standing in Ghent and Laeken.
In dieser Krise kann und - ich füge hinzu - muss Europa den Bürgerinnen und Bürgern zeigen, was die Europäische Union wirklich wert ist.	In this crisis, Europe can - and I would add - must show its citizens what the European Union is really worth.
Daran werden Sie, daran werden wir alle gemessen werden!	By this yardstick you and all of us will be judged.
